Date,Open,High,Low,Close,Volume
06/11/2007,100,102,89,98,12744300
07/11/2007,98,103,97,101,3493300
08/11/2007,99,100,96,99,662700
09/11/2007,97,97,95,95,400750
12/11/2007,94,95,89,90,1132850
13/11/2007,90,90,86,86,267350
14/11/2007,86,88,84,85,395350
15/11/2007,85,87,83,87,980300
16/11/2007,85,85,84,85,154050
19/11/2007,85,85,84,84,337400
20/11/2007,83,87,82,87,582350
21/11/2007,84,85,83,85,198800
22/11/2007,84,85,84,85,152400
23/11/2007,85,86,85,86,209050
26/11/2007,86,86,85,85,507200
27/11/2007,83,85,83,85,300500
28/11/2007,85,87,85,85,366850
29/11/2007,85,87,85,85,296000
30/11/2007,85,85,85,85,529100
03/12/2007,85,85,85,85,1203850
04/12/2007,85,85,84,85,138350
05/12/2007,86,87,86,86,332300
06/12/2007,86,86,85,86,273000
07/12/2007,86,86,85,85,407750
10/12/2007,85,85,83,85,116700
11/12/2007,84,84,84,84,8350
12/12/2007,82,85,82,84,258700
13/12/2007,84,85,84,84,264100
14/12/2007,84,85,84,85,108500
17/12/2007,84,84,82,83,351250
18/12/2007,82,82,81,82,145500
19/12/2007,82,82,81,82,82350
26/12/2007,82,83,81,82,180100
27/12/2007,82,84,82,82,315400
28/12/2007,84,87,83,87,508700
02/01/2008,86,87,83,84,289250
03/01/2008,84,84,83,84,275000
04/01/2008,83,84,83,84,35150
07/01/2008,83,84,83,84,67350
08/01/2008,83,83,83,83,413650
09/01/2008,83,84,82,84,950000
14/01/2008,84,84,83,84,84250
15/01/2008,83,84,83,84,225600
16/01/2008,82,84,82,84,9450
17/01/2008,83,84,83,84,123750
18/01/2008,83,84,83,84,37800
21/01/2008,83,85,82,82,55800
22/01/2008,81,84,75,82,148700
23/01/2008,80,82,80,82,64550
24/01/2008,82,82,82,82,25100
25/01/2008,82,83,82,82,2550
28/01/2008,81,81,81,81,2500
29/01/2008,81,84,81,84,179900
30/01/2008,84,85,84,84,22850
31/01/2008,84,84,84,84,30900
01/02/2008,84,87,84,87,40750
04/02/2008,86,87,86,87,101300
05/02/2008,87,90,87,90,576150
06/02/2008,89,89,88,89,52650
11/02/2008,88,89,88,89,144650
12/02/2008,90,92,90,92,1467850
13/02/2008,91,91,90,91,126500
14/02/2008,92,94,91,94,324200
15/02/2008,92,95,92,95,321850
18/02/2008,95,95,95,95,735800
19/02/2008,96,97,95,96,236900
20/02/2008,96,99,96,99,842900
21/02/2008,99,102,99,100,1162650
22/02/2008,100,102,100,102,363200
25/02/2008,101,101,100,100,328950
26/02/2008,100,100,99,100,561100
27/02/2008,101,101,99,100,442300
28/02/2008,100,101,99,100,685850
29/02/2008,100,100,99,100,301200
03/03/2008,98,100,98,100,457850
04/03/2008,100,100,98,99,278350
05/03/2008,99,101,99,101,1154300
06/03/2008,101,101,100,100,86850
10/03/2008,100,100,99,99,201000
11/03/2008,99,100,99,100,1151500
12/03/2008,100,101,99,100,711050
13/03/2008,100,100,99,99,102500
14/03/2008,99,100,98,99,944600
17/03/2008,97,98,97,98,388000
18/03/2008,97,97,96,96,225250
19/03/2008,97,97,97,97,130750
24/03/2008,97,97,96,96,173900
25/03/2008,97,100,97,100,183650
26/03/2008,100,101,99,101,352650
27/03/2008,101,101,100,100,79200
28/03/2008,100,100,100,100,91250
31/03/2008,100,101,100,101,5850
01/04/2008,100,101,100,100,984250
02/04/2008,100,103,100,103,170600
03/04/2008,102,102,100,100,1016400
04/04/2008,100,100,99,99,137750
07/04/2008,99,99,98,98,78050
08/04/2008,98,98,93,93,688400
09/04/2008,92,92,89,90,615000
10/04/2008,92,95,91,95,377650
11/04/2008,95,95,95,95,77500
14/04/2008,96,96,96,96,20850
15/04/2008,96,96,95,95,94600
16/04/2008,97,97,95,95,20250
17/04/2008,96,98,95,98,121400
18/04/2008,97,97,97,97,151000
21/04/2008,97,97,97,97,176800
22/04/2008,97,97,97,97,86650
23/04/2008,96,97,96,97,125300
24/04/2008,97,97,97,97,75000
25/04/2008,97,97,97,97,0
28/04/2008,97,97,97,97,25000
29/04/2008,97,97,97,97,85000
30/04/2008,96,96,95,95,180000
05/05/2008,95,96,95,96,259700
06/05/2008,96,96,95,96,50000
07/05/2008,95,95,95,95,1000
08/05/2008,95,95,95,95,50000
09/05/2008,95,95,95,95,50000
12/05/2008,95,95,95,95,0
13/05/2008,95,96,94,94,491400
14/05/2008,94,94,94,94,0
15/05/2008,95,95,95,95,75000
16/05/2008,94,94,94,94,62400
21/05/2008,97,97,95,96,85000
22/05/2008,95,95,95,95,20250
23/05/2008,97,98,97,97,90500
26/05/2008,96,96,96,96,8500
27/05/2008,95,95,95,95,22000
28/05/2008,94,94,94,94,150100
29/05/2008,94,96,94,96,215600
30/05/2008,94,94,94,94,100
02/06/2008,95,95,95,95,250
03/06/2008,95,95,95,95,1400
04/06/2008,95,95,95,95,0
05/06/2008,95,95,95,95,55000
06/06/2008,95,96,95,95,331000
09/06/2008,94,94,92,92,308750
10/06/2008,92,92,92,92,170500
11/06/2008,92,92,92,92,0
12/06/2008,92,92,92,92,0
13/06/2008,92,92,92,92,0
16/06/2008,92,92,92,92,0
17/06/2008,91,91,91,91,50000
18/06/2008,91,92,91,92,50250
19/06/2008,92,92,92,92,0
20/06/2008,91,91,91,91,2100
23/06/2008,90,90,90,90,100250
24/06/2008,89,89,88,88,315850
25/06/2008,88,88,88,88,100500
26/06/2008,88,88,88,88,122500
27/06/2008,87,87,87,87,50
30/06/2008,87,87,87,87,0
01/07/2008,88,88,88,88,100000
02/07/2008,88,88,88,88,48600
03/07/2008,87,87,87,87,200
04/07/2008,88,88,88,88,100500
07/07/2008,87,88,87,88,12500
08/07/2008,88,89,88,89,150000
09/07/2008,89,91,89,90,363350
10/07/2008,90,90,89,90,359850
11/07/2008,90,90,90,90,100000
14/07/2008,90,90,90,90,0
15/07/2008,90,90,90,90,650000
16/07/2008,90,90,90,90,250000
17/07/2008,89,90,89,90,280300
18/07/2008,90,90,89,89,522000
21/07/2008,90,90,90,90,152550
22/07/2008,90,90,90,90,200
23/07/2008,90,93,90,92,285250
24/07/2008,90,92,90,92,215350
25/07/2008,90,91,90,91,32550
28/07/2008,91,91,91,91,50000
29/07/2008,91,91,91,91,75000
31/07/2008,90,91,90,91,130250
