Date,Open,High,Low,Close,Volume
16/07/2008,1500,1760,1500,1730,7897860
17/07/2008,1760,1760,1700,1700,3836020
18/07/2008,1690,1700,1640,1640,953960
21/07/2008,1650,1690,1640,1680,497490
22/07/2008,1680,1690,1660,1670,295855
23/07/2008,1670,1670,1650,1660,420750
24/07/2008,1650,1650,1610,1630,745950
25/07/2008,1630,1650,1600,1630,763575
28/07/2008,1630,1680,1620,1670,757325
29/07/2008,1660,1690,1650,1680,491735
31/07/2008,1680,1710,1680,1690,423815
01/08/2008,1680,1680,1620,1630,784785
04/08/2008,1610,1630,1590,1590,438370
05/08/2008,1570,1580,1540,1550,502445
06/08/2008,1550,1570,1540,1540,485455
07/08/2008,1540,1570,1540,1560,509995
08/08/2008,1570,1600,1560,1600,393605
11/08/2008,1600,1600,1540,1540,390790
12/08/2008,1540,1560,1510,1510,384310
13/08/2008,1500,1510,1500,1500,280725
14/08/2008,1510,1540,1510,1520,332050
15/08/2008,1540,1540,1510,1530,249600
19/08/2008,1510,1510,1490,1490,250065
20/08/2008,1500,1540,1490,1530,396920
21/08/2008,1540,1540,1530,1530,287905
22/08/2008,1550,1570,1550,1560,273940
25/08/2008,1520,1550,1520,1540,297530
26/08/2008,1540,1560,1530,1540,286390
27/08/2008,1540,1540,1530,1530,233235
28/08/2008,1540,1540,1530,1530,294185
29/08/2008,1540,1550,1530,1540,266300
01/09/2008,1540,1550,1530,1530,210115
02/09/2008,1520,1520,1500,1510,269715
03/09/2008,1500,1510,1480,1480,256620
04/09/2008,1480,1490,1470,1490,200800
05/09/2008,1470,1470,1440,1450,302590
08/09/2008,1460,1480,1450,1450,259480
09/09/2008,1450,1450,1400,1410,498515
10/09/2008,1380,1410,1340,1410,358190
11/09/2008,1410,1410,1390,1400,199400
12/09/2008,1400,1400,1380,1390,176195
15/09/2008,1380,1390,1360,1360,253710
16/09/2008,1270,1340,1240,1320,446735
17/09/2008,1340,1380,1330,1350,454755
18/09/2008,1300,1430,1300,1430,503990
19/09/2008,1450,1530,1440,1510,1100960
22/09/2008,1530,1540,1510,1510,188095
23/09/2008,1520,1540,1510,1510,276515
24/09/2008,1510,1510,1500,1510,189740
25/09/2008,1510,1510,1490,1490,309225
26/09/2008,1490,1490,1430,1440,711040
06/10/2008,1350,1350,1190,1210,344645
07/10/2008,1100,1100,980,1000,44665
08/10/2008,900,910,780,810,13020
13/10/2008,810,810,730,730,229345
14/10/2008,730,730,730,730,0
15/10/2008,730,730,730,730,0
16/10/2008,750,800,660,740,717920
17/10/2008,770,770,720,740,177540
20/10/2008,740,800,710,790,275465
21/10/2008,800,830,760,760,77400
22/10/2008,750,750,710,730,51290
23/10/2008,700,710,680,690,72750
24/10/2008,690,700,630,700,94260
27/10/2008,630,640,630,630,34560
28/10/2008,570,600,570,570,217280
29/10/2008,600,600,520,520,172070
30/10/2008,530,570,490,570,557045
31/10/2008,570,680,540,680,401840
03/11/2008,710,810,710,810,372150
04/11/2008,850,850,770,810,203800
