Date,Open,High,Low,Close,Volume
19/08/2010,264,268,262,264,44142500
20/08/2010,266,266,262,266,60090000
23/08/2010,262,266,256,262,70725000
24/08/2010,260,264,256,260,47017500
25/08/2010,260,262,256,260,68645000
26/08/2010,260,268,258,260,115567500
27/08/2010,260,260,256,260,56032500
30/08/2010,258,262,254,258,31555000
31/08/2010,246,256,244,246,56327500
01/09/2010,248,250,244,248,75777500
02/09/2010,246,252,244,246,44777500
03/09/2010,252,254,248,252,105645000
06/09/2010,260,262,254,260,141567500
07/09/2010,264,266,260,264,95342500
15/09/2010,264,280,264,276,165317500
16/09/2010,278,278,274,278,61240000
17/09/2010,294,296,276,294,226512500
20/09/2010,286,296,284,286,73655000
21/09/2010,288,294,284,288,70537500
22/09/2010,284,288,282,284,53945000
23/09/2010,278,284,274,278,57057500
24/09/2010,280,282,276,280,67227500
27/09/2010,278,284,274,278,58710000
28/09/2010,292,296,276,292,192257500
29/09/2010,308,308,294,308,135187500
30/09/2010,302,308,296,302,83942500
01/10/2010,304,304,298,304,48897500
04/10/2010,304,308,302,304,63045000
05/10/2010,304,306,302,304,69050000
06/10/2010,308,312,304,308,93045000
07/10/2010,300,308,298,300,53580000
08/10/2010,294,300,292,294,61387500
11/10/2010,288,296,278,288,142967500
12/10/2010,274,286,272,274,161112500
13/10/2010,282,284,274,282,121850000
14/10/2010,280,286,278,280,101757500
15/10/2010,272,280,266,272,116990000
18/10/2010,268,274,264,268,66315000
19/10/2010,282,282,266,282,249037500
20/10/2010,280,286,276,280,144090000
21/10/2010,300,300,280,300,240445000
22/10/2010,310,318,300,310,350657500
25/10/2010,314,316,308,314,72125000
26/10/2010,308,316,302,308,93742500
27/10/2010,298,306,294,298,77250000
28/10/2010,304,306,292,304,135362500
29/10/2010,302,306,296,302,118402500
01/11/2010,304,312,302,304,130465000
02/11/2010,324,324,304,324,240367500
03/11/2010,318,330,314,318,139512500
04/11/2010,320,324,316,320,64957500
05/11/2010,310,326,306,310,85610000
08/11/2010,324,324,308,324,91732500
09/11/2010,334,336,324,334,109160000
10/11/2010,330,336,328,330,59667500
11/11/2010,338,344,328,338,114062500
12/11/2010,332,338,328,332,37837500
15/11/2010,330,336,328,330,56147500
16/11/2010,322,330,320,322,58772500
18/11/2010,326,330,316,326,87412500
19/11/2010,324,330,320,324,91727500
22/11/2010,324,324,318,324,48662500
23/11/2010,316,326,314,316,52832500
24/11/2010,312,318,310,312,46107500
25/11/2010,312,314,310,312,68035000
26/11/2010,300,312,298,300,62120000
29/11/2010,298,306,290,298,169040000
30/11/2010,292,302,290,292,120465000
01/12/2010,298,300,292,298,66787500
02/12/2010,314,316,298,314,146170000
03/12/2010,316,318,312,316,70150000
06/12/2010,328,330,316,328,77742500
08/12/2010,338,338,326,338,77102500
09/12/2010,342,342,332,342,81732500
10/12/2010,358,358,336,358,110690000
13/12/2010,360,360,354,360,33295000
14/12/2010,348,362,338,348,76155000
15/12/2010,354,364,340,354,239667500
16/12/2010,334,356,332,334,126835000
17/12/2010,336,340,332,336,71775000
20/12/2010,328,336,324,328,41132500
21/12/2010,324,330,320,324,75865000
22/12/2010,318,326,316,318,50957500
23/12/2010,324,324,320,324,42387500
27/12/2010,334,338,322,334,62165000
28/12/2010,338,346,334,338,82247500
29/12/2010,344,344,338,344,27545000
30/12/2010,346,346,338,346,18252500
03/01/2011,340,346,338,340,27830000
04/01/2011,334,344,332,334,75465000
05/01/2011,336,344,330,336,83315000
06/01/2011,330,336,328,330,55000000
07/01/2011,322,330,320,322,56267500
10/01/2011,306,322,302,306,83535000
11/01/2011,308,318,304,308,174032500
12/01/2011,326,326,308,326,97070000
13/01/2011,328,336,326,328,129527500
14/01/2011,334,338,326,334,83430000
17/01/2011,334,336,330,334,26585000
18/01/2011,334,338,330,334,90652500
19/01/2011,320,336,318,320,112637500
20/01/2011,310,320,306,310,85402500
21/01/2011,294,308,290,294,150512500
24/01/2011,284,294,282,284,41090000
25/01/2011,290,294,278,290,114780000
26/01/2011,292,294,280,292,77230000
27/01/2011,294,302,290,294,181180000
28/01/2011,292,296,290,292,75247500
31/01/2011,288,292,284,288,59487500
01/02/2011,294,294,286,294,86597500
02/02/2011,292,298,290,292,26985000
04/02/2011,290,294,288,290,38520000
07/02/2011,292,296,280,292,32472500
08/02/2011,290,294,288,290,30680000
09/02/2011,284,290,282,284,41527500
10/02/2011,276,284,272,276,73285000
11/02/2011,276,276,270,276,44987500
14/02/2011,290,292,276,290,89972500
16/02/2011,292,296,286,292,54462500
