Date,Open,High,Low,Close,Volume
07/07/2023,1745,1820,1700,1755,4115651
10/07/2023,1755,1765,1745,1750,590107
11/07/2023,1750,1760,1750,1750,340286
12/07/2023,1750,1765,1750,1765,278601
13/07/2023,1765,1765,1750,1760,417457
14/07/2023,1760,1795,1755,1780,361263
17/07/2023,1790,1805,1780,1800,420378
18/07/2023,1800,1935,1800,1875,643155
20/07/2023,1880,1915,1825,1845,388574
21/07/2023,1845,1885,1840,1875,331061
24/07/2023,1880,2030,1860,2010,584084
25/07/2023,2020,2310,1960,2300,782753
26/07/2023,2310,2410,2220,2280,576268
27/07/2023,2290,2480,2250,2470,653027
28/07/2023,2470,2810,2460,2660,942644
31/07/2023,2680,2850,2680,2810,724406
01/08/2023,2830,3230,2390,2800,1798283
02/08/2023,2790,2950,2550,2830,1428282
03/08/2023,2830,2880,2790,2830,512371
04/08/2023,2830,2940,2830,2870,530976
07/08/2023,2880,2950,2850,2930,454366
08/08/2023,2930,2970,2920,2960,547174
09/08/2023,2960,3020,2960,3000,550242
10/08/2023,3010,3040,2800,3000,543388
11/08/2023,3000,3020,2990,3000,272541
14/08/2023,3010,3080,3000,3080,375381
15/08/2023,3080,3200,3070,3190,482977
16/08/2023,3200,3300,3170,3300,524487
18/08/2023,3330,3380,3300,3350,396536
21/08/2023,3360,3440,3340,3440,428192
22/08/2023,3440,3610,3430,3610,778815
23/08/2023,3620,3840,3610,3830,712346
24/08/2023,3840,4020,3540,3950,1020572
25/08/2023,3950,4140,3930,4140,646243
28/08/2023,4140,4290,4090,4280,658257
29/08/2023,4290,4470,4250,4470,957445
30/08/2023,4480,4540,4390,4500,1003150
31/08/2023,4500,4550,4460,4530,516969
01/09/2023,4530,4870,4440,4750,849730
04/09/2023,4780,4980,4760,4970,726546
05/09/2023,5025,5050,4930,4990,592369
06/09/2023,5000,5250,4980,5200,746158
07/09/2023,5250,5425,5225,5400,608428
08/09/2023,5425,5650,5425,5600,683167
11/09/2023,5800,5800,4800,5500,1547169
12/09/2023,5525,5825,5500,5800,688021
13/09/2023,5850,5950,5550,5825,1223866
14/09/2023,5825,5875,5725,5775,606678
15/09/2023,5775,5825,5375,5600,838129
18/09/2023,5600,5625,5025,5150,1215941
19/09/2023,5150,5450,5050,5350,752051
20/09/2023,5375,5425,5225,5275,340527
21/09/2023,5275,5325,5150,5275,408056
22/09/2023,5325,5475,5225,5450,431076
25/09/2023,5450,5700,5450,5675,529429
26/09/2023,5700,5800,5525,5675,653257
27/09/2023,5650,5750,5575,5650,431380
29/09/2023,5675,5975,5650,5925,797568
02/10/2023,5800,6100,5600,6100,769509
03/10/2023,6125,6375,6075,6300,590901
04/10/2023,6325,6400,5925,6150,926651
05/10/2023,6150,6325,6050,6300,548468
06/10/2023,6300,6325,6125,6275,525879
09/10/2023,6300,6475,6100,6425,786335
10/10/2023,6425,6525,6375,6500,458489
11/10/2023,6525,6775,6475,6700,705300
12/10/2023,6800,6800,6575,6675,542940
13/10/2023,6650,6725,6450,6600,368957
16/10/2023,6600,6625,6125,6150,702210
17/10/2023,6125,6275,5875,6250,611065
18/10/2023,6250,6475,6250,6375,506506
19/10/2023,6375,6475,6325,6450,520672
20/10/2023,6450,6600,6425,6575,490207
23/10/2023,6575,6625,6450,6575,446386
24/10/2023,6575,6600,6400,6425,420929
25/10/2023,6450,6550,6425,6500,364803
26/10/2023,6500,6675,6500,6550,383860
27/10/2023,6550,6700,6525,6675,497256
30/10/2023,6675,6800,6650,6750,349936
31/10/2023,6750,6750,6450,6500,683811
01/11/2023,6500,6650,6250,6650,567569
02/11/2023,6650,6925,6600,6900,682549
03/11/2023,7000,7000,6600,6700,403568
06/11/2023,6675,6850,6675,6825,334053
07/11/2023,6800,6950,6800,6850,393765
08/11/2023,6850,6900,6725,6775,451216
09/11/2023,6775,6775,6550,6650,393322
10/11/2023,6650,6875,6600,6825,460878
13/11/2023,6850,7125,6800,7100,631412
14/11/2023,7100,7275,6950,7150,637711
15/11/2023,7250,7325,7150,7225,790029
16/11/2023,7225,7300,7150,7225,474833
17/11/2023,7225,7650,7200,7575,1305256
20/11/2023,7575,7725,7050,7300,1373618
21/11/2023,7350,7400,7075,7300,604359
22/11/2023,7300,7400,7025,7050,774393
23/11/2023,7025,7200,6750,6900,790403
24/11/2023,6925,7175,6925,7150,663815
27/11/2023,7150,7575,7075,7550,809568
28/11/2023,7550,7800,7500,7725,1024474
29/11/2023,7775,7875,7650,7775,809769
30/11/2023,7775,8350,7200,7200,6196367
01/12/2023,7200,7200,5850,5900,2862193
04/12/2023,5900,6450,5900,6375,851475
05/12/2023,6325,6675,6300,6600,595490
06/12/2023,6675,6675,6350,6425,432903
07/12/2023,6425,6575,6225,6475,589646
08/12/2023,6500,6500,6300,6450,611489
11/12/2023,6450,6825,6350,6825,810289
12/12/2023,6850,7050,6725,7000,668745
13/12/2023,7025,7200,6925,7125,573610
14/12/2023,7125,7200,6600,6700,810991
15/12/2023,6700,6800,6325,6325,3383473
18/12/2023,6350,6525,5900,6400,610754
19/12/2023,6375,6575,6350,6475,362529
20/12/2023,6500,6550,6325,6500,304208
21/12/2023,6500,6525,6275,6300,273354
22/12/2023,6300,6650,6200,6625,347402
27/12/2023,6600,6825,6375,6450,318915
28/12/2023,6450,6475,6150,6350,336409
29/12/2023,6350,6550,6325,6550,253842
02/01/2024,6550,6600,6375,6600,254194
03/01/2024,6600,6700,6450,6450,217414
04/01/2024,6450,6475,6325,6425,314779
05/01/2024,6425,6550,6250,6475,403657
08/01/2024,6475,6600,6450,6550,314138
09/01/2024,6550,6725,6525,6650,348973
10/01/2024,6625,6975,6600,6900,524453
11/01/2024,6925,7425,6900,7300,837911
12/01/2024,7300,7350,7050,7325,375024
15/01/2024,7300,7525,7275,7525,459302
16/01/2024,7550,7550,7325,7425,282148
17/01/2024,7425,7425,7175,7200,356899
18/01/2024,7200,7500,7175,7475,360681
19/01/2024,7475,7575,7375,7475,262180
22/01/2024,7475,7475,7200,7475,350691
23/01/2024,7475,7675,7450,7675,411410
24/01/2024,7675,7675,7350,7500,405268
25/01/2024,7500,7625,7450,7525,278841
26/01/2024,7300,7525,7250,7300,270851
29/01/2024,7300,7350,7175,7300,278795
30/01/2024,7300,7600,7300,7550,334608
31/01/2024,7550,7600,7450,7525,265972
01/02/2024,7300,7650,7300,7600,384466
02/02/2024,7600,7600,7375,7600,296455
05/02/2024,7600,7625,7500,7525,241207
06/02/2024,7525,7600,7475,7575,278968
07/02/2024,7575,7600,7500,7525,234203
12/02/2024,7525,7750,7475,7750,431267
13/02/2024,7725,7750,7600,7600,247131
15/02/2024,7600,7950,7550,7950,510379
16/02/2024,7950,8000,7850,7900,271076
19/02/2024,7900,7900,7725,7825,356923
20/02/2024,7825,8050,7825,8025,431640
21/02/2024,8025,8125,7750,7800,426635
22/02/2024,7800,8050,7800,7900,288102
23/02/2024,7900,8050,7800,8000,276545
26/02/2024,8000,8100,7950,8050,292984
27/02/2024,8050,8100,7925,8100,323152
28/02/2024,8100,8100,7900,8000,248328
29/02/2024,7975,8500,7950,8500,1065860
01/03/2024,8475,8750,8350,8500,343801
04/03/2024,8500,8625,8425,8500,194514
05/03/2024,8500,8575,8350,8525,319489
06/03/2024,8500,8600,8400,8400,252901
07/03/2024,8450,8500,8225,8500,333464
08/03/2024,8500,8525,8275,8375,227122
13/03/2024,8375,8650,8325,8650,418506
14/03/2024,8650,8725,8575,8725,342936
15/03/2024,8700,8800,8625,8725,573796
18/03/2024,8675,8850,8550,8850,354281
19/03/2024,8850,9000,8800,8900,340110
20/03/2024,8900,9000,8775,8900,311184
21/03/2024,8875,8950,8525,8850,340241
