Date,Open,High,Low,Close,Volume
02/01/2004,332,332,323,328,144498
05/01/2004,357,357,332,349,943240
06/01/2004,361,361,340,344,253281
07/01/2004,336,336,315,319,661447
08/01/2004,328,328,302,302,563319
09/01/2004,315,315,307,311,237417
12/01/2004,315,315,294,298,449983
13/01/2004,298,298,281,290,410101
14/01/2004,302,302,290,294,528497
15/01/2004,298,298,290,294,178844
16/01/2004,290,290,265,273,786302
19/01/2004,277,277,260,265,393910
20/01/2004,290,290,256,286,1737608
21/01/2004,290,290,277,281,972259
23/01/2004,281,281,273,277,327331
26/01/2004,286,286,273,277,307419
27/01/2004,277,277,269,273,241911
28/01/2004,273,273,265,269,238132
29/01/2004,265,265,252,260,279799
30/01/2004,260,260,239,252,1120061
03/02/2004,252,252,239,244,405309
04/02/2004,244,260,244,256,676418
05/02/2004,260,260,252,260,569182
06/02/2004,273,273,260,273,1432332
09/02/2004,273,277,269,273,280067
10/02/2004,273,273,269,273,229352
11/02/2004,273,273,269,269,223965
12/02/2004,273,273,269,273,187922
13/02/2004,277,277,269,277,229977
16/02/2004,277,286,273,281,531116
17/02/2004,281,281,277,277,253489
18/02/2004,281,281,277,281,163100
19/02/2004,281,281,277,281,347331
20/02/2004,286,286,277,286,555611
24/02/2004,281,281,273,277,212446
25/02/2004,281,281,269,273,216167
26/02/2004,269,269,265,265,146075
27/02/2004,265,265,252,252,374088
01/03/2004,256,256,248,252,249025
02/03/2004,256,269,256,265,915710
03/03/2004,265,265,256,260,448227
04/03/2004,256,256,239,252,1310513
05/03/2004,248,252,239,239,991932
08/03/2004,239,244,239,239,208190
09/03/2004,239,239,231,235,1142978
10/03/2004,235,235,227,231,391261
11/03/2004,227,231,218,218,313015
12/03/2004,218,231,218,223,827255
15/03/2004,231,231,210,214,821600
16/03/2004,206,218,206,218,946872
17/03/2004,223,231,218,218,1220153
18/03/2004,223,231,218,223,617160
19/03/2004,223,227,223,227,657786
23/03/2004,227,235,218,235,935086
24/03/2004,235,239,227,227,540104
25/03/2004,227,227,210,218,585254
26/03/2004,218,223,210,210,265424
29/03/2004,214,214,206,210,316795
30/03/2004,210,214,210,210,174112
31/03/2004,214,214,206,206,105509
01/04/2004,206,210,202,210,182178
02/04/2004,210,223,210,223,583796
06/04/2004,223,227,218,223,797016
07/04/2004,227,227,223,223,592427
