Date,Open,High,Low,Close,Volume
17/10/2000,246,250,243,243,233900
18/10/2000,243,245,235,236,348400
19/10/2000,238,243,232,241,337950
20/10/2000,250,253,228,230,1638450
23/10/2000,230,235,225,228,654750
24/10/2000,228,228,225,228,450900
26/10/2000,225,225,223,225,362550
27/10/2000,225,225,225,225,0
30/10/2000,225,225,215,215,691050
31/10/2000,215,215,213,215,573150
01/11/2000,215,223,215,218,1458050
02/11/2000,218,218,213,215,513500
03/11/2000,218,218,213,213,704750
06/11/2000,215,220,215,220,538900
07/11/2000,220,223,218,218,311050
08/11/2000,218,225,218,220,1418300
09/11/2000,220,223,218,220,307350
10/11/2000,218,218,213,218,966400
13/11/2000,215,218,213,215,315400
14/11/2000,215,218,215,215,1101850
15/11/2000,215,220,210,210,1120450
16/11/2000,210,213,208,208,300400
17/11/2000,208,210,205,205,271900
20/11/2000,205,213,205,210,603000
21/11/2000,210,210,208,210,72900
22/11/2000,210,238,210,235,6621700
23/11/2000,238,240,225,225,3083500
24/11/2000,230,235,228,230,1485150
27/11/2000,230,233,228,230,305200
28/11/2000,230,230,225,228,299050
29/11/2000,228,228,225,228,178350
30/11/2000,225,228,223,228,705300
01/12/2000,225,225,220,220,313750
04/12/2000,223,228,220,223,279550
05/12/2000,223,223,220,223,90250
06/12/2000,228,230,223,225,562200
07/12/2000,223,225,223,225,137950
08/12/2000,223,223,220,220,89950
11/12/2000,223,223,213,215,584100
12/12/2000,215,215,205,208,1633300
13/12/2000,208,213,205,208,902200
14/12/2000,208,210,205,208,529300
15/12/2000,205,208,205,208,306700
18/12/2000,205,205,198,203,687800
19/12/2000,203,203,200,203,210800
20/12/2000,203,208,203,203,575700
21/12/2000,203,203,200,203,179700
22/12/2000,203,205,198,200,333200
02/01/2001,198,198,188,190,415350
03/01/2001,190,190,178,178,569250
04/01/2001,183,195,183,195,1588250
05/01/2001,198,198,190,193,1599100
08/01/2001,193,193,188,193,533850
09/01/2001,190,200,190,195,2051500
10/01/2001,195,198,193,195,754350
11/01/2001,193,193,188,190,873100
12/01/2001,190,190,188,188,145050
15/01/2001,190,195,190,195,469650
16/01/2001,195,208,195,208,3359250
17/01/2001,208,210,198,203,2511050
18/01/2001,203,208,203,208,1191200
19/01/2001,208,208,200,203,861400
22/01/2001,205,213,203,213,2184800
23/01/2001,210,213,205,210,1766700
24/01/2001,210,213,210,213,191700
25/01/2001,213,213,210,213,427150
26/01/2001,210,213,210,210,432550
29/01/2001,210,210,203,208,1237450
30/01/2001,208,208,205,205,193200
31/01/2001,208,215,208,213,2069800
01/02/2001,215,220,210,218,3317500
02/02/2001,218,250,218,245,7918700
05/02/2001,250,268,250,268,9866900
06/02/2001,263,263,255,258,2669100
07/02/2001,255,255,243,248,2496850
08/02/2001,250,250,238,240,1864350
09/02/2001,238,238,223,225,2529400
12/02/2001,223,223,215,218,1738650
13/02/2001,218,220,213,215,1513900
14/02/2001,215,215,208,210,952600
15/02/2001,213,233,213,228,4322250
16/02/2001,228,228,218,220,2755650
19/02/2001,215,225,215,220,1392650
20/02/2001,223,225,220,223,644750
21/02/2001,223,228,223,225,1822100
22/02/2001,223,225,218,220,1166450
23/02/2001,220,220,215,220,1090700
26/02/2001,218,218,210,213,1477150
27/02/2001,213,215,210,213,450650
28/02/2001,210,210,203,205,1209500
01/03/2001,205,205,198,200,1215050
02/03/2001,200,203,195,198,1281050
06/03/2001,198,198,195,198,370550
07/03/2001,198,200,195,198,1299350
08/03/2001,198,198,193,195,350150
09/03/2001,193,193,180,185,1854000
12/03/2001,178,178,158,163,6877450
13/03/2001,160,160,138,143,7883200
14/03/2001,143,143,143,143,0
15/03/2001,145,148,138,148,3615750
16/03/2001,150,150,140,143,1885100
19/03/2001,140,143,133,138,2499200
20/03/2001,138,138,130,135,2427600
21/03/2001,130,143,125,143,7340600
22/03/2001,140,140,133,135,2786300
23/03/2001,133,143,133,140,3131250
27/03/2001,140,145,135,138,1663550
28/03/2001,138,143,138,140,1434600
29/03/2001,138,145,138,145,1874650
