Date,Open,High,Low,Close,Volume
08/12/2021,930,970,865,865,7068467
09/12/2021,850,850,805,835,4416673
10/12/2021,845,910,830,875,3231109
13/12/2021,885,905,880,895,1097847
14/12/2021,900,900,860,885,876704
15/12/2021,885,890,865,890,761325
16/12/2021,890,920,880,920,664139
17/12/2021,915,915,895,905,310195
20/12/2021,905,910,860,890,407445
21/12/2021,890,905,875,895,865993
22/12/2021,895,915,890,910,508308
23/12/2021,915,920,895,915,418483
24/12/2021,915,915,905,910,324570
27/12/2021,915,935,910,935,726481
28/12/2021,930,940,920,930,641047
29/12/2021,930,935,905,915,428275
30/12/2021,915,925,895,925,426168
03/01/2022,925,925,910,925,312895
04/01/2022,920,930,915,920,290666
05/01/2022,920,920,905,910,270270
06/01/2022,910,920,900,915,285283
07/01/2022,915,925,910,915,223575
10/01/2022,915,920,910,920,173898
11/01/2022,920,920,885,890,395521
12/01/2022,890,915,885,910,302214
13/01/2022,910,920,900,905,158399
14/01/2022,900,920,900,920,256371
17/01/2022,920,920,905,905,167916
18/01/2022,905,920,880,885,369652
19/01/2022,885,905,885,900,240674
20/01/2022,900,910,895,905,239942
21/01/2022,905,905,880,890,403057
24/01/2022,890,895,870,885,330666
25/01/2022,885,885,855,880,493893
26/01/2022,880,890,870,885,227895
27/01/2022,885,895,865,880,260265
28/01/2022,875,890,865,870,345308
31/01/2022,875,875,865,870,226830
02/02/2022,880,880,865,875,292755
03/02/2022,870,890,870,875,229385
04/02/2022,875,880,860,875,262668
07/02/2022,875,885,865,870,215085
08/02/2022,870,870,855,865,307810
09/02/2022,865,865,850,855,289832
10/02/2022,855,860,850,850,348536
11/02/2022,850,850,820,840,506189
14/02/2022,840,840,825,830,226242
15/02/2022,830,835,810,815,412832
16/02/2022,815,825,815,825,364253
17/02/2022,825,870,825,860,490788
18/02/2022,860,865,850,860,291468
21/02/2022,860,865,845,850,238946
22/02/2022,850,850,830,835,235690
23/02/2022,840,840,810,815,515315
24/02/2022,820,820,805,810,453319
25/02/2022,810,820,805,815,172618
01/03/2022,820,820,805,810,454699
02/03/2022,815,815,800,805,343039
04/03/2022,800,805,755,755,750075
07/03/2022,760,760,705,710,802956
08/03/2022,710,715,685,710,572870
09/03/2022,710,715,700,715,320267
10/03/2022,715,725,705,715,501743
11/03/2022,720,745,715,730,905047
14/03/2022,735,740,720,730,300760
15/03/2022,735,735,715,730,401468
16/03/2022,730,730,720,725,351926
17/03/2022,730,785,725,785,569059
18/03/2022,785,785,750,760,411167
21/03/2022,760,765,740,755,252570
22/03/2022,755,760,740,745,418164
23/03/2022,750,750,730,735,424830
24/03/2022,740,755,730,745,471704
25/03/2022,750,750,730,750,350763
28/03/2022,750,755,740,745,347397
29/03/2022,750,765,735,760,406363
30/03/2022,765,805,755,800,495215
31/03/2022,805,805,765,780,317155
01/04/2022,780,780,760,765,524856
04/04/2022,765,765,750,760,195184
05/04/2022,760,765,750,755,179102
06/04/2022,760,765,750,765,224044
07/04/2022,765,790,755,775,441543
08/04/2022,780,785,775,785,193020
11/04/2022,785,785,760,765,254999
12/04/2022,770,770,740,770,246296
13/04/2022,770,785,755,780,300066
14/04/2022,780,795,775,790,234766
18/04/2022,785,825,780,820,436325
19/04/2022,820,835,810,830,405743
20/04/2022,830,835,815,830,325351
21/04/2022,830,835,820,830,286600
22/04/2022,830,840,825,835,222563
25/04/2022,830,835,825,830,236799
26/04/2022,830,845,825,830,405217
27/04/2022,830,835,775,790,685468
28/04/2022,790,820,785,820,318221
09/05/2022,820,820,790,795,360281
10/05/2022,795,800,785,790,244346
11/05/2022,790,795,760,765,230930
12/05/2022,765,765,715,720,515681
13/05/2022,720,725,685,710,571098
17/05/2022,710,745,700,745,407524
18/05/2022,745,760,740,750,238872
19/05/2022,745,750,720,745,321088
20/05/2022,745,800,740,785,689126
23/05/2022,785,785,735,735,426475
24/05/2022,735,745,710,745,328519
25/05/2022,745,750,735,740,651070
27/05/2022,740,750,715,740,720721
30/05/2022,740,740,720,730,303788
31/05/2022,730,740,715,740,630015
02/06/2022,740,765,730,735,498175
03/06/2022,735,780,735,765,335743
06/06/2022,770,785,765,775,510341
07/06/2022,775,800,765,780,322171
08/06/2022,780,800,770,770,510414
09/06/2022,770,810,765,780,525051
10/06/2022,780,785,755,755,328737
13/06/2022,755,795,750,750,587274
14/06/2022,750,810,750,795,752848
15/06/2022,795,805,780,800,471711
16/06/2022,800,840,795,820,627389
17/06/2022,820,825,765,790,2913224
20/06/2022,790,800,760,780,228260
21/06/2022,780,790,765,775,161839
22/06/2022,775,805,775,805,232359
23/06/2022,805,830,790,820,445432
24/06/2022,820,855,815,820,422715
27/06/2022,815,845,805,805,219003
28/06/2022,805,825,800,815,198462
29/06/2022,815,830,810,815,192570
30/06/2022,820,825,810,815,234790
01/07/2022,820,845,815,825,325549
04/07/2022,825,830,820,825,317694
05/07/2022,825,870,820,865,795427
06/07/2022,865,875,855,865,341930
07/07/2022,865,865,855,860,142068
08/07/2022,860,900,860,890,430680
11/07/2022,895,910,890,910,398560
12/07/2022,910,930,910,930,570782
13/07/2022,930,960,925,950,930136
14/07/2022,950,955,930,945,491834
15/07/2022,945,945,915,925,563648
18/07/2022,925,930,875,885,454334
19/07/2022,885,910,870,910,390053
20/07/2022,910,920,900,915,241828
21/07/2022,910,915,890,895,275053
22/07/2022,895,895,855,860,326330
25/07/2022,860,870,850,855,259869
26/07/2022,860,875,850,850,312444
27/07/2022,850,875,850,865,258449
28/07/2022,865,900,860,890,350288
29/07/2022,890,895,840,855,485012
01/08/2022,855,860,835,850,492605
02/08/2022,850,925,850,900,935203
03/08/2022,900,915,890,900,389764
04/08/2022,900,900,875,885,591947
05/08/2022,890,895,850,860,338814
08/08/2022,860,880,855,870,348733
09/08/2022,870,895,860,880,354320
10/08/2022,885,905,875,900,427329
11/08/2022,900,905,885,895,173990
12/08/2022,895,910,890,900,192795
15/08/2022,900,930,890,895,308066
16/08/2022,895,900,880,885,203953
18/08/2022,885,885,865,875,178374
19/08/2022,875,900,875,885,205232
22/08/2022,885,905,880,900,337514
23/08/2022,900,900,890,890,213294
24/08/2022,890,900,885,895,321644
25/08/2022,895,895,845,855,490987
26/08/2022,855,855,805,805,477907
29/08/2022,805,805,775,795,372187
30/08/2022,795,810,790,800,488295
31/08/2022,800,800,775,780,360997
01/09/2022,780,790,775,790,292936
02/09/2022,790,810,785,805,255335
05/09/2022,800,830,800,820,336436
06/09/2022,825,850,820,835,297736
07/09/2022,840,840,815,815,360296
08/09/2022,820,845,815,845,350647
09/09/2022,850,860,835,845,336025
12/09/2022,850,865,840,865,241332
13/09/2022,865,870,805,805,531801
14/09/2022,800,825,780,815,461196
15/09/2022,820,830,810,810,264909
16/09/2022,810,875,800,875,1557802
19/09/2022,875,875,825,845,316203
20/09/2022,845,850,825,835,183019
21/09/2022,835,840,815,825,98332
22/09/2022,820,835,815,830,217098
23/09/2022,830,830,810,825,159749
26/09/2022,825,840,810,820,217031
27/09/2022,820,835,805,805,277010
28/09/2022,805,830,805,810,169600
29/09/2022,815,825,805,825,263302
30/09/2022,820,830,780,795,501284
03/10/2022,800,840,785,825,243842
04/10/2022,825,840,815,830,241735
05/10/2022,825,845,820,835,240517
06/10/2022,835,845,820,820,169742
07/10/2022,820,845,820,840,181602
10/10/2022,840,845,835,840,234154
11/10/2022,840,840,815,825,192390
12/10/2022,825,825,815,820,198390
13/10/2022,820,820,790,795,233460
14/10/2022,795,800,760,770,609685
17/10/2022,770,780,735,780,345384
18/10/2022,785,795,775,790,277947
19/10/2022,790,790,780,785,125677
20/10/2022,785,785,770,775,104459
21/10/2022,775,800,770,780,188975
24/10/2022,780,785,765,765,145415
25/10/2022,765,770,750,755,155830
26/10/2022,750,755,735,750,284071
27/10/2022,745,755,745,750,273331
28/10/2022,750,750,725,730,326272
31/10/2022,730,785,725,785,291277
01/11/2022,785,790,775,785,198302
02/11/2022,785,800,770,790,346089
