Date,Open,High,Low,Close,Volume
19/08/2010,1000,1070,1000,1060,38935000
20/08/2010,1100,1110,1030,1100,41452500
23/08/2010,1130,1140,1080,1130,22390000
24/08/2010,1090,1140,1090,1090,8125000
25/08/2010,1160,1180,1080,1160,46967500
26/08/2010,1190,1200,1100,1190,17812500
27/08/2010,1250,1250,1170,1250,21987500
30/08/2010,1270,1290,1260,1270,15980000
31/08/2010,1290,1310,1260,1290,11750000
01/09/2010,1310,1310,1290,1310,5292500
02/09/2010,1260,1320,1200,1260,20045000
03/09/2010,1260,1290,1250,1260,6362500
06/09/2010,1250,1280,1240,1250,7867500
07/09/2010,1280,1300,1260,1280,5247500
15/09/2010,1300,1440,1280,1440,28677500
16/09/2010,1530,1630,1440,1530,32112500
17/09/2010,1580,1590,1520,1580,25172500
20/09/2010,1670,1720,1580,1670,16675000
21/09/2010,1660,1730,1660,1660,13267500
22/09/2010,1650,1700,1610,1650,27005000
23/09/2010,1520,1650,1490,1520,31342500
24/09/2010,1570,1590,1520,1570,28042500
27/09/2010,1650,1680,1570,1650,37912500
28/09/2010,1690,1740,1640,1690,45527500
29/09/2010,1720,1750,1710,1720,19157500
30/09/2010,1740,1750,1660,1740,24500000
01/10/2010,1700,1740,1660,1700,29352500
04/10/2010,1670,1720,1660,1670,12575000
05/10/2010,1650,1710,1640,1650,16540000
06/10/2010,1620,1690,1520,1620,29812500
07/10/2010,1630,1660,1580,1630,14937500
08/10/2010,1600,1640,1590,1600,14030000
11/10/2010,1530,1610,1520,1530,22405000
12/10/2010,1460,1550,1420,1460,32235000
13/10/2010,1540,1580,1460,1540,35827500
14/10/2010,1520,1580,1510,1520,24585000
15/10/2010,1540,1570,1520,1540,19257500
18/10/2010,1560,1560,1540,1560,21307500
19/10/2010,1670,1670,1540,1670,55250000
20/10/2010,1660,1720,1620,1660,101725000
21/10/2010,1640,1680,1630,1640,31002500
22/10/2010,1590,1670,1580,1590,30802500
25/10/2010,1630,1640,1610,1630,17635000
26/10/2010,1610,1640,1600,1610,4905000
27/10/2010,1620,1640,1610,1620,7707500
28/10/2010,1660,1660,1610,1660,13697500
29/10/2010,1710,1760,1650,1710,44742500
01/11/2010,1710,1720,1690,1710,11665000
02/11/2010,1720,1750,1700,1720,36567500
03/11/2010,1720,1740,1700,1720,10752500
04/11/2010,1730,1740,1710,1730,18595000
05/11/2010,1740,1770,1730,1740,36965000
08/11/2010,1750,1770,1740,1750,35865000
09/11/2010,1770,1780,1740,1770,37022500
10/11/2010,1770,1830,1760,1770,26415000
