Date,Open,High,Low,Close,Volume
08/03/2023,27.39999961853,27.39999961853,24,27.39999961853,1063562000
09/03/2023,34.200000762939,34.200000762939,33,34.200000762939,528003000
10/03/2023,42.400001525879,42.599998474121,32,42.599998474121,6772109000
13/03/2023,44,53,41.200000762939,53,1791283000
14/03/2023,55,66,55,66,3085736000
15/03/2023,71,82.5,70,82.5,1579973000
16/03/2023,82.5,100,77,77,3183218000
17/03/2023,72,75.5,72,72,423053000
20/03/2023,67,67,67,67,170044000
21/03/2023,62.5,79,62.5,76,3310310000
24/03/2023,78.5,80.5,71,71,840632000
27/03/2023,67,75.5,66.5,71,891215000
28/03/2023,72,78,71.5,75.5,1041581000
29/03/2023,76,76,71.5,73.5,338113000
30/03/2023,73.5,78.5,72,74,542392000
31/03/2023,74.5,88,74.5,81.5,1862118000
03/04/2023,82.5,85,79,81,569833000
04/04/2023,84,92,82,89.5,1568691000
05/04/2023,92,94,88.5,90,651606000
06/04/2023,91.5,92.5,87.5,90,277584000
10/04/2023,90.5,92.5,86.5,87,184360000
11/04/2023,87,95,87,94.5,738211000
12/04/2023,94.5,96,91.5,92.5,329596000
13/04/2023,92.5,93.5,88.5,90,159841000
14/04/2023,92.5,92.5,89,89,122071000
17/04/2023,89,91,83,90,305175000
18/04/2023,90,95,87.5,95,215273000
26/04/2023,95,106.5,94,103,664295000
27/04/2023,103,106.5,100,101.5,174866000
28/04/2023,103.5,103.5,97.5,100,160212000
02/05/2023,101,104.5,99,99,135308000
03/05/2023,99.5,100,97,97,60832000
04/05/2023,97,100,90.5,92,218245000
05/05/2023,92,93,86,90,301876000
08/05/2023,90,93.5,84.5,88,136919000
09/05/2023,88,88,84,85.5,51353000
10/05/2023,81.5,85.5,80.5,80.5,116370000
11/05/2023,80,85.5,80,81,113876000
12/05/2023,82.5,88,80,85.5,143480000
15/05/2023,86.5,87,82,82.5,79891000
16/05/2023,82.5,98.5,82.5,92,549210000
17/05/2023,92,93.5,87,87.5,178307000
19/05/2023,87,89.5,86,87,71731000
22/05/2023,87.5,89.5,87,88.5,41094000
23/05/2023,88.5,89,86.5,86.5,48288000
24/05/2023,86.5,89,86.5,87,38002000
25/05/2023,87.5,90.5,87,88,86636000
26/05/2023,88,88.5,86.5,87.5,33297000
29/05/2023,87.5,88.5,86.5,87.5,33447000
30/05/2023,88,91,86.5,88,61113000
31/05/2023,88.5,89.5,87.5,87.5,42036000
05/06/2023,88,89.5,87.5,88.5,29389000
06/06/2023,89,91.5,88.5,89.5,33783000
07/06/2023,90,93,88.5,92.5,134344000
08/06/2023,94,95.5,91.5,91.5,145215000
09/06/2023,92,92.5,88.5,89,49284000
12/06/2023,89,91.5,88,88.5,34325000
13/06/2023,89.5,91.5,88.5,90,26782000
14/06/2023,90.5,92,89.5,90,26533000
15/06/2023,90.5,92,89.5,91,41920000
16/06/2023,91,103,90.5,99.5,480607000
19/06/2023,99.5,102,93.5,94.5,144123000
20/06/2023,94.5,96.5,91,92,54432000
21/06/2023,92,92,88.5,90,49302000
22/06/2023,90.5,93.5,89.5,90.5,30968000
23/06/2023,90.5,93.5,86,87,88285000
26/06/2023,86.5,87,74,80,370343000
27/06/2023,80,86,80,84.5,80190000
03/07/2023,85.5,86.5,83,84.5,33359000
04/07/2023,84.5,86.5,83.5,85.5,37674000
05/07/2023,85.5,89.5,85.5,86,31390000
06/07/2023,86,88,83.5,87,25230000
07/07/2023,87,90.5,85,90,53196000
10/07/2023,91,95.5,90,95,81927000
11/07/2023,95.5,98,91.5,96,60329000
12/07/2023,96.5,96.5,93,96,31832000
13/07/2023,95.5,97,92.5,97,54110000
14/07/2023,98,105,96.5,103,167265000
17/07/2023,103,122,103,115.5,313189000
18/07/2023,115.5,140,114,138.5,433864000
20/07/2023,139.5,154,126.5,141,445391000
21/07/2023,141,151,138.5,142.5,157301000
24/07/2023,142.5,150,129.5,144.5,196886000
25/07/2023,144.5,149,139.5,144.5,75446000
26/07/2023,145,148,139.5,147,73479000
27/07/2023,147.5,160,142,156,223931000
28/07/2023,158,178,154,175,219823000
31/07/2023,180,181,166,174,131163000
01/08/2023,174,181,166,168.5,143230000
02/08/2023,169,170.5,161.5,168.5,42226000
03/08/2023,168.5,171,165.5,168.5,30324000
04/08/2023,169,176,168,175.5,70043000
07/08/2023,176.5,187,173.5,181.5,103907000
08/08/2023,182,194,181.5,190,142955000
09/08/2023,190,192.5,186.5,191,54678000
10/08/2023,191,191.5,176.5,181.5,87536000
11/08/2023,181.5,202,181.5,199.5,196902000
14/08/2023,199.5,249,199.5,249,375829000
15/08/2023,249,249,249,249,0
16/08/2023,269,269,230,257,395064000
18/08/2023,257,257,257,257,0
21/08/2023,257,257,257,257,0
22/08/2023,257,257,257,257,0
23/08/2023,257,257,257,257,0
24/08/2023,250,257,234,244,212039000
25/08/2023,244,253,220,238,369026000
28/08/2023,237,245,227,240,158472000
29/08/2023,245,246,232,232,108282000
30/08/2023,232,246,227,236,96446000
31/08/2023,237,249,227,227,326426000
01/09/2023,230,238,216,222,225657000
04/09/2023,222,225,201,205,127728000
05/09/2023,205,225,201,225,129663000
06/09/2023,230,247,228,247,151391000
07/09/2023,259,265,237,240,213979000
08/09/2023,241,247,238,240,45123000
11/09/2023,241,244,233,241,38343000
12/09/2023,241,246,230,241,75894000
13/09/2023,242,262,241,261,212554000
14/09/2023,264,287,252,287,191969000
15/09/2023,297,315,291,315,249924000
18/09/2023,321,346,290,318,291182000
19/09/2023,315,327,290,295,266345000
20/09/2023,296,305,286,290,131928000
21/09/2023,291,291,273,275,108390000
22/09/2023,276,302,266,302,306701000
25/09/2023,316,344,307,318,442177000
26/09/2023,321,330,292,292,195761000
27/09/2023,292,304,292,293,70552000
29/09/2023,299,300,284,286,59702000
02/10/2023,285,297,282,285,62049000
03/10/2023,289,289,275,280,83351000
04/10/2023,281,284,264,270,70135000
05/10/2023,271,277,265,265,32983000
06/10/2023,265,273,265,268,48131000
09/10/2023,269,281,267,271,63549000
10/10/2023,274,288,269,285,57277000
11/10/2023,295,295,279,281,61076000
12/10/2023,283,290,274,278,51190000
13/10/2023,280,283,275,279,50617000
16/10/2023,289,289,232,241,134502000
17/10/2023,241,278,233,273,145589000
18/10/2023,278,295,271,276,145108000
19/10/2023,278,284,271,282,68193000
20/10/2023,282,292,277,287,69278000
23/10/2023,287,289,271,280,60101000
24/10/2023,280,292,280,290,53277000
25/10/2023,290,315,290,314,154206000
26/10/2023,314,365,308,358,189826000
27/10/2023,360,447,359,447,393425000
30/10/2023,449,555,447,520,625478000
31/10/2023,525,552.5,483,540,232418000
01/11/2023,545,567.5,525,527.5,134727000
02/11/2023,532.5,557.5,515,535,84570000
03/11/2023,537.5,547.5,517.5,535,84498000
06/11/2023,540,637.5,540,602.5,253578000
07/11/2023,602.5,602.5,602.5,602.5,0
08/11/2023,600,667.5,582.5,650,195174000
09/11/2023,652.5,705,652.5,700,252239000
10/11/2023,700,700,700,700,0
13/11/2023,700,700,700,700,0
14/11/2023,700,700,700,700,0
15/11/2023,690,705,660,687.5,188929000
16/11/2023,687.5,695,620,665,256810000
17/11/2023,662.5,697.5,650,680,143628000
20/11/2023,680,720,670,680,103374000
21/11/2023,680,685,650,650,89224000
22/11/2023,650,655,585,650,166798000
23/11/2023,650,687.5,630,665,77696000
24/11/2023,667.5,670,637.5,652.5,30686000
27/11/2023,652.5,677.5,627.5,670,58730000
28/11/2023,672.5,735,667.5,735,230491000
29/11/2023,750,802.5,740,802.5,193576000
30/11/2023,827.5,882.5,810,882.5,334548000
01/12/2023,900,920,795,900,152089000
04/12/2023,915,947.5,860,947.5,148063000
05/12/2023,957.5,1005,915,975,191248000
06/12/2023,990,995,950,982.5,73230000
07/12/2023,980,997.5,957.5,982.5,71601000
08/12/2023,982.5,1080,977.5,1080,140254000
11/12/2023,1085,1110,1030,1070,164573000
12/12/2023,1077.5,1110,990,1095,110101000
13/12/2023,1095,1170,1082.5,1135,120665000
14/12/2023,1135,1197.5,1050,1192.5,156349000
15/12/2023,1200,1305,1172.5,1280,165863000
18/12/2023,1290,1375,1275,1342.5,165511000
19/12/2023,1342.5,1342.5,1342.5,1342.5,0
20/12/2023,1342.5,1342.5,1342.5,1342.5,0
21/12/2023,1342.5,1342.5,1342.5,1342.5,0
22/12/2023,1342.5,1342.5,1342.5,1342.5,0
27/12/2023,1342.5,1342.5,1342.5,1342.5,0
28/12/2023,1342.5,1342.5,1342.5,1342.5,0
29/12/2023,1342.5,1342.5,1342.5,1342.5,0
02/01/2024,1342.5,1342.5,1342.5,1342.5,0
03/01/2024,1342.5,1342.5,1342.5,1342.5,0
04/01/2024,1342.5,1342.5,1342.5,1342.5,0
05/01/2024,1342.5,1342.5,1342.5,1342.5,0
08/01/2024,1342.5,1342.5,1342.5,1342.5,0
09/01/2024,1342.5,1342.5,1342.5,1342.5,0
10/01/2024,1342.5,1342.5,1342.5,1342.5,0
11/01/2024,1342.5,1342.5,1342.5,1342.5,0
12/01/2024,1342.5,1342.5,1342.5,1342.5,0
15/01/2024,1342.5,1342.5,1342.5,1342.5,0
16/01/2024,1210,1210,1210,1210,13305000
17/01/2024,1090,1090,1090,1090,5624000
18/01/2024,982.5,982.5,982.5,982.5,13485000
19/01/2024,890,890,885,885,26924000
22/01/2024,797.5,845,797.5,820,946695000
23/01/2024,820,900,805,900,356259000
24/01/2024,917.5,977.5,905,932.5,334165000
25/01/2024,935,955,875,882.5,145191000
26/01/2024,882.5,885,800,825,122507000
29/01/2024,827.5,852.5,742.5,742.5,151714000
30/01/2024,730,762.5,670,685,267930000
31/01/2024,690,720,625,657.5,167238000
01/02/2024,655,687.5,637.5,660,102962000
02/02/2024,662.5,682.5,642.5,680,85611000
05/02/2024,685,747.5,680,747.5,173185000
06/02/2024,745,817.5,732.5,810,155664000
07/02/2024,810,835,750,780,171039000
12/02/2024,780,780,730,730,92301000
13/02/2024,710,710,657.5,657.5,31321000
15/02/2024,620,660,592.5,592.5,120606000
16/02/2024,592.5,682.5,550,662.5,252439000
19/02/2024,682.5,795,682.5,790,312315000
20/02/2024,795,800,702.5,705,254536000
21/02/2024,710,745,675,695,115612000
22/02/2024,697.5,717.5,687.5,710,54451000
23/02/2024,717.5,730,690,692.5,51919000
26/02/2024,695,710,682.5,700,40787000
27/02/2024,707.5,707.5,680,680,31371000
28/02/2024,680,727.5,677.5,705,77428000
29/02/2024,715,727.5,692.5,712.5,333595000
01/03/2024,730,740,702.5,710,86590000
04/03/2024,720,722.5,687.5,690,77065000
05/03/2024,690,697.5,635,640,119445000
06/03/2024,640,655,582.5,620,130936000
07/03/2024,620,695,620,685,126427000
08/03/2024,670,687.5,642.5,657.5,85165000
13/03/2024,670,675,637.5,637.5,78323000
14/03/2024,637.5,655,602.5,620,117404000
15/03/2024,620,637.5,525,525,229381000
18/03/2024,525,525,458,472,331910000
19/03/2024,473,497,463,466,125706000
20/03/2024,470,479,443,474,137781000
21/03/2024,474,527.5,470,493,182655000
22/03/2024,493,502.5,485,494,56167000
25/03/2024,494,494,494,494,0
26/03/2024,494,494,494,494,0
27/03/2024,505,517.5,497,507.5,28189000
28/03/2024,510,515,496,496,33013000
01/04/2024,496,505,472,495,45757000
02/04/2024,495,507.5,486,500,47875000
03/04/2024,500,515,498,498,61978000
04/04/2024,499,507.5,495,498,29078000
05/04/2024,498,565,498,542.5,162261000
16/04/2024,542.5,577.5,512.5,565,86237000
17/04/2024,575,677.5,565,647.5,323049000
18/04/2024,650,650,597.5,612.5,158012000
19/04/2024,612.5,625,572.5,612.5,81483000
22/04/2024,617.5,630,587.5,602.5,61474000
23/04/2024,602.5,617.5,592.5,602.5,35120000
24/04/2024,605,647.5,602.5,627.5,100488000
25/04/2024,630,647.5,620,622.5,58238000
26/04/2024,622.5,667.5,612.5,637.5,181318000
29/04/2024,640,717.5,640,715,236662000
30/04/2024,717.5,765,717.5,745,188550000
02/05/2024,765,775,725,760,157791000
03/05/2024,760,765,695,702.5,139328000
06/05/2024,702.5,725,702.5,720,61399000
07/05/2024,720,742.5,717.5,732.5,71872000
08/05/2024,735,752.5,705,705,57602000
13/05/2024,707.5,767.5,705,750,140297000
14/05/2024,752.5,765,725,735,89364000
15/05/2024,735,785,715,785,219592000
16/05/2024,800,862.5,785,825,324779000
17/05/2024,825,917.5,820,850,281993000
20/05/2024,855,880,787.5,807.5,170849000
21/05/2024,812.5,830,807.5,812.5,61344000
22/05/2024,822.5,825,802.5,810,34209000
27/05/2024,805,820,700,725,155538000
28/05/2024,725,817.5,725,780,144056000
29/05/2024,780,780,662.5,760,235222000
30/05/2024,760,792.5,740,755,75742000
