Date,Open,High,Low,Close,Volume
06/01/2021,525,525,525,525,1100
07/01/2021,655,655,655,655,100
08/01/2021,815,815,815,815,3500
11/01/2021,1015,1015,1015,1015,7400
12/01/2021,1265,1265,1265,1265,6900
13/01/2021,1455,1580,1455,1580,30700
14/01/2021,1975,1975,1970,1975,29500
15/01/2021,2460,2460,2460,2460,15800
18/01/2021,2820,3070,2820,3070,994200
19/01/2021,3070,3070,3070,3070,0
20/01/2021,3070,3830,3070,3830,335900
21/01/2021,4300,4780,4300,4780,98600
22/01/2021,4780,4780,4780,4780,0
25/01/2021,4780,4780,4780,4780,0
26/01/2021,4780,4780,4780,4780,0
27/01/2021,4780,4780,4780,4780,0
28/01/2021,4790,5975,4780,5975,488000
29/01/2021,6550,7150,6500,7150,109400
01/02/2021,7700,8575,7700,8575,137900
02/02/2021,9450,10275,7975,7975,296500
03/02/2021,7425,7425,7425,7425,34000
04/02/2021,6925,8875,6925,7025,838600
05/02/2021,7050,8425,7050,8250,494500
08/02/2021,8500,9850,8350,9300,302900
09/02/2021,9300,10300,9300,10200,383200
10/02/2021,10300,12225,10300,12225,286100
11/02/2021,12225,12225,12225,12225,0
15/02/2021,12225,12225,12225,12225,0
16/02/2021,12225,12225,12225,12225,0
17/02/2021,12225,12225,12225,12225,0
18/02/2021,12225,12225,12225,12225,0
19/02/2021,12225,12225,12225,12225,0
22/02/2021,12225,12225,12225,12225,0
23/02/2021,12225,12225,12225,12225,0
24/02/2021,12225,12225,12225,12225,0
25/02/2021,12225,12225,12225,12225,0
26/02/2021,12225,12225,12225,12225,0
01/03/2021,12225,12225,12225,12225,0
02/03/2021,12225,12225,12225,12225,0
03/03/2021,12225,12225,12225,12225,0
04/03/2021,12225,12225,12225,12225,0
05/03/2021,12225,12225,12225,12225,0
08/03/2021,12225,12225,12225,12225,0
09/03/2021,12225,12225,12225,12225,0
10/03/2021,12225,12225,12225,12225,0
12/03/2021,12225,12225,12225,12225,0
15/03/2021,12225,12225,12225,12225,0
16/03/2021,12225,12225,12225,12225,0
17/03/2021,12225,12225,12225,12225,0
18/03/2021,12000,12000,11375,11375,41300
19/03/2021,10600,10600,10600,10600,3500
22/03/2021,9875,12200,9875,12200,278200
23/03/2021,12300,12325,11350,11475,50300
24/03/2021,10975,11275,10675,11275,18500
25/03/2021,11275,11275,10500,10700,9500
26/03/2021,10700,11950,10700,11775,32700
29/03/2021,11775,11775,10975,11200,12600
30/03/2021,11200,11200,10475,11200,4900
31/03/2021,11100,11100,10500,10525,11400
01/04/2021,10525,11275,10525,11275,3000
05/04/2021,11200,11275,11200,11275,12200
06/04/2021,11225,11500,11225,11350,24200
07/04/2021,11350,11400,11000,11325,19200
08/04/2021,11400,11750,11400,11750,17300
09/04/2021,11775,11800,11775,11800,1600
12/04/2021,11750,11750,11750,11750,1000
13/04/2021,11500,11500,11100,11200,6000
14/04/2021,11200,11825,11200,11825,5300
15/04/2021,11875,11875,11625,11625,14000
16/04/2021,11625,11800,11400,11800,13700
19/04/2021,11775,12400,11775,12300,13100
20/04/2021,12200,12300,11950,12000,1900
21/04/2021,12000,12000,12000,12000,200
22/04/2021,12000,12000,12000,12000,500
23/04/2021,12100,12150,12050,12050,1200
26/04/2021,12050,12600,12050,12500,3900
27/04/2021,12500,12800,12375,12375,4200
28/04/2021,12375,12375,11525,11950,4000
29/04/2021,11950,11950,11875,11875,2900
30/04/2021,11875,11875,11375,11375,600
03/05/2021,11375,11375,11375,11375,1400
04/05/2021,11400,11425,10700,10700,1400
05/05/2021,10700,11950,10700,11925,5400
06/05/2021,11900,11900,11900,11900,700
07/05/2021,11700,11900,11150,11825,2300
10/05/2021,11825,11825,11825,11825,200
11/05/2021,11750,11750,11700,11700,300
17/05/2021,11700,11700,11675,11675,1900
18/05/2021,10875,11000,10875,11000,10300
19/05/2021,11000,11975,11000,11975,4600
20/05/2021,11900,11900,11225,11800,5100
21/05/2021,11800,11800,11500,11500,3500
24/05/2021,11650,11900,11600,11700,6400
25/05/2021,11700,11700,11700,11700,1100
27/05/2021,11700,11700,11700,11700,0
28/05/2021,11325,11475,11075,11475,900
31/05/2021,11375,13750,11375,13750,18400
02/06/2021,13825,16500,13775,16500,32100
03/06/2021,16575,19800,16575,19800,54000
04/06/2021,21350,23750,21350,23750,27700
07/06/2021,23800,28500,23800,28500,18000
08/06/2021,30400,34200,30400,34200,41100
09/06/2021,35000,41025,31825,36200,204300
10/06/2021,36450,43250,36300,41000,108800
11/06/2021,41100,49200,41100,43200,182100
14/06/2021,43325,51500,43300,50250,195800
15/06/2021,50250,50250,50250,50250,0
16/06/2021,50500,60300,50250,59000,172000
17/06/2021,59000,59000,59000,59000,0
18/06/2021,59000,59000,59000,59000,0
21/06/2021,59000,59000,59000,59000,0
22/06/2021,59000,59000,59000,59000,0
23/06/2021,59000,59000,59000,59000,0
24/06/2021,59000,59000,59000,59000,0
25/06/2021,59000,59000,59000,59000,0
28/06/2021,59000,59000,59000,59000,0
29/06/2021,59000,59000,59000,59000,0
30/06/2021,59000,59000,59000,59000,0
01/07/2021,59000,59000,59000,59000,0
02/07/2021,59000,59000,59000,59000,0
05/07/2021,59000,59000,59000,59000,0
06/07/2021,59000,59000,59000,59000,0
07/07/2021,59000,59000,59000,59000,0
08/07/2021,59000,59000,59000,59000,0
09/07/2021,59000,59000,59000,59000,0
12/07/2021,59000,59000,59000,59000,0
13/07/2021,59000,59000,59000,59000,0
14/07/2021,59000,59000,59000,59000,0
15/07/2021,59000,59000,59000,59000,0
16/07/2021,59000,59000,59000,59000,0
19/07/2021,59000,59000,59000,59000,0
21/07/2021,59000,59000,59000,59000,0
22/07/2021,59000,59000,59000,59000,0
23/07/2021,59000,59000,59000,59000,0
26/07/2021,59000,59000,59000,59000,0
27/07/2021,59000,59000,59000,59000,0
28/07/2021,59000,59000,59000,59000,0
29/07/2021,59000,59000,59000,59000,0
30/07/2021,59000,59000,59000,59000,0
02/08/2021,59000,59000,59000,59000,0
03/08/2021,59000,59000,59000,59000,0
04/08/2021,59000,59000,59000,59000,0
05/08/2021,59000,59000,59000,59000,0
06/08/2021,59000,59000,59000,59000,0
09/08/2021,59000,59000,59000,59000,0
10/08/2021,59000,59000,59000,59000,0
12/08/2021,58775,58775,54875,54875,5300
13/08/2021,51050,51050,51050,51050,1900
16/08/2021,47500,47500,47500,47500,1600
18/08/2021,44175,44175,44175,44175,4000
19/08/2021,43925,43925,41100,41100,3600
20/08/2021,39000,39000,38225,38225,13800
23/08/2021,35650,35650,35550,35550,6700
24/08/2021,33075,39100,33075,39100,102400
25/08/2021,39250,43000,39250,43000,10100
26/08/2021,44100,47300,43000,47275,123200
27/08/2021,47300,51500,47275,50675,97400
30/08/2021,51000,53000,47300,50675,58400
31/08/2021,50675,50800,49500,50700,36300
01/09/2021,51000,51000,49250,49250,10600
02/09/2021,49300,49500,48000,48000,13900
03/09/2021,48000,48000,46025,46025,8100
