Date,Open,High,Low,Close,Volume
15/01/2026,535,540,530,540,237293
19/01/2026,545,550,535,535,228215
20/01/2026,545,560,535,550,649779
21/01/2026,550,555,535,540,282281
22/01/2026,540,610,540,590,1808950
23/01/2026,585,595,560,580,548782
26/01/2026,600,720,595,710,3356895
27/01/2026,680,685,625,650,1954667
28/01/2026,610,675,600,635,1252919
29/01/2026,635,655,540,645,1555826
30/01/2026,660,705,640,685,1723900
02/02/2026,655,690,620,675,1264264
03/02/2026,675,730,655,720,1650547
04/02/2026,730,770,685,685,1250758
05/02/2026,685,730,685,705,649013
06/02/2026,670,710,655,705,1167216
09/02/2026,710,735,690,720,600238
10/02/2026,720,790,705,775,1706117
11/02/2026,775,785,745,770,850365
12/02/2026,770,775,730,745,732939
13/02/2026,725,770,725,740,503259
18/02/2026,740,810,730,805,1417314
19/02/2026,815,850,790,810,1452909
20/02/2026,820,840,790,800,845261
23/02/2026,800,810,775,810,932575
24/02/2026,810,810,775,780,511448
25/02/2026,780,840,755,840,1200615
26/02/2026,835,855,800,845,1013651
27/02/2026,845,870,825,850,598522
02/03/2026,935,1050,875,1000,7533630
03/03/2026,1000,1010,925,940,4083280
04/03/2026,940,980,865,875,3909533
05/03/2026,900,905,855,860,1606387
06/03/2026,875,940,850,850,3411384
09/03/2026,925,930,830,840,3297776
10/03/2026,800,825,765,805,2912652
11/03/2026,805,805,735,750,1841366
12/03/2026,765,780,740,745,1258445
13/03/2026,745,755,705,710,1321250
16/03/2026,715,720,675,705,989555
17/03/2026,710,730,695,695,803655
25/03/2026,690,740,680,720,870918
26/03/2026,735,740,705,720,659308
27/03/2026,720,735,705,730,479538
30/03/2026,750,770,725,740,1145747
31/03/2026,745,755,725,745,725134
01/04/2026,750,750,705,710,541056
02/04/2026,720,735,710,710,443746
06/04/2026,715,725,710,715,280629
07/04/2026,720,730,715,715,253779
08/04/2026,695,700,655,700,1000263
09/04/2026,700,720,685,690,503312
10/04/2026,695,700,685,690,261988
13/04/2026,705,725,700,715,870175
14/04/2026,720,735,710,735,542706
15/04/2026,730,745,725,725,386713
16/04/2026,730,735,705,710,226489
17/04/2026,710,725,705,725,191892
20/04/2026,735,750,725,725,467862
21/04/2026,730,735,715,720,200414
22/04/2026,725,750,725,730,281833
23/04/2026,740,805,735,805,2237983
24/04/2026,820,825,760,780,1414214
27/04/2026,785,790,750,780,453152
28/04/2026,795,840,780,830,1896331
29/04/2026,830,845,810,830,802463
30/04/2026,845,845,785,790,701325
