Date,Open,High,Low,Close,Volume
12/01/2010,72,74,70,73,3712700
13/01/2010,73,73,70,72,85500
14/01/2010,72,72,70,70,57550
15/01/2010,70,71,63,63,33150
18/01/2010,65,65,63,64,8600
19/01/2010,61,64,57,64,58050
20/01/2010,64,64,59,61,6900
21/01/2010,60,61,57,57,23200
22/01/2010,57,60,50,55,9800
25/01/2010,57,57,55,57,2650
26/01/2010,55,55,50,55,17600
27/01/2010,52,57,52,57,4200
28/01/2010,56,60,56,60,2150
29/01/2010,53,58,52,58,10550
01/02/2010,58,58,58,58,0
02/02/2010,58,60,57,60,11500
03/02/2010,54,59,54,59,1750
04/02/2010,55,56,54,54,6100
05/02/2010,52,56,52,56,6800
08/02/2010,55,56,52,52,300
09/02/2010,52,55,50,51,5600
10/02/2010,53,54,52,52,2700
11/02/2010,51,54,51,52,27250
12/02/2010,52,54,52,54,24400
15/02/2010,54,54,54,54,2500
16/02/2010,52,52,52,52,1250
17/02/2010,53,53,53,53,3700
18/02/2010,53,54,53,53,4200
19/02/2010,53,53,53,53,0
22/02/2010,53,53,53,53,0
23/02/2010,51,53,51,53,15600
24/02/2010,51,51,50,50,3650
25/02/2010,51,51,50,50,3050
01/03/2010,50,50,50,50,5050
02/03/2010,49,50,48,50,1100
03/03/2010,48,52,48,52,2750
04/03/2010,50,53,50,53,22800
05/03/2010,50,50,50,50,1250
08/03/2010,50,50,50,50,1950
09/03/2010,51,51,50,50,5200
10/03/2010,50,50,49,50,5500
11/03/2010,50,52,49,52,5900
12/03/2010,49,50,49,49,5350
15/03/2010,50,50,50,50,2700
17/03/2010,49,51,49,49,12000
18/03/2010,50,51,50,50,6300
19/03/2010,50,50,49,50,12450
22/03/2010,49,49,49,49,100
23/03/2010,48,52,48,52,1500
24/03/2010,52,52,49,51,10700
25/03/2010,51,51,50,50,2450
26/03/2010,50,50,50,50,9200
29/03/2010,51,54,50,54,27000
30/03/2010,52,54,51,53,6350
31/03/2010,53,57,53,57,22150
01/04/2010,57,58,57,58,900
05/04/2010,56,59,56,59,12500
06/04/2010,58,60,57,60,15050
07/04/2010,61,62,61,62,400
08/04/2010,58,62,58,62,2650
09/04/2010,62,64,62,62,2150
12/04/2010,62,63,62,63,200
13/04/2010,63,63,63,63,1100
14/04/2010,60,64,60,64,5200
15/04/2010,56,64,56,64,1000
16/04/2010,63,67,63,67,2600
19/04/2010,67,67,64,67,450
20/04/2010,66,66,65,65,3100
21/04/2010,60,65,60,65,300
22/04/2010,64,64,64,64,1000
23/04/2010,65,65,63,63,400
26/04/2010,64,65,60,65,3250
27/04/2010,65,65,65,65,100
28/04/2010,65,65,65,65,100
29/04/2010,65,66,63,66,5900
30/04/2010,65,65,65,65,2450
03/05/2010,64,64,64,64,50
04/05/2010,64,64,64,64,0
05/05/2010,64,64,64,64,0
06/05/2010,55,64,55,64,3100
07/05/2010,63,63,63,63,50
10/05/2010,64,64,64,64,150
11/05/2010,64,64,64,64,0
12/05/2010,64,64,64,64,0
14/05/2010,64,64,64,64,0
17/05/2010,64,64,64,64,0
18/05/2010,64,64,64,64,0
19/05/2010,64,64,64,64,600
20/05/2010,64,64,64,64,0
21/05/2010,64,64,64,64,0
24/05/2010,64,64,63,63,20000
25/05/2010,65,65,63,64,29750
26/05/2010,63,63,61,61,6000
27/05/2010,62,62,62,62,45000
31/05/2010,62,63,62,63,40250
01/06/2010,62,64,50,50,28100
02/06/2010,62,62,62,62,25000
03/06/2010,62,62,50,58,80850
04/06/2010,55,58,53,58,5600
07/06/2010,55,57,55,57,4050
08/06/2010,57,58,53,58,68200
09/06/2010,59,59,55,58,30600
10/06/2010,55,59,55,59,3850
11/06/2010,59,59,58,58,45300
14/06/2010,59,59,57,58,43550
15/06/2010,58,58,56,58,1450
16/06/2010,58,59,58,59,550
17/06/2010,58,59,58,59,51250
18/06/2010,58,58,58,58,250
21/06/2010,58,58,57,58,1150
22/06/2010,58,58,58,58,0
23/06/2010,57,58,57,58,750
24/06/2010,58,58,58,58,0
25/06/2010,54,58,54,58,1250
28/06/2010,54,60,54,60,6500
29/06/2010,57,62,57,62,1450
30/06/2010,61,62,60,60,300
01/07/2010,62,62,61,61,350
02/07/2010,61,61,61,61,0
05/07/2010,60,61,60,61,750
06/07/2010,60,64,60,64,3000
07/07/2010,63,64,62,64,2000
08/07/2010,65,65,61,61,2150
09/07/2010,61,64,61,64,1550
12/07/2010,63,66,61,66,2700
13/07/2010,62,65,62,64,250
14/07/2010,65,65,65,65,150
15/07/2010,65,65,65,65,0
16/07/2010,65,65,65,65,0
19/07/2010,55,65,55,65,1050
20/07/2010,65,65,65,65,0
21/07/2010,65,65,65,65,0
22/07/2010,56,65,55,65,2650
23/07/2010,62,65,62,65,2150
26/07/2010,65,65,65,65,0
27/07/2010,65,65,65,65,0
28/07/2010,64,64,61,64,2050
29/07/2010,64,66,64,65,30850
30/07/2010,69,72,65,68,7950
02/08/2010,68,69,60,69,13400
03/08/2010,67,67,60,67,27600
04/08/2010,60,67,60,67,8600
05/08/2010,67,67,66,67,1150
06/08/2010,64,66,62,66,13700
09/08/2010,66,67,64,67,1300
10/08/2010,67,67,67,67,0
11/08/2010,67,67,67,67,0
12/08/2010,67,67,67,67,0
13/08/2010,66,67,66,67,150
16/08/2010,67,67,67,67,0
18/08/2010,62,66,62,66,3650
19/08/2010,66,66,66,66,0
20/08/2010,62,63,61,63,2900
23/08/2010,61,64,61,63,850
24/08/2010,61,64,61,64,2000
25/08/2010,61,61,60,60,2450
26/08/2010,60,64,60,64,7400
27/08/2010,63,72,63,65,23200
30/08/2010,68,69,64,69,1100
31/08/2010,64,69,64,69,1450
01/09/2010,68,71,68,71,8600
02/09/2010,71,84,71,76,222550
03/09/2010,77,94,77,89,227400
06/09/2010,90,111,90,111,378450
07/09/2010,120,138,95,110,475900
15/09/2010,111,111,85,92,93550
16/09/2010,87,90,83,87,27200
17/09/2010,90,98,89,96,68950
20/09/2010,97,98,88,93,13400
21/09/2010,94,100,89,93,146400
22/09/2010,91,92,84,88,89150
23/09/2010,86,88,83,87,42850
24/09/2010,87,87,83,83,1100
27/09/2010,87,95,84,89,8200
28/09/2010,85,99,85,96,68150
29/09/2010,99,102,93,95,84850
30/09/2010,95,97,87,97,21650
01/10/2010,95,97,90,95,15400
04/10/2010,95,99,91,95,32200
05/10/2010,94,97,93,93,24900
06/10/2010,93,97,92,92,37050
07/10/2010,93,93,91,93,14450
08/10/2010,94,94,93,94,7100
11/10/2010,92,93,92,93,5750
12/10/2010,92,95,90,94,10100
13/10/2010,93,93,92,92,3800
14/10/2010,91,93,91,93,26200
15/10/2010,92,96,92,94,8750
18/10/2010,92,92,91,92,5650
19/10/2010,92,94,91,94,2000
20/10/2010,91,93,91,93,3650
21/10/2010,92,96,92,92,16400
22/10/2010,92,92,91,91,7300
25/10/2010,92,92,91,92,10200
26/10/2010,93,96,92,94,19450
27/10/2010,94,94,93,94,25650
28/10/2010,94,94,92,94,41900
29/10/2010,95,98,91,91,78000
01/11/2010,92,93,92,92,8050
02/11/2010,93,99,93,94,37650
03/11/2010,94,94,94,94,3000
04/11/2010,94,102,92,99,114650
05/11/2010,100,100,96,100,6100
08/11/2010,99,108,99,106,98800
09/11/2010,108,108,99,100,67350
10/11/2010,103,106,100,101,103150
11/11/2010,101,102,99,102,10850
