Date,Open,High,Low,Close,Volume
17/11/2011,2725,2725,2500,2725,27077000
18/11/2011,2875,2900,2675,2875,21402000
21/11/2011,2800,2900,2775,2800,11405000
22/11/2011,2925,2950,2750,2925,13297000
23/11/2011,2875,2900,2850,2875,2868500
24/11/2011,2900,2900,2825,2900,2275500
25/11/2011,2800,2850,2750,2800,3037000
28/11/2011,2750,2850,2725,2750,1493000
29/11/2011,2800,2850,2725,2800,7673000
30/11/2011,2775,2800,2750,2775,802000
01/12/2011,2775,2775,2775,2775,0
02/12/2011,2750,2775,2725,2750,770500
05/12/2011,2700,2750,2675,2700,1698000
06/12/2011,2675,2700,2625,2675,1090000
07/12/2011,2650,2675,2625,2650,93500
08/12/2011,2650,2650,2600,2650,285500
09/12/2011,2675,2675,2600,2675,469000
12/12/2011,2675,2700,2650,2675,1068000
13/12/2011,2650,2675,2600,2650,357000
14/12/2011,2600,2625,2600,2600,153000
15/12/2011,2550,2600,2550,2550,435500
16/12/2011,2600,2625,2550,2600,262000
19/12/2011,2600,2600,2550,2600,357500
20/12/2011,2600,2600,2550,2600,384500
21/12/2011,2600,2600,2550,2600,456500
22/12/2011,2675,2700,2575,2675,2616000
23/12/2011,2725,2775,2700,2725,2532500
27/12/2011,2625,2725,2625,2625,217500
28/12/2011,2600,2625,2600,2600,87000
29/12/2011,2625,2625,2600,2625,194500
30/12/2011,2725,2725,2600,2725,4517000
02/01/2012,2625,2675,2600,2625,25500
03/01/2012,2625,2650,2600,2625,169000
04/01/2012,2600,2625,2600,2600,300500
05/01/2012,2675,2675,2625,2675,1468000
06/01/2012,2750,2750,2650,2750,3298000
09/01/2012,2750,2775,2700,2750,500500
10/01/2012,2750,2750,2700,2750,164500
11/01/2012,2750,2775,2725,2750,385500
12/01/2012,2700,2750,2700,2700,20000
13/01/2012,2700,2750,2675,2700,279500
16/01/2012,2675,2675,2675,2675,41500
17/01/2012,2700,2700,2650,2700,268500
18/01/2012,2750,2750,2675,2750,703500
19/01/2012,2700,2750,2700,2700,91000
20/01/2012,2750,2750,2675,2750,449000
24/01/2012,2700,2725,2700,2700,32500
25/01/2012,2625,2700,2600,2625,2055000
26/01/2012,2600,2600,2575,2600,383500
27/01/2012,2650,2650,2600,2650,2317000
30/01/2012,2650,2650,2650,2650,0
31/01/2012,2600,2600,2575,2600,253000
01/02/2012,2600,2600,2575,2600,70000
02/02/2012,2600,2625,2550,2600,746500
03/02/2012,2600,2600,2550,2600,118500
06/02/2012,2550,2600,2550,2550,480500
07/02/2012,2550,2550,2550,2550,53500
08/02/2012,2600,2625,2575,2600,987000
09/02/2012,2600,2600,2575,2600,152500
10/02/2012,2600,2650,2575,2600,600500
13/02/2012,2600,2600,2600,2600,42000
14/02/2012,2600,2600,2575,2600,80500
15/02/2012,2600,2600,2575,2600,4500
16/02/2012,2600,2600,2550,2600,86000
17/02/2012,2600,2600,2575,2600,112500
20/02/2012,2575,2600,2575,2575,169500
21/02/2012,2625,2700,2575,2625,1050000
22/02/2012,2600,2650,2600,2600,44000
23/02/2012,2625,2625,2600,2625,41000
24/02/2012,2550,2575,2550,2550,157000
27/02/2012,2550,2550,2550,2550,23500
28/02/2012,2550,2575,2550,2550,12500
29/02/2012,2550,2575,2550,2550,646000
01/03/2012,2550,2550,2550,2550,92000
02/03/2012,2575,2600,2575,2575,282500
05/03/2012,2625,2650,2600,2625,1782500
06/03/2012,2625,2625,2625,2625,0
07/03/2012,2625,2625,2625,2625,0
08/03/2012,2650,2675,2650,2650,193000
09/03/2012,2675,2675,2650,2675,78000
12/03/2012,2625,2625,2625,2625,27500
13/03/2012,2625,2625,2600,2625,39500
14/03/2012,2625,2650,2600,2625,197000
15/03/2012,2600,2625,2600,2600,11500
16/03/2012,2650,2700,2625,2650,644500
19/03/2012,2675,2700,2675,2675,548000
20/03/2012,2750,2750,2650,2750,679500
21/03/2012,2975,3000,2775,2975,6571000
22/03/2012,2975,3150,2950,2975,2928000
26/03/2012,2950,2975,2925,2950,672500
27/03/2012,2925,2950,2900,2925,975500
28/03/2012,2925,2925,2850,2925,1029500
29/03/2012,2875,2900,2875,2875,142500
30/03/2012,2850,2900,2850,2850,79000
02/04/2012,2825,2850,2825,2825,32500
