Date,Open,High,Low,Close,Volume
19/08/2010,2100,2125,2087.5,2112.5,32554000
20/08/2010,2100,2125,2087.5,2112.5,31023000
23/08/2010,2125,2125,2100,2112.5,10605000
24/08/2010,2100,2187.5,2100,2162.5,98250000
25/08/2010,2150,2187.5,2150,2175,52607000
26/08/2010,2187.5,2250,2187.5,2250,99980000
27/08/2010,2250,2337.5,2225,2287.5,142479000
30/08/2010,2325,2425,2325,2412.5,108333000
31/08/2010,2400,2400,2225,2275,103389000
01/09/2010,2287.5,2337.5,2225,2250,93438000
02/09/2010,2275,2300,2225,2237.5,69727000
03/09/2010,2250,2300,2237.5,2275,54029000
06/09/2010,2287.5,2425,2287.5,2425,136962000
07/09/2010,2400,2475,2387.5,2437.5,53033000
15/09/2010,2500,2725,2500,2575,95575000
16/09/2010,2575,2600,2500,2600,51462000
17/09/2010,2625,2625,2500,2550,52369000
20/09/2010,2550,2725,2550,2675,58054000
21/09/2010,2700,2750,2600,2675,44288000
22/09/2010,2675,2900,2675,2875,105518000
23/09/2010,2850,2850,2650,2700,113220000
24/09/2010,2675,2750,2650,2725,47494000
27/09/2010,2725,2775,2700,2725,46615000
28/09/2010,2700,2725,2600,2625,65986000
29/09/2010,2650,2700,2625,2700,36457000
30/09/2010,2700,2775,2675,2725,69804000
01/10/2010,2725,2775,2700,2775,32023000
04/10/2010,2775,2825,2750,2775,54403000
05/10/2010,2800,2825,2750,2825,49548000
06/10/2010,2850,2850,2800,2825,34788000
07/10/2010,2975,3100,2850,2975,570465000
08/10/2010,2850,3000,2825,2850,72267000
11/10/2010,2725,2850,2600,2725,102116000
12/10/2010,2775,2875,2650,2775,50820000
13/10/2010,2800,2825,2750,2800,20092000
14/10/2010,2775,2850,2725,2775,38150000
15/10/2010,2725,2800,2725,2725,13239000
18/10/2010,2725,2750,2675,2725,31279000
19/10/2010,2675,2725,2650,2675,40146000
20/10/2010,2700,2700,2625,2700,17665000
21/10/2010,2675,2700,2675,2675,9449000
22/10/2010,2600,2675,2575,2600,37846000
25/10/2010,2775,2800,2575,2775,68553000
26/10/2010,2750,2825,2700,2750,21302000
27/10/2010,2775,2775,2700,2775,12989000
28/10/2010,2875,2900,2775,2875,40559000
29/10/2010,2850,2875,2825,2850,12619000
01/11/2010,2775,2875,2775,2775,4969000
02/11/2010,2700,2775,2675,2700,16297000
03/11/2010,2650,2700,2625,2650,32236000
04/11/2010,2625,2675,2600,2625,17711000
05/11/2010,2600,2650,2575,2600,15961000
08/11/2010,2700,2700,2625,2700,29227000
09/11/2010,2625,2675,2600,2625,35805000
10/11/2010,2625,2650,2600,2625,6899000
11/11/2010,2625,2625,2550,2625,32787000
12/11/2010,2600,2650,2500,2600,41243000
15/11/2010,2575,2600,2525,2575,16411000
16/11/2010,2675,2675,2550,2675,17573000
18/11/2010,2650,2675,2600,2650,9151000
19/11/2010,2700,2700,2600,2700,25610000
22/11/2010,2675,2700,2650,2675,4331000
23/11/2010,2575,2675,2575,2575,23421000
24/11/2010,2550,2600,2525,2550,20500000
25/11/2010,2550,2575,2525,2550,9796000
26/11/2010,2600,2600,2550,2600,8045000
29/11/2010,2575,2600,2550,2575,5748000
30/11/2010,2550,2600,2525,2550,7288000
01/12/2010,2550,2575,2525,2550,7836000
02/12/2010,2575,2600,2550,2575,12718000
03/12/2010,2525,2600,2500,2525,14496000
06/12/2010,2437.5,2550,2425,2437.5,36083000
08/12/2010,2375,2437.5,2350,2375,60341000
09/12/2010,2350,2387.5,2300,2350,51632000
10/12/2010,2375,2375,2312.5,2375,68839000
13/12/2010,2325,2400,2325,2325,30146000
14/12/2010,2300,2350,2275,2300,23521000
15/12/2010,2250,2287.5,2200,2250,45932000
16/12/2010,2300,2325,2225,2300,36696000
17/12/2010,2262.5,2312.5,2237.5,2262.5,27366000
20/12/2010,2275,2300,2250,2275,8535000
21/12/2010,2337.5,2350,2275,2337.5,27544000
22/12/2010,2300,2350,2275,2300,12024000
23/12/2010,2250,2300,2237.5,2250,19051000
27/12/2010,2237.5,2275,2237.5,2237.5,4712000
28/12/2010,2287.5,2300,2250,2287.5,14670000
29/12/2010,2325,2337.5,2300,2325,14015000
30/12/2010,2337.5,2337.5,2287.5,2337.5,16651000
03/01/2011,2362.5,2387.5,2312.5,2362.5,28806000
04/01/2011,2487.5,2500,2362.5,2487.5,78937000
05/01/2011,2525,2575,2462.5,2525,43879000
06/01/2011,2462.5,2550,2450,2462.5,9934000
07/01/2011,2437.5,2462.5,2412.5,2437.5,18863000
10/01/2011,2362.5,2437.5,2325,2362.5,14003000
11/01/2011,2250,2387.5,2225,2250,11478000
12/01/2011,2300,2300,2250,2300,44252000
13/01/2011,2287.5,2325,2275,2287.5,30149000
14/01/2011,2375,2387.5,2287.5,2375,46989000
17/01/2011,2400,2425,2375,2400,21015000
18/01/2011,2387.5,2425,2375,2387.5,8270000
19/01/2011,2375,2412.5,2337.5,2375,8749000
20/01/2011,2262.5,2375,2262.5,2262.5,8738000
21/01/2011,2212.5,2250,2175,2212.5,13727000
24/01/2011,2200,2225,2175,2200,9464000
25/01/2011,2275,2275,2212.5,2275,6881000
26/01/2011,2375,2387.5,2275,2375,18958000
27/01/2011,2375,2412.5,2362.5,2375,11699000
28/01/2011,2362.5,2375,2337.5,2362.5,8307000
31/01/2011,2287.5,2325,2275,2287.5,9067000
01/02/2011,2300,2337.5,2287.5,2300,9138000
02/02/2011,2287.5,2325,2287.5,2287.5,7501000
04/02/2011,2312.5,2312.5,2287.5,2312.5,9574000
07/02/2011,2287.5,2312.5,2262.5,2287.5,5886000
08/02/2011,2275,2325,2275,2275,5117000
09/02/2011,2212.5,2287.5,2187.5,2212.5,18238000
10/02/2011,2162.5,2250,2162.5,2162.5,19116000
11/02/2011,2187.5,2200,2162.5,2187.5,7291000
14/02/2011,2175,2212.5,2162.5,2175,8660000
16/02/2011,2175,2200,2150,2175,7821000
17/02/2011,2175,2212.5,2175,2175,5800000
18/02/2011,2200,2225,2187.5,2200,10886000
21/02/2011,2212.5,2225,2175,2212.5,13084000
22/02/2011,2212.5,2237.5,2187.5,2212.5,13159000
23/02/2011,2262.5,2262.5,2200,2262.5,26458000
24/02/2011,2275,2287.5,2237.5,2275,19219000
25/02/2011,2325,2337.5,2262.5,2325,14977000
28/02/2011,2287.5,2325,2275,2287.5,2450000
01/03/2011,2375,2387.5,2300,2375,11857000
02/03/2011,2375,2375,2325,2375,4741000
03/03/2011,2400,2412.5,2375,2400,9470000
04/03/2011,2387.5,2412.5,2375,2387.5,14030000
07/03/2011,2375,2387.5,2350,2375,8702000
08/03/2011,2375,2375,2362.5,2375,6784000
09/03/2011,2387.5,2412.5,2375,2387.5,5936000
10/03/2011,2400,2412.5,2362.5,2400,17226000
11/03/2011,2375,2400,2362.5,2375,10514000
14/03/2011,2387.5,2387.5,2362.5,2387.5,8070000
15/03/2011,2387.5,2387.5,2325,2387.5,16191000
16/03/2011,2475,2475,2350,2475,26584000
17/03/2011,2475,2475,2425,2475,10527000
18/03/2011,2500,2500,2462.5,2500,14932000
21/03/2011,2500,2525,2487.5,2500,13750000
22/03/2011,2525,2550,2500,2525,19565000
23/03/2011,2550,2550,2525,2550,12456000
24/03/2011,2550,2600,2550,2550,16600000
25/03/2011,2500,2575,2475,2500,6965000
28/03/2011,2525,2525,2487.5,2525,2643000
29/03/2011,2550,2575,2500,2550,5812000
30/03/2011,2600,2600,2550,2600,8118000
31/03/2011,2650,2650,2575,2650,27034000
01/04/2011,2600,2650,2600,2600,8337000
04/04/2011,2575,2625,2550,2575,9770000
05/04/2011,2625,2625,2575,2625,7500000
06/04/2011,2675,2675,2575,2675,15783000
07/04/2011,2675,2700,2650,2675,16619000
08/04/2011,2700,2700,2625,2700,16442000
11/04/2011,2650,2725,2650,2650,13243000
12/04/2011,2675,2700,2625,2675,9222000
13/04/2011,2675,2675,2650,2675,4266000
14/04/2011,2675,2675,2650,2675,10532000
15/04/2011,2675,2675,2650,2675,6112000
18/04/2011,2700,2700,2675,2700,3919000
19/04/2011,2700,2700,2650,2700,7159000
20/04/2011,2675,2725,2675,2675,16974000
21/04/2011,2675,2725,2650,2675,13937000
25/04/2011,2700,2700,2650,2700,5890000
26/04/2011,2675,2700,2650,2675,4074000
27/04/2011,2700,2725,2675,2700,19807000
28/04/2011,2700,2725,2675,2700,4653000
29/04/2011,2700,2700,2650,2700,3849000
02/05/2011,2650,2675,2625,2650,5571000
03/05/2011,2600,2650,2600,2600,5399000
04/05/2011,2625,2650,2600,2625,3096000
05/05/2011,2600,2625,2575,2600,7475000
06/05/2011,2625,2625,2575,2625,3558000
09/05/2011,2600,2625,2600,2600,2491000
10/05/2011,2600,2625,2575,2600,6978000
11/05/2011,2625,2625,2575,2625,21597000
12/05/2011,2575,2625,2575,2575,5202000
13/05/2011,2625,2650,2575,2625,6330000
16/05/2011,2600,2625,2600,2600,3450000
18/05/2011,2625,2650,2575,2625,7642000
19/05/2011,2625,2675,2600,2625,8065000
20/05/2011,2650,2700,2625,2650,15340000
23/05/2011,2675,2675,2600,2675,11822000
24/05/2011,2625,2675,2600,2625,14345000
25/05/2011,2625,2625,2600,2625,6848000
26/05/2011,2625,2650,2600,2625,8335000
27/05/2011,2600,2625,2575,2600,25277000
30/05/2011,2550,2600,2550,2550,8869000
31/05/2011,2525,2600,2525,2525,13229000
01/06/2011,2600,2600,2550,2600,6844000
03/06/2011,2525,2575,2525,2525,6739000
06/06/2011,2550,2575,2525,2550,12069000
07/06/2011,2550,2550,2525,2550,2335000
08/06/2011,2550,2575,2525,2550,6675000
09/06/2011,2525,2575,2500,2525,1380000
10/06/2011,2550,2550,2525,2550,8750000
13/06/2011,2525,2575,2500,2525,11805000
14/06/2011,2575,2575,2487.5,2575,7587000
15/06/2011,2500,2575,2500,2500,7138000
16/06/2011,2500,2525,2500,2500,3987000
17/06/2011,2462.5,2525,2462.5,2462.5,16220000
20/06/2011,2550,2550,2475,2550,6455000
21/06/2011,2600,2650,2525,2600,12511000
22/06/2011,2650,2650,2525,2650,8353000
23/06/2011,2700,2700,2575,2700,7533000
24/06/2011,2700,2700,2650,2700,13753000
27/06/2011,2650,2700,2625,2650,4021000
28/06/2011,2650,2675,2650,2650,1458000
30/06/2011,2700,2725,2650,2700,7233000
01/07/2011,2800,2800,2700,2800,32497000
04/07/2011,2800,2800,2800,2800,0
05/07/2011,2800,2900,2800,2800,1707000
06/07/2011,2775,2825,2750,2775,4453000
07/07/2011,2875,2875,2750,2875,7255000
08/07/2011,2850,2875,2825,2850,8529000
11/07/2011,2850,2850,2800,2850,11820000
12/07/2011,2800,2850,2800,2800,20623000
13/07/2011,2825,2850,2800,2825,5568000
14/07/2011,2825,2850,2825,2825,1636000
15/07/2011,2850,2900,2825,2850,24046000
18/07/2011,2850,2900,2850,2850,8691000
19/07/2011,2875,2900,2850,2875,8966000
20/07/2011,2875,2900,2875,2875,4668000
21/07/2011,2850,2875,2850,2850,2308000
22/07/2011,2875,2900,2850,2875,1904000
25/07/2011,2850,2900,2825,2850,3335000
26/07/2011,2850,2875,2825,2850,7836000
27/07/2011,2825,2850,2800,2825,5837000
28/07/2011,2825,2825,2750,2825,4702000
29/07/2011,2900,2900,2800,2900,12097000
01/08/2011,3000,3000,2925,3000,16105000
02/08/2011,2900,3000,2875,2900,8905000
03/08/2011,2875,2925,2825,2875,6762000
04/08/2011,2950,3000,2900,2950,12862000
05/08/2011,2800,2850,2775,2800,19451000
08/08/2011,2850,2850,2675,2850,26149000
09/08/2011,2775,2825,2675,2775,16349000
10/08/2011,2800,2875,2750,2800,8648000
11/08/2011,2875,2900,2750,2875,8481000
