Date,Open,High,Low,Close,Volume
02/01/2004,983,983,856,983,97512
05/01/2004,1094,1094,983,1078,53856
06/01/2004,1103,1103,1078,1086,21216
07/01/2004,1018,1018,944,944,186252
08/01/2004,944,944,922,922,4488
09/01/2004,941,941,926,931,94044
12/01/2004,931,931,922,922,8772
13/01/2004,907,907,773,814,45492
14/01/2004,895,895,809,882,22848
15/01/2004,907,907,871,871,17136
16/01/2004,871,871,846,857,77724
19/01/2004,846,846,833,833,106284
20/01/2004,851,851,833,847,29172
21/01/2004,841,841,833,836,10200
23/01/2004,846,846,833,841,10812
26/01/2004,797,797,784,797,1020
27/01/2004,798,798,798,798,4080
28/01/2004,809,809,797,798,2040
29/01/2004,858,858,798,831,13056
30/01/2004,846,846,797,809,32232
03/02/2004,858,858,809,841,44472
04/02/2004,858,858,841,846,50388
05/02/2004,852,852,833,846,49368
06/02/2004,969,969,871,920,169728
09/02/2004,920,920,895,907,69972
10/02/2004,983,983,907,966,104448
11/02/2004,993,993,974,975,61404
12/02/2004,974,974,956,956,25704
13/02/2004,966,966,951,956,78336
16/02/2004,969,969,944,969,11220
17/02/2004,1004,1004,979,1004,122604
18/02/2004,1042,1042,1004,1029,57936
19/02/2004,1054,1054,1029,1029,17136
20/02/2004,1042,1042,1029,1029,10200
24/02/2004,1189,1189,1029,1152,189108
25/02/2004,1132,1132,1103,1103,51408
26/02/2004,1125,1125,1103,1124,23664
27/02/2004,1116,1116,1103,1103,21624
01/03/2004,1103,1127,1091,1127,8160
02/03/2004,1127,1132,1125,1132,43452
03/03/2004,1127,1127,1121,1122,4488
04/03/2004,1103,1103,1098,1098,28152
05/03/2004,1083,1083,993,1029,51000
08/03/2004,1029,1029,1003,1005,55284
09/03/2004,1005,1010,993,1010,29172
10/03/2004,1010,1010,980,1010,31212
11/03/2004,969,969,969,969,18972
12/03/2004,980,980,966,966,33048
15/03/2004,966,980,966,980,35904
16/03/2004,956,956,895,920,24276
17/03/2004,944,944,918,920,15912
18/03/2004,920,934,920,920,55488
19/03/2004,931,947,931,947,24480
23/03/2004,931,946,931,944,31620
24/03/2004,944,1005,944,1005,94044
25/03/2004,1005,1042,1005,1025,154224
26/03/2004,1029,1055,1029,1029,70788
29/03/2004,1029,1059,1029,1059,15708
30/03/2004,1067,1103,1062,1064,29784
31/03/2004,1078,1116,1078,1103,47124
01/04/2004,1103,1176,1032,1032,93432
02/04/2004,1054,1054,1039,1052,70176
06/04/2004,1054,1078,1034,1047,54876
07/04/2004,1062,1062,1032,1042,28968
08/04/2004,1029,1029,1005,1018,60180
12/04/2004,1018,1018,1018,1018,0
13/04/2004,1005,1005,1000,1000,15300
14/04/2004,993,993,980,980,159324
15/04/2004,969,969,907,907,123624
16/04/2004,907,907,872,882,127092
19/04/2004,882,925,873,905,124032
20/04/2004,905,920,905,907,73440
21/04/2004,907,907,887,887,28968
22/04/2004,882,882,866,873,157896
23/04/2004,882,944,882,900,101388
26/04/2004,900,907,895,896,50796
27/04/2004,900,975,900,954,213792
28/04/2004,944,944,920,935,120564
29/04/2004,907,907,848,853,314160
30/04/2004,834,843,809,833,182988
04/05/2004,838,838,760,760,109752
05/05/2004,760,760,736,750,31212
06/05/2004,750,750,728,728,25908
07/05/2004,711,711,630,635,164220
10/05/2004,623,635,576,630,207876
11/05/2004,630,686,630,637,106284
12/05/2004,650,673,650,665,62424
13/05/2004,665,740,655,689,452676
14/05/2004,692,699,657,657,42228
17/05/2004,640,640,576,594,33252
18/05/2004,594,608,552,553,74868
19/05/2004,583,663,581,663,83436
21/05/2004,684,753,675,748,150756
24/05/2004,753,839,753,784,149532
25/05/2004,784,828,773,784,156672
26/05/2004,784,822,773,773,149328
27/05/2004,784,799,760,770,21624
28/05/2004,784,797,760,792,56508
31/05/2004,784,784,760,773,11016
01/06/2004,773,779,761,761,16116
02/06/2004,760,760,699,724,32844
04/06/2004,694,699,686,686,121788
