Date,Open,High,Low,Close,Volume
02/10/2000,850,855,835,840,201405
03/10/2000,840,845,790,790,400540
04/10/2000,790,790,745,775,713585
05/10/2000,770,800,770,790,494980
06/10/2000,790,790,765,775,162295
09/10/2000,775,775,740,755,368305
10/10/2000,750,755,740,750,254835
11/10/2000,745,780,740,770,313775
12/10/2000,770,790,765,780,437740
13/10/2000,770,790,760,790,279245
16/10/2000,790,790,790,790,0
17/10/2000,800,820,800,810,280535
18/10/2000,810,810,790,800,247820
19/10/2000,795,810,785,810,318495
20/10/2000,825,825,775,800,361595
23/10/2000,800,800,775,800,70065
24/10/2000,800,800,775,800,6005
26/10/2000,775,800,775,800,97080
27/10/2000,800,800,800,800,0
30/10/2000,775,775,750,775,91635
31/10/2000,750,775,750,775,23310
01/11/2000,775,775,750,775,96655
02/11/2000,775,775,750,775,29915
03/11/2000,775,775,750,775,10760
06/11/2000,775,800,750,800,94450
07/11/2000,800,800,775,800,35545
08/11/2000,800,825,775,800,412005
09/11/2000,800,825,775,800,81260
10/11/2000,775,850,775,825,312440
13/11/2000,825,850,800,825,263150
14/11/2000,825,850,825,825,466325
15/11/2000,825,850,775,825,380685
16/11/2000,800,800,775,800,79910
17/11/2000,800,800,775,800,61945
20/11/2000,800,800,800,800,73005
21/11/2000,800,825,775,825,42350
22/11/2000,800,825,800,825,36925
23/11/2000,825,875,825,875,624170
24/11/2000,875,875,850,875,215050
27/11/2000,850,850,825,850,44410
28/11/2000,825,825,800,825,143245
29/11/2000,825,825,800,825,21230
30/11/2000,825,825,800,825,40725
01/12/2000,825,825,800,825,9300
04/12/2000,825,825,800,825,106850
05/12/2000,825,825,800,825,4395
06/12/2000,825,825,800,825,55765
07/12/2000,825,850,800,850,148020
08/12/2000,825,825,800,825,18555
11/12/2000,800,825,800,825,64760
12/12/2000,800,800,775,800,125325
13/12/2000,800,800,775,800,26340
14/12/2000,800,825,775,825,72650
15/12/2000,800,800,775,800,55620
18/12/2000,775,800,750,775,91970
19/12/2000,775,775,750,775,22880
20/12/2000,775,775,750,775,2540
21/12/2000,775,775,750,775,56370
22/12/2000,775,775,750,775,6360
02/01/2001,775,800,775,800,57110
03/01/2001,775,800,775,800,64365
04/01/2001,775,800,775,800,85335
05/01/2001,800,825,775,800,205780
08/01/2001,775,800,775,800,14385
09/01/2001,775,800,775,800,10040
