Date,Open,High,Low,Close,Volume
06/09/2010,3275,3300,3225,3275,23653000
07/09/2010,3250,3300,3225,3250,7149000
15/09/2010,3250,3275,3225,3250,12209000
16/09/2010,3250,3275,3225,3250,16348000
17/09/2010,3300,3350,3250,3300,50257500
20/09/2010,3250,3325,3225,3250,15496000
21/09/2010,3225,3300,3150,3225,13108500
22/09/2010,3200,3250,3150,3200,24264000
23/09/2010,3100,3200,3075,3100,9967000
24/09/2010,3225,3225,3075,3225,12982500
27/09/2010,3200,3275,3175,3200,19373000
28/09/2010,3200,3200,3150,3200,12446000
29/09/2010,3200,3250,3150,3200,34756000
30/09/2010,3325,3350,3200,3325,42435500
01/10/2010,3400,3425,3325,3400,43626000
04/10/2010,3375,3425,3350,3375,18578500
05/10/2010,3350,3375,3325,3350,21673000
06/10/2010,3400,3400,3350,3400,43458000
07/10/2010,3325,3400,3300,3325,15992500
08/10/2010,3325,3325,3275,3325,19703500
11/10/2010,3325,3375,3300,3325,17542000
12/10/2010,3300,3350,3275,3300,21577000
13/10/2010,3350,3375,3300,3350,32689500
14/10/2010,3400,3450,3350,3400,29588000
15/10/2010,3375,3400,3350,3375,12505000
18/10/2010,3350,3400,3325,3350,15942500
19/10/2010,3350,3375,3325,3350,13999000
20/10/2010,3325,3325,3275,3325,13373500
21/10/2010,3350,3375,3300,3350,19281500
22/10/2010,3425,3425,3300,3425,26534000
25/10/2010,3625,3650,3400,3625,61277000
26/10/2010,3625,3700,3575,3625,22940000
27/10/2010,3575,3625,3550,3575,13681000
28/10/2010,3600,3625,3550,3600,11362000
29/10/2010,3650,3675,3575,3650,14012500
01/11/2010,3650,3675,3600,3650,14007500
02/11/2010,3750,3800,3625,3750,25974500
03/11/2010,3675,3775,3625,3675,10235500
04/11/2010,3700,3750,3675,3700,15054000
05/11/2010,3825,3850,3725,3825,18565000
08/11/2010,3850,3925,3825,3850,16087000
09/11/2010,3875,3925,3825,3875,23383000
10/11/2010,3900,3925,3850,3900,11234500
11/11/2010,3825,3825,3700,3825,60053000
12/11/2010,3700,3825,3650,3700,23868000
15/11/2010,3625,3725,3575,3625,21560000
16/11/2010,3650,3750,3575,3650,28774000
18/11/2010,3775,3775,3625,3775,22874500
19/11/2010,3900,3925,3750,3900,27640500
22/11/2010,3950,3950,3900,3950,11871500
23/11/2010,3825,3950,3800,3825,15245000
24/11/2010,3800,3875,3725,3800,8916000
25/11/2010,3825,3875,3800,3825,6621000
26/11/2010,3850,3900,3825,3850,12541500
29/11/2010,4000,4025,3825,4000,24251500
30/11/2010,3900,4050,3875,3900,19717500
01/12/2010,4100,4100,3900,4100,27905500
02/12/2010,4400,4425,4150,4400,37223000
03/12/2010,4475,4475,4350,4475,20031500
06/12/2010,4625,4775,4500,4625,11919000
08/12/2010,4600,4600,4475,4600,17326500
09/12/2010,4600,4650,4550,4600,13913000
10/12/2010,4525,4625,4500,4525,9588000
13/12/2010,4500,4575,4425,4500,10302000
14/12/2010,4350,4525,4350,4350,6445500
