Date,Open,High,Low,Close,Volume
24/07/2023,62,84,53,84,8023310
25/07/2023,95,112,95,106,8586203
26/07/2023,108,131,91,120,8772070
27/07/2023,120,128,114,114,3881546
28/07/2023,115,141,114,124,6003792
31/07/2023,130,138,123,127,7112663
01/08/2023,128,129,111,127,5237758
02/08/2023,131,131,120,120,2537926
03/08/2023,120,125,120,121,3703514
04/08/2023,121,128,118,118,4044110
07/08/2023,119,121,107,117,2443233
08/08/2023,117,135,115,124,7730607
09/08/2023,125,138,122,131,7845860
10/08/2023,131,138,130,131,1553641
11/08/2023,131,140,131,133,3945157
14/08/2023,134,144,133,134,6459189
15/08/2023,134,136,122,122,3514998
16/08/2023,121,125,118,118,5513804
18/08/2023,118,122,116,116,3134428
21/08/2023,118,119,109,114,7638706
22/08/2023,114,122,114,116,4614120
23/08/2023,116,120,114,114,7034509
24/08/2023,112,118,99,110,8242801
25/08/2023,111,114,108,110,4609992
28/08/2023,111,114,109,111,4427146
29/08/2023,111,115,109,112,7892608
30/08/2023,112,112,103,106,6011359
31/08/2023,106,110,103,107,6070264
01/09/2023,108,109,103,104,6200103
04/09/2023,104,104,101,101,3856081
05/09/2023,101,106,101,102,4169829
06/09/2023,102,111,101,103,5290406
07/09/2023,103,105,102,103,3157501
08/09/2023,103,109,101,107,7083348
11/09/2023,107,114,106,110,6816855
12/09/2023,110,112,107,111,1970566
13/09/2023,111,149,107,149,12801628
14/09/2023,157,166,129,158,12114184
15/09/2023,158,160,141,147,5928103
18/09/2023,147,160,139,139,8019247
19/09/2023,139,144,131,139,3680548
20/09/2023,138,142,131,131,5630233
21/09/2023,131,134,123,123,4103763
22/09/2023,123,127,119,119,2377807
25/09/2023,119,127,118,119,5210969
26/09/2023,119,121,117,119,2499159
27/09/2023,119,133,119,121,4246638
29/09/2023,122,151,119,146,14196513
02/10/2023,146,156,133,133,8120442
03/10/2023,135,166,134,166,11275372
04/10/2023,168,193,154,158,10124139
05/10/2023,158,177,150,165,10285921
06/10/2023,165,174,138,157,6624623
09/10/2023,158,184,156,174,7553680
10/10/2023,174,192,173,177,8304889
11/10/2023,177,184,168,168,3675006
12/10/2023,171,172,157,162,5593114
13/10/2023,162,167,157,160,4061995
16/10/2023,160,167,157,161,4748473
17/10/2023,161,162,156,158,1897946
18/10/2023,158,160,151,158,4342007
19/10/2023,158,160,154,156,2486609
20/10/2023,156,157,151,154,2057542
23/10/2023,154,157,144,144,2989607
24/10/2023,144,158,134,150,3439304
25/10/2023,150,157,146,149,2845502
26/10/2023,149,151,138,142,1944821
27/10/2023,144,145,139,139,1078319
30/10/2023,139,147,133,134,4210103
31/10/2023,138,142,123,124,6023376
01/11/2023,125,127,120,121,1582724
02/11/2023,121,146,117,129,11381645
03/11/2023,130,134,123,125,5267750
