Date,Open,High,Low,Close,Volume
14/12/2000,850,925,850,925,107875
15/12/2000,900,900,875,900,51335
18/12/2000,900,900,875,875,13805
19/12/2000,875,925,875,925,38115
20/12/2000,900,900,875,875,35490
21/12/2000,875,875,850,875,7940
22/12/2000,875,875,825,825,37065
02/01/2001,825,850,825,825,21660
03/01/2001,825,825,775,775,41890
04/01/2001,800,825,800,825,68225
05/01/2001,825,925,825,925,335515
08/01/2001,875,900,875,900,95995
09/01/2001,900,925,900,925,222760
10/01/2001,925,925,875,875,58370
11/01/2001,875,875,825,850,93400
12/01/2001,850,850,825,825,73665
15/01/2001,850,875,825,850,106015
16/01/2001,850,875,825,825,24775
17/01/2001,875,900,850,850,113805
18/01/2001,825,850,825,825,174705
19/01/2001,825,825,775,775,161595
22/01/2001,800,825,750,775,180365
23/01/2001,775,775,725,725,175120
24/01/2001,725,750,725,750,49760
25/01/2001,750,750,750,750,33715
26/01/2001,750,775,725,750,33875
29/01/2001,750,775,725,750,41680
30/01/2001,750,800,750,750,122470
31/01/2001,750,800,750,775,96190
01/02/2001,775,775,750,750,47745
02/02/2001,775,775,650,700,494465
05/02/2001,675,675,575,600,308835
06/02/2001,600,600,500,500,1102930
07/02/2001,525,525,475,525,727765
08/02/2001,500,500,400,450,1101270
09/02/2001,450,495,440,490,917970
12/02/2001,500,500,465,470,389015
13/02/2001,470,485,470,475,314620
14/02/2001,475,475,465,475,205075
15/02/2001,470,480,470,475,240325
16/02/2001,475,480,470,470,128305
19/02/2001,470,475,465,470,136285
20/02/2001,470,470,455,455,182920
21/02/2001,455,460,450,460,171885
22/02/2001,455,460,450,455,54110
23/02/2001,455,465,450,450,319195
26/02/2001,455,455,450,455,56430
27/02/2001,460,460,455,455,41760
28/02/2001,455,455,445,455,153515
01/03/2001,450,450,445,445,35055
02/03/2001,450,455,445,450,65600
06/03/2001,465,485,465,485,601795
07/03/2001,485,490,465,465,289945
08/03/2001,460,470,455,455,50210
09/03/2001,455,470,425,430,510045
12/03/2001,410,415,390,405,439760
13/03/2001,400,400,325,330,830825
14/03/2001,330,330,330,330,0
15/03/2001,325,335,305,330,371930
16/03/2001,330,330,240,265,1024000
19/03/2001,265,265,205,220,570295
20/03/2001,220,220,130,140,2649580
21/03/2001,140,220,110,220,4804000
22/03/2001,210,325,190,270,9968200
23/03/2001,280,315,270,300,4043780
27/03/2001,310,320,260,265,2439160
28/03/2001,265,295,250,290,3101420
29/03/2001,285,310,280,300,2435680
30/03/2001,300,310,285,290,1375400
02/04/2001,285,285,265,265,1435980
03/04/2001,260,260,240,250,1666280
04/04/2001,225,245,225,245,921215
05/04/2001,245,255,240,245,1159150
06/04/2001,245,250,220,220,757360
09/04/2001,210,270,200,265,1521160
10/04/2001,270,270,245,250,1483750
11/04/2001,255,260,245,245,752950
12/04/2001,240,250,230,235,429595
16/04/2001,225,240,225,230,365585
17/04/2001,230,235,225,235,439545
18/04/2001,230,235,220,220,270090
19/04/2001,225,225,195,200,459960
20/04/2001,195,220,185,215,690195
23/04/2001,210,240,205,230,1186520
24/04/2001,240,250,235,245,1307340
25/04/2001,250,255,235,240,774905
26/04/2001,250,255,235,240,774905
27/04/2001,230,250,225,245,505600
30/04/2001,250,250,240,250,437145
01/05/2001,255,255,240,245,430330
02/05/2001,245,255,240,250,429950
03/05/2001,250,275,250,260,857695
04/05/2001,260,270,255,265,408485
08/05/2001,260,270,250,255,255875
09/05/2001,255,260,250,260,194350
10/05/2001,260,265,250,250,171055
11/05/2001,255,265,255,265,154530
14/05/2001,265,265,260,260,68075
15/05/2001,260,265,255,260,47370
16/05/2001,260,285,260,285,626365
17/05/2001,290,290,275,280,670355
18/05/2001,280,285,280,285,113140
21/05/2001,275,285,275,280,127450
22/05/2001,280,290,280,290,409275
23/05/2001,285,285,285,285,79325
25/05/2001,285,295,285,295,154945
28/05/2001,290,315,290,305,854260
29/05/2001,305,330,305,330,1154780
30/05/2001,330,375,330,360,2148340
31/05/2001,365,385,365,370,1216960
01/06/2001,370,375,330,340,944900
05/06/2001,330,375,315,375,1632920
06/06/2001,380,390,355,370,1614220
07/06/2001,365,370,355,360,476255
08/06/2001,365,365,355,360,127515
11/06/2001,360,370,360,370,154850
12/06/2001,365,380,365,380,570530
13/06/2001,375,375,365,370,222890
14/06/2001,365,365,355,360,288275
15/06/2001,355,355,345,350,209700
18/06/2001,345,360,345,360,228880
19/06/2001,360,360,355,355,95760
20/06/2001,360,365,355,360,53285
21/06/2001,360,365,355,360,221375
22/06/2001,360,390,350,370,744695
25/06/2001,370,385,365,375,225600
26/06/2001,375,380,370,375,29950
27/06/2001,375,375,365,370,127605
28/06/2001,370,370,360,365,67820
29/06/2001,365,375,365,370,50345
02/07/2001,370,370,365,365,35780
03/07/2001,370,385,370,375,304190
04/07/2001,375,375,355,360,287970
05/07/2001,355,360,355,360,95055
06/07/2001,360,365,355,365,61040
09/07/2001,360,360,350,360,144830
10/07/2001,355,355,325,330,681835
11/07/2001,325,325,295,305,551200
12/07/2001,305,325,295,315,403330
13/07/2001,315,315,315,315,0
16/07/2001,315,315,315,315,0
17/07/2001,315,315,315,315,0
18/07/2001,315,315,315,315,0
19/07/2001,315,315,315,315,0
20/07/2001,315,315,315,315,0
23/07/2001,315,315,315,315,0
24/07/2001,315,315,315,315,0
25/07/2001,315,315,315,315,0
26/07/2001,315,315,315,315,0
27/07/2001,315,315,315,315,0
30/07/2001,315,315,315,315,0
31/07/2001,315,315,315,315,0
01/08/2001,315,315,315,315,0
02/08/2001,315,315,315,315,0
03/08/2001,315,315,315,315,0
06/08/2001,315,315,315,315,0
07/08/2001,315,315,315,315,0
08/08/2001,315,315,315,315,0
09/08/2001,315,315,315,315,0
10/08/2001,315,315,315,315,0
13/08/2001,315,315,315,315,0
14/08/2001,315,315,315,315,0
15/08/2001,315,315,315,315,0
16/08/2001,315,315,315,315,0
20/08/2001,315,315,315,315,0
21/08/2001,315,315,315,315,0
22/08/2001,315,315,315,315,0
23/08/2001,315,315,315,315,0
24/08/2001,315,315,315,315,0
