Date,Open,High,Low,Close,Volume
19/08/2010,1162.5,1168.75,1118.75,1162.5,39358000
20/08/2010,1150,1162.5,1143.75,1150,9446000
23/08/2010,1156.25,1156.25,1143.75,1156.25,4846000
24/08/2010,1156.25,1168.75,1150,1156.25,12246000
25/08/2010,1162.5,1162.5,1150,1162.5,7808000
26/08/2010,1150,1162.5,1150,1150,3010000
27/08/2010,1131.25,1156.25,1125,1131.25,15790000
30/08/2010,1100,1143.75,1087.5,1100,20896000
31/08/2010,1100,1125,1081.25,1100,13030000
01/09/2010,1112.5,1118.75,1093.75,1112.5,21164000
02/09/2010,1143.75,1143.75,1118.75,1143.75,15220000
03/09/2010,1225,1231.25,1143.75,1225,77540000
06/09/2010,1287.5,1312.5,1225,1287.5,88734000
07/09/2010,1287.5,1312.5,1275,1287.5,13862000
15/09/2010,1300,1325,1287.5,1325,32232000
16/09/2010,1337.5,1362.5,1300,1337.5,25178000
17/09/2010,1350,1362.5,1325,1350,13258000
20/09/2010,1300,1350,1287.5,1300,18008000
21/09/2010,1312.5,1325,1300,1312.5,14698000
22/09/2010,1300,1312.5,1275,1300,14876000
23/09/2010,1300,1312.5,1275,1300,5750000
24/09/2010,1300,1325,1300,1300,15880000
27/09/2010,1375,1375,1312.5,1375,20058000
28/09/2010,1362.5,1400,1350,1362.5,31004000
29/09/2010,1375,1387.5,1350,1375,16838000
30/09/2010,1375,1400,1350,1375,13738000
01/10/2010,1400,1400,1375,1400,9930000
04/10/2010,1425,1450,1387.5,1425,19898000
05/10/2010,1462.5,1462.5,1437.5,1462.5,10034000
06/10/2010,1500,1500,1462.5,1500,35312000
07/10/2010,1487.5,1500,1437.5,1487.5,9240000
08/10/2010,1450,1500,1450,1450,19270000
11/10/2010,1475,1487.5,1450,1475,8994000
12/10/2010,1487.5,1487.5,1450,1487.5,3498000
13/10/2010,1562.5,1562.5,1500,1562.5,22162000
14/10/2010,1575,1625,1562.5,1575,38682000
15/10/2010,1500,1575,1487.5,1500,25856000
18/10/2010,1500,1512.5,1487.5,1500,14878000
19/10/2010,1512.5,1537.5,1500,1512.5,22388000
20/10/2010,1512.5,1512.5,1487.5,1512.5,15804000
21/10/2010,1500,1512.5,1500,1500,7418000
22/10/2010,1512.5,1512.5,1487.5,1512.5,3476000
25/10/2010,1500,1500,1462.5,1500,1822000
26/10/2010,1487.5,1500,1487.5,1487.5,5558000
27/10/2010,1475,1487.5,1450,1475,4568000
28/10/2010,1475,1487.5,1462.5,1475,3120000
29/10/2010,1500,1500,1462.5,1500,10520000
01/11/2010,1500,1512.5,1487.5,1500,3892000
02/11/2010,1500,1512.5,1475,1500,15374000
03/11/2010,1487.5,1500,1462.5,1487.5,1772000
04/11/2010,1475,1500,1462.5,1475,5400000
05/11/2010,1450,1487.5,1450,1450,7010000
08/11/2010,1425,1450,1350,1425,20246000
09/11/2010,1437.5,1450,1412.5,1437.5,16310000
10/11/2010,1425,1450,1425,1425,4000000
11/11/2010,1412.5,1450,1400,1412.5,7544000
12/11/2010,1437.5,1437.5,1400,1437.5,6008000
15/11/2010,1425,1425,1400,1425,3130000
16/11/2010,1450,1450,1400,1450,9956000
18/11/2010,1437.5,1462.5,1425,1437.5,7956000
19/11/2010,1437.5,1462.5,1437.5,1437.5,17040000
22/11/2010,1525,1525,1450,1525,8474000
23/11/2010,1462.5,1512.5,1450,1462.5,4342000
24/11/2010,1425,1462.5,1400,1425,12450000
25/11/2010,1412.5,1437.5,1400,1412.5,2456000
26/11/2010,1375,1425,1375,1375,4894000
29/11/2010,1400,1425,1337.5,1400,2172000
30/11/2010,1350,1400,1312.5,1350,24670000
01/12/2010,1312.5,1350,1287.5,1312.5,14616000
02/12/2010,1387.5,1437.5,1337.5,1387.5,28566000
03/12/2010,1425,1425,1362.5,1425,3616000
06/12/2010,1437.5,1437.5,1350,1437.5,9722000
08/12/2010,1462.5,1462.5,1425,1462.5,6402000
09/12/2010,1450,1462.5,1437.5,1450,6480000
10/12/2010,1425,1450,1387.5,1425,10358000
13/12/2010,1387.5,1425,1362.5,1387.5,5212000
14/12/2010,1412.5,1412.5,1350,1412.5,12224000
15/12/2010,1362.5,1400,1312.5,1362.5,15080000
16/12/2010,1312.5,1350,1275,1312.5,19360000
17/12/2010,1287.5,1312.5,1250,1287.5,23176000
20/12/2010,1275,1287.5,1262.5,1275,5176000
21/12/2010,1300,1312.5,1275,1300,7120000
22/12/2010,1300,1300,1275,1300,4198000
23/12/2010,1275,1287.5,1262.5,1275,12498000
27/12/2010,1275,1287.5,1262.5,1275,4104000
28/12/2010,1287.5,1287.5,1262.5,1287.5,6980000
29/12/2010,1287.5,1300,1275,1287.5,2822000
30/12/2010,1350,1362.5,1287.5,1350,20318000
03/01/2011,1362.5,1400,1325,1362.5,12152000
04/01/2011,1387.5,1400,1375,1387.5,4410000
05/01/2011,1412.5,1412.5,1362.5,1412.5,14656000
06/01/2011,1400,1412.5,1337.5,1400,6712000
07/01/2011,1337.5,1412.5,1300,1337.5,7298000
10/01/2011,1243.75,1275,1206.25,1243.75,33662000
11/01/2011,1250,1300,1250,1250,9214000
12/01/2011,1325,1325,1275,1325,6504000
13/01/2011,1300,1350,1275,1300,9120000
14/01/2011,1275,1300,1262.5,1275,12248000
17/01/2011,1275,1287.5,1262.5,1275,4270000
18/01/2011,1262.5,1275,1250,1262.5,6502000
19/01/2011,1262.5,1275,1250,1262.5,14766000
20/01/2011,1250,1275,1243.75,1250,19806000
21/01/2011,1250,1275,1212.5,1250,36394000
24/01/2011,1237.5,1262.5,1231.25,1237.5,5570000
25/01/2011,1243.75,1262.5,1237.5,1243.75,8552000
26/01/2011,1243.75,1262.5,1243.75,1243.75,6796000
27/01/2011,1250,1262.5,1237.5,1250,12010000
28/01/2011,1225,1250,1218.75,1225,4778000
31/01/2011,1218.75,1243.75,1212.5,1218.75,4592000
01/02/2011,1231.25,1237.5,1218.75,1231.25,9522000
02/02/2011,1250,1262.5,1237.5,1250,5226000
04/02/2011,1262.5,1275,1250,1262.5,6022000
07/02/2011,1250,1275,1250,1250,5718000
08/02/2011,1262.5,1262.5,1250,1262.5,7004000
09/02/2011,1218.75,1275,1206.25,1218.75,15296000
10/02/2011,1200,1218.75,1193.75,1200,11938000
11/02/2011,1250,1250,1193.75,1250,32436000
14/02/2011,1225,1262.5,1212.5,1225,13654000
16/02/2011,1237.5,1250,1212.5,1237.5,8248000
17/02/2011,1250,1262.5,1237.5,1250,4824000
18/02/2011,1250,1287.5,1250,1250,6536000
21/02/2011,1250,1275,1250,1250,4750000
22/02/2011,1262.5,1262.5,1237.5,1262.5,6280000
23/02/2011,1250,1275,1243.75,1250,6368000
24/02/2011,1262.5,1262.5,1243.75,1262.5,3546000
25/02/2011,1250,1262.5,1250,1250,9196000
28/02/2011,1262.5,1275,1250,1262.5,6786000
01/03/2011,1275,1287.5,1262.5,1275,6040000
02/03/2011,1250,1262.5,1250,1250,6530000
03/03/2011,1243.75,1262.5,1243.75,1243.75,8036000
04/03/2011,1250,1262.5,1231.25,1250,14912000
07/03/2011,1243.75,1262.5,1243.75,1243.75,18870000
08/03/2011,1250,1250,1243.75,1250,3466000
09/03/2011,1312.5,1312.5,1243.75,1312.5,6484000
10/03/2011,1312.5,1312.5,1287.5,1312.5,7298000
11/03/2011,1262.5,1287.5,1262.5,1262.5,8956000
14/03/2011,1275,1287.5,1250,1275,3078000
15/03/2011,1262.5,1275,1250,1262.5,5266000
16/03/2011,1262.5,1312.5,1262.5,1262.5,10564000
17/03/2011,1325,1362.5,1250,1325,21082000
18/03/2011,1287.5,1350,1262.5,1287.5,10798000
21/03/2011,1287.5,1312.5,1275,1287.5,3036000
22/03/2011,1287.5,1300,1275,1287.5,5624000
23/03/2011,1300,1337.5,1287.5,1300,31782000
24/03/2011,1300,1312.5,1262.5,1300,10854000
25/03/2011,1312.5,1325,1287.5,1312.5,5786000
28/03/2011,1287.5,1312.5,1287.5,1287.5,3244000
29/03/2011,1312.5,1325,1287.5,1312.5,13572000
30/03/2011,1312.5,1325,1300,1312.5,8494000
31/03/2011,1325,1350,1325,1325,16242000
01/04/2011,1350,1350,1325,1350,10792000
04/04/2011,1325,1375,1312.5,1325,12896000
05/04/2011,1325,1337.5,1325,1325,18670000
06/04/2011,1325,1325,1287.5,1325,7488000
07/04/2011,1312.5,1337.5,1312.5,1312.5,4468000
08/04/2011,1325,1337.5,1312.5,1325,8020000
11/04/2011,1325,1337.5,1325,1325,2258000
12/04/2011,1312.5,1325,1312.5,1312.5,10538000
13/04/2011,1312.5,1325,1300,1312.5,11520000
14/04/2011,1312.5,1325,1287.5,1312.5,17496000
15/04/2011,1337.5,1337.5,1312.5,1337.5,15140000
18/04/2011,1337.5,1350,1325,1337.5,15114000
19/04/2011,1350,1350,1325,1350,33788000
20/04/2011,1362.5,1362.5,1337.5,1362.5,33766000
21/04/2011,1337.5,1362.5,1325,1337.5,15628000
25/04/2011,1350,1350,1325,1350,5994000
26/04/2011,1312.5,1350,1312.5,1312.5,8564000
27/04/2011,1325,1325,1312.5,1325,5928000
28/04/2011,1300,1325,1287.5,1300,14168000
29/04/2011,1337.5,1337.5,1300,1337.5,4780000
02/05/2011,1337.5,1337.5,1312.5,1337.5,1024000
03/05/2011,1350,1375,1325,1350,23810000
04/05/2011,1350,1362.5,1337.5,1350,4038000
05/05/2011,1350,1350,1337.5,1350,2170000
06/05/2011,1350,1350,1325,1350,1570000
09/05/2011,1337.5,1350,1337.5,1337.5,1462000
10/05/2011,1312.5,1350,1312.5,1312.5,4402000
11/05/2011,1325,1337.5,1300,1325,7734000
12/05/2011,1312.5,1337.5,1300,1312.5,5806000
13/05/2011,1312.5,1325,1312.5,1312.5,3818000
16/05/2011,1300,1312.5,1300,1300,2376000
18/05/2011,1325,1337.5,1300,1325,11348000
19/05/2011,1337.5,1337.5,1312.5,1337.5,3898000
20/05/2011,1337.5,1337.5,1312.5,1337.5,3328000
23/05/2011,1300,1325,1300,1300,4368000
24/05/2011,1325,1337.5,1287.5,1325,9552000
25/05/2011,1312.5,1325,1300,1312.5,3232000
26/05/2011,1300,1325,1300,1300,9220000
27/05/2011,1300,1312.5,1300,1300,1486000
30/05/2011,1312.5,1312.5,1300,1312.5,2160000
31/05/2011,1312.5,1312.5,1300,1312.5,17126000
01/06/2011,1312.5,1312.5,1300,1312.5,4584000
03/06/2011,1312.5,1312.5,1287.5,1312.5,6312000
06/06/2011,1300,1300,1287.5,1300,1878000
07/06/2011,1287.5,1300,1275,1287.5,3396000
08/06/2011,1300,1300,1275,1300,3890000
09/06/2011,1287.5,1300,1275,1287.5,6596000
10/06/2011,1287.5,1287.5,1275,1287.5,1016000
13/06/2011,1275,1287.5,1262.5,1275,2614000
14/06/2011,1275,1287.5,1275,1275,7576000
15/06/2011,1287.5,1300,1275,1287.5,17032000
16/06/2011,1300,1300,1275,1300,12416000
17/06/2011,1300,1300,1275,1300,12356000
20/06/2011,1275,1300,1250,1275,6136000
21/06/2011,1275,1287.5,1262.5,1275,7590000
22/06/2011,1287.5,1287.5,1262.5,1287.5,3426000
23/06/2011,1300,1300,1250,1300,14668000
24/06/2011,1287.5,1300,1262.5,1287.5,27868000
27/06/2011,1275,1287.5,1262.5,1275,28010000
28/06/2011,1262.5,1287.5,1262.5,1262.5,19908000
30/06/2011,1275,1287.5,1262.5,1275,14890000
01/07/2011,1262.5,1287.5,1262.5,1262.5,29782000
04/07/2011,1262.5,1262.5,1262.5,1262.5,0
