Date,Open,High,Low,Close,Volume
18/12/2007,16000,19600,16000,19600,454500
19/12/2007,20100,20100,18900,19000,124700
26/12/2007,19350,19350,18450,18550,31495
27/12/2007,18600,19050,18600,19000,48070
28/12/2007,19000,19050,18550,18900,15930
02/01/2008,18900,18900,18100,18150,27680
03/01/2008,18200,18300,18050,18150,21905
04/01/2008,18300,18800,18300,18750,12550
07/01/2008,18650,20850,18650,20800,78135
08/01/2008,21000,21500,20300,20600,43480
09/01/2008,20400,21000,20300,20850,37270
14/01/2008,21000,22850,20900,22000,98960
15/01/2008,22500,23300,21800,22000,81410
16/01/2008,21600,22200,21300,22000,90745
17/01/2008,22100,24300,22100,24250,59525
18/01/2008,23750,25000,23300,24450,61560
21/01/2008,23800,24800,22550,22850,39295
22/01/2008,21500,21850,20800,21850,138680
23/01/2008,23000,24100,22200,23600,42580
24/01/2008,24300,24500,23700,23800,19820
25/01/2008,24000,25450,24000,25250,70855
28/01/2008,25150,28050,24900,27800,63640
29/01/2008,28000,29500,28000,29150,53215
30/01/2008,29250,29500,28050,28800,14415
31/01/2008,29300,29300,28200,28300,29010
01/02/2008,28800,28800,26000,27000,38920
04/02/2008,28000,28900,26950,27000,29995
05/02/2008,27500,29000,27500,28150,91250
06/02/2008,27800,27900,27050,27600,31405
11/02/2008,27600,27600,26200,26250,25640
12/02/2008,27000,27200,24750,25950,32595
13/02/2008,26300,26300,25150,25350,19510
14/02/2008,25700,27000,25700,26800,28130
15/02/2008,26600,28550,26600,28400,53215
18/02/2008,28750,29900,28500,29900,62815
19/02/2008,30000,30850,29700,30500,32725
20/02/2008,31000,31000,28500,29100,19945
21/02/2008,29600,30000,29200,29500,14415
22/02/2008,29100,29700,29000,29450,10280
25/02/2008,29850,30000,29250,29550,8300
26/02/2008,29800,29800,28900,28900,8315
27/02/2008,29000,29200,27600,27800,39730
28/02/2008,27800,28200,27300,27550,21475
29/02/2008,28000,28000,27450,27600,19600
03/03/2008,27000,27500,26500,27200,11350
04/03/2008,27500,28100,26900,27750,27295
05/03/2008,27950,28250,27250,27500,29105
06/03/2008,28000,28000,27300,27400,17275
10/03/2008,27000,27000,25500,25700,31430
11/03/2008,25700,25700,23700,24800,51375
12/03/2008,25700,26400,25100,25100,21690
13/03/2008,24800,24800,22800,22900,37050
14/03/2008,23500,23500,21350,21900,61985
17/03/2008,19500,20700,19300,20550,23700
18/03/2008,21000,21000,19700,20300,56980
19/03/2008,20800,20900,18600,18650,56275
24/03/2008,18750,19500,18400,19200,25515
