Date,Open,High,Low,Close,Volume
15/12/2003,78,80,78,80,897950
16/12/2003,79,80,77,80,429100
17/12/2003,80,80,78,80,299100
18/12/2003,79,79,78,79,312525
19/12/2003,78,78,78,78,185375
22/12/2003,78,78,76,77,83800
23/12/2003,76,77,75,76,148000
29/12/2003,75,77,75,75,53300
30/12/2003,77,77,73,74,127600
02/01/2004,100,100,100,100,47000
05/01/2004,110,110,100,110,870150
06/01/2004,110,110,105,105,447700
07/01/2004,105,105,100,105,106800
08/01/2004,120,120,105,110,1304600
09/01/2004,120,120,115,120,1194280
12/01/2004,115,115,105,110,1172850
13/01/2004,110,110,105,110,192300
14/01/2004,110,110,105,105,321475
15/01/2004,105,110,105,110,140350
16/01/2004,110,110,110,110,1139480
19/01/2004,110,110,105,105,123800
20/01/2004,110,110,105,105,336475
21/01/2004,110,110,105,110,78525
23/01/2004,110,110,105,105,21125
26/01/2004,110,110,105,110,156850
27/01/2004,100,110,100,110,416525
28/01/2004,100,110,100,105,136050
29/01/2004,100,105,100,105,99775
30/01/2004,96,100,95,95,346200
03/02/2004,97,98,94,95,1933250
04/02/2004,97,97,95,97,425525
05/02/2004,98,101,97,99,642350
06/02/2004,103,103,100,103,749825
09/02/2004,105,105,105,105,145975
10/02/2004,110,105,100,105,154525
11/02/2004,110,105,100,105,99875
12/02/2004,105,105,100,100,429275
13/02/2004,105,105,100,105,36975
16/02/2004,100,105,100,100,12200
17/02/2004,105,105,100,100,10975
18/02/2004,110,110,100,105,977475
19/02/2004,115,105,100,105,35550
20/02/2004,110,105,100,105,180000
24/02/2004,110,100,95,100,466325
25/02/2004,105,100,95,95,205375
26/02/2004,105,100,98,99,278150
27/02/2004,100,99,96,96,180050
01/03/2004,96,97,95,96,264900
02/03/2004,97,102,97,102,585475
03/03/2004,100,100,95,95,393075
04/03/2004,99,99,98,98,205625
05/03/2004,98,99,98,99,94850
08/03/2004,98,98,96,98,280975
09/03/2004,96,97,94,95,693250
10/03/2004,95,95,93,94,517600
11/03/2004,92,94,90,92,381025
12/03/2004,91,92,89,90,701675
15/03/2004,92,92,90,90,184975
16/03/2004,88,89,87,87,360850
17/03/2004,90,95,89,93,1011080
18/03/2004,95,98,95,95,809500
19/03/2004,95,97,95,97,159525
23/03/2004,95,97,95,97,465625
24/03/2004,97,97,95,95,53800
25/03/2004,95,95,93,94,94800
26/03/2004,94,94,91,92,49950
29/03/2004,92,92,91,91,50125
30/03/2004,92,92,92,92,193650
31/03/2004,93,94,91,94,962025
01/04/2004,93,95,93,95,174125
02/04/2004,95,96,94,96,352450
06/04/2004,96,98,94,97,1391350
07/04/2004,97,97,94,94,370450
08/04/2004,95,97,95,95,655150
12/04/2004,95,95,93,93,261000
13/04/2004,94,94,92,92,170575
