Date,Open,High,Low,Close,Volume
19/08/2010,106,110,104,106,72685000
20/08/2010,111,112,102,111,166415000
23/08/2010,121,122,111,121,169005000
24/08/2010,119,124,117,119,73085000
25/08/2010,117,118,113,117,105105000
26/08/2010,116,118,115,116,22830000
27/08/2010,115,116,114,115,12670000
30/08/2010,114,115,108,114,72235000
31/08/2010,118,122,112,118,175530000
01/09/2010,131,134,120,131,139985000
02/09/2010,138,142,131,138,122250000
03/09/2010,147,149,137,147,266340000
06/09/2010,147,147,147,147,266340000
07/09/2010,146,162,143,146,234040000
15/09/2010,146,154,143,150,65345000
16/09/2010,149,152,146,149,51630000
17/09/2010,160,163,147,160,97640000
20/09/2010,158,167,156,158,85445000
21/09/2010,153,161,150,153,40265000
22/09/2010,148,159,148,148,59010000
23/09/2010,153,155,148,153,58680000
24/09/2010,171,172,153,171,218030000
27/09/2010,185,192,173,185,428310000
28/09/2010,202.5,210,186,202.5,309900000
29/09/2010,217.5,245,205,217.5,414150000
30/09/2010,225,227.5,200,225,128370000
01/10/2010,232.5,242.5,222.5,232.5,175135000
04/10/2010,222.5,237.5,217.5,222.5,87580000
05/10/2010,220,225,210,220,109530000
06/10/2010,217.5,220,202.5,217.5,101150000
07/10/2010,212.5,215,202.5,212.5,52995000
08/10/2010,227.5,232.5,205,227.5,132535000
11/10/2010,242.5,247.5,225,242.5,147095000
12/10/2010,237.5,247.5,230,237.5,63990000
13/10/2010,232.5,245,230,232.5,34835000
14/10/2010,230,240,210,230,86210000
15/10/2010,257.5,280,230,257.5,365500000
18/10/2010,250,265,240,250,73290000
19/10/2010,245,262.5,240,245,73065000
20/10/2010,250,250,240,250,68625000
21/10/2010,287.5,290,252.5,287.5,356030000
22/10/2010,277.5,290,272.5,277.5,86915000
25/10/2010,265,282.5,265,265,68620000
26/10/2010,257.5,265,250,257.5,112100000
27/10/2010,265,275,257.5,265,104000000
28/10/2010,265,272.5,260,265,54435000
29/10/2010,255,270,252.5,255,54955000
01/11/2010,265,270,252.5,265,148115000
02/11/2010,260,270,257.5,260,68975000
03/11/2010,255,265,252.5,255,54330000
04/11/2010,250,255,235,250,129925000
