Date,Open,High,Low,Close,Volume
18/04/2023,805,955,805,885,1303667800
26/04/2023,880,900,825,825,253021200
27/04/2023,800,845,795,820,444561200
28/04/2023,820,845,805,830,135630400
02/05/2023,830,845,790,805,190368700
03/05/2023,805,810,785,795,124398600
04/05/2023,800,815,790,805,54296800
05/05/2023,810,815,750,790,247231100
08/05/2023,790,795,770,795,83839400
09/05/2023,795,800,775,790,90885100
10/05/2023,780,790,770,780,48534400
11/05/2023,785,785,755,770,73137200
12/05/2023,765,775,755,775,43372400
15/05/2023,780,795,765,795,31261700
16/05/2023,795,800,770,775,45221200
17/05/2023,775,795,765,790,23687600
19/05/2023,790,795,760,765,43839000
22/05/2023,765,770,735,750,83998700
23/05/2023,755,775,745,775,46158700
24/05/2023,770,770,760,760,21404100
25/05/2023,760,775,750,775,15851600
26/05/2023,770,775,765,775,19262800
29/05/2023,775,780,755,765,30377700
30/05/2023,765,770,755,760,10049800
31/05/2023,755,760,750,755,14607800
05/06/2023,755,790,755,790,33654900
06/06/2023,795,795,770,780,33176900
07/06/2023,795,795,765,780,19271900
08/06/2023,780,795,770,780,34705100
09/06/2023,790,790,770,780,27605600
12/06/2023,780,785,765,770,24996000
13/06/2023,770,770,750,765,32044500
14/06/2023,765,790,760,790,45966900
15/06/2023,790,820,780,815,77061800
16/06/2023,820,820,800,815,52324200
19/06/2023,815,825,805,815,39489500
20/06/2023,815,825,805,815,17797800
21/06/2023,815,825,805,820,27043200
22/06/2023,820,825,810,820,17734100
23/06/2023,820,840,815,830,39551200
26/06/2023,830,835,815,815,16683000
27/06/2023,815,815,765,810,83902200
03/07/2023,800,810,790,805,8625300
04/07/2023,805,805,790,790,28752600
05/07/2023,790,805,785,800,18918400
06/07/2023,800,810,780,795,49201500
07/07/2023,790,795,775,785,22733300
10/07/2023,785,790,770,775,25692300
11/07/2023,775,775,765,770,27653400
12/07/2023,770,770,755,755,32405400
13/07/2023,760,770,750,765,45468100
14/07/2023,765,765,755,755,31148600
17/07/2023,770,770,750,755,22926400
18/07/2023,755,755,740,755,27451800
20/07/2023,715,760,715,755,26444200
21/07/2023,755,760,745,755,20506000
24/07/2023,755,755,745,750,22217900
25/07/2023,750,755,740,745,22190700
26/07/2023,745,745,725,735,48536400
27/07/2023,735,735,715,725,31664600
