Date,Open,High,Low,Close,Volume
24/03/2015,1900,2368,1900,2120,4680510
25/03/2015,2150,2290,2120,2240,2345460
26/03/2015,2215,2273,2195,2218,708720
27/03/2015,2203,2220,2130,2180,536160
30/03/2015,2150,2218,2150,2215,851170
31/03/2015,2250,2250,2210,2225,392980
01/04/2015,2220,2250,2218,2233,392320
02/04/2015,2235,2258,2210,2248,388350
06/04/2015,2205,2405,2200,2380,680870
07/04/2015,2400,2535,2370,2473,562660
08/04/2015,2473,2538,2473,2510,313430
09/04/2015,2505,2580,2505,2578,308200
10/04/2015,2578,2580,2490,2500,327790
13/04/2015,2480,2505,2400,2420,257330
14/04/2015,2420,2510,2375,2440,364380
15/04/2015,2460,2495,2453,2458,202980
16/04/2015,2478,2525,2450,2450,253520
17/04/2015,2448,2553,2448,2550,344260
20/04/2015,2553,2595,2520,2560,180750
21/04/2015,2565,2595,2565,2593,360200
22/04/2015,2593,2610,2550,2555,164130
23/04/2015,2580,2585,2550,2560,187070
24/04/2015,2578,2578,2515,2535,308080
27/04/2015,2520,2523,2378,2430,383900
28/04/2015,2400,2473,2395,2473,230790
29/04/2015,2450,2473,2360,2440,308270
30/04/2015,2403,2440,2390,2440,262870
04/05/2015,2445,2463,2390,2420,417710
05/05/2015,2420,2438,2380,2390,363230
06/05/2015,2390,2410,2388,2400,235660
07/05/2015,2400,2423,2390,2423,332350
08/05/2015,2410,2425,2400,2400,207780
11/05/2015,2420,2423,2400,2400,208640
12/05/2015,2403,2408,2398,2403,202480
13/05/2015,2405,2405,2363,2363,232160
15/05/2015,2360,2390,2360,2375,240590
18/05/2015,2378,2395,2375,2380,222630
19/05/2015,2390,2463,2390,2463,424090
20/05/2015,2470,2470,2403,2445,225000
21/05/2015,2445,2500,2445,2475,216620
22/05/2015,2478,2710,2478,2685,344830
25/05/2015,2700,2703,2625,2625,119960
26/05/2015,2625,2660,2530,2590,213600
27/05/2015,2590,2630,2435,2435,195060
28/05/2015,2450,2510,2440,2463,147050
29/05/2015,2463,2550,2463,2550,176200
01/06/2015,2550,2560,2503,2503,150980
03/06/2015,2520,2525,2405,2450,227320
04/06/2015,2430,2450,2413,2418,249590
05/06/2015,2420,2460,2393,2460,179080
08/06/2015,2460,2465,2423,2460,152620
09/06/2015,2460,2460,2350,2400,273900
10/06/2015,2403,2440,2400,2425,214370
11/06/2015,2438,2448,2400,2418,150730
12/06/2015,2418,2418,2360,2365,158200
15/06/2015,2360,2388,2308,2385,194850
16/06/2015,2390,2400,2353,2400,241990
17/06/2015,2400,2405,2383,2383,165840
18/06/2015,2383,2400,2383,2400,188310
19/06/2015,2400,2503,2400,2460,158780
22/06/2015,2460,2500,2460,2465,140650
23/06/2015,2465,2465,2395,2400,165730
24/06/2015,2403,2418,2363,2380,179950
25/06/2015,2380,2410,2353,2405,168950
26/06/2015,2405,2450,2378,2448,187700
29/06/2015,2435,2443,2403,2410,182350
30/06/2015,2400,2453,2400,2400,207140
01/07/2015,2420,2450,2403,2440,176590
02/07/2015,2445,2448,2383,2400,257510
03/07/2015,2400,2430,2400,2400,154850
06/07/2015,2400,2403,2360,2370,184700
07/07/2015,2378,2405,2378,2400,225740
08/07/2015,2398,2410,2375,2378,243020
09/07/2015,2360,2393,2350,2390,246540
10/07/2015,2395,2403,2378,2400,195830
13/07/2015,2398,2433,2398,2418,200270
14/07/2015,2440,2548,2410,2430,238430
15/07/2015,2430,2495,2430,2470,166260
22/07/2015,2470,2520,2453,2460,185790
23/07/2015,2460,2470,2438,2450,215860
24/07/2015,2450,2450,2420,2423,187700
27/07/2015,2478,2478,2450,2450,206010
28/07/2015,2420,2485,2420,2470,215880
29/07/2015,2485,2630,2483,2603,260600
30/07/2015,2600,2705,2600,2665,192340
31/07/2015,2668,2698,2538,2698,204360
03/08/2015,2698,2698,2603,2608,155070
04/08/2015,2615,2668,2595,2600,232930
05/08/2015,2603,2695,2603,2650,187160
06/08/2015,2650,2660,2610,2655,201260
07/08/2015,2685,2700,2610,2650,161960
10/08/2015,2600,2800,2600,2785,133030
11/08/2015,2790,2850,2650,2675,183310
12/08/2015,2675,2725,2640,2650,173570
13/08/2015,2650,2780,2645,2650,261440
14/08/2015,2653,2690,2645,2660,139870
18/08/2015,2660,2695,2650,2650,179450
19/08/2015,2655,2850,2655,2670,214660
20/08/2015,2673,2678,2630,2633,168570
21/08/2015,2600,2618,2573,2600,235350
24/08/2015,2570,2618,2360,2600,146150
25/08/2015,2570,2760,2570,2730,229130
26/08/2015,2730,2730,2620,2690,185970
27/08/2015,2730,2790,2708,2753,213790
28/08/2015,2758,2785,2650,2655,195340
31/08/2015,2660,2795,2655,2700,206010
01/09/2015,2700,2808,2695,2703,204590
02/09/2015,2703,2898,2703,2815,216110
03/09/2015,2818,2858,2780,2800,166090
04/09/2015,2803,2803,2720,2750,160720
07/09/2015,2750,2750,2648,2648,130270
08/09/2015,2683,2708,2650,2665,167890
09/09/2015,2700,2765,2685,2730,179640
10/09/2015,2730,2758,2690,2725,181770
11/09/2015,2730,2788,2730,2753,170140
14/09/2015,2760,2798,2703,2760,148220
15/09/2015,2710,2785,2660,2670,164030
16/09/2015,2675,2710,2650,2695,189060
17/09/2015,2695,2778,2695,2730,186440
18/09/2015,2750,2938,2740,2830,259840
21/09/2015,2830,2960,2825,2943,209460
22/09/2015,2965,3230,2920,2923,237670
23/09/2015,2940,2975,2825,2923,178750
25/09/2015,2923,3000,2923,2975,182280
28/09/2015,2975,3010,2850,2865,197820
29/09/2015,2800,3000,2800,3000,232900
30/09/2015,3000,3010,2865,2958,252850
01/10/2015,2973,3000,2973,3000,215490
02/10/2015,3000,3000,2965,2990,221750
05/10/2015,2990,3018,2988,3000,219760
06/10/2015,3005,3098,2875,2895,282960
07/10/2015,2928,2950,2828,2850,273120
08/10/2015,2860,2860,2765,2820,270430
09/10/2015,2825,2858,2720,2745,268430
12/10/2015,2755,2870,2700,2820,414980
13/10/2015,2835,2850,2753,2778,264370
15/10/2015,2780,2825,2775,2803,292780
16/10/2015,2880,3020,2810,2940,638849
19/10/2015,2960,3005,2945,2945,397630
20/10/2015,2955,2995,2920,2970,461509
21/10/2015,2975,2995,2905,2910,353460
22/10/2015,2910,2920,2795,2800,392684
23/10/2015,2825,2830,2770,2775,517324
26/10/2015,2785,2860,2745,2800,413731
27/10/2015,2815,2865,2800,2805,451520
28/10/2015,2845,2850,2760,2775,397189
29/10/2015,2805,2805,2705,2750,445770
30/10/2015,2760,2815,2730,2795,379193
02/11/2015,2825,2835,2775,2795,383794
03/11/2015,2825,2830,2725,2760,413697
04/11/2015,2760,2775,2740,2750,376168
05/11/2015,2725,2750,2625,2630,359434
06/11/2015,2615,2650,2570,2600,391225
09/11/2015,2650,2650,2605,2625,372239
10/11/2015,2625,2700,2570,2695,428953
11/11/2015,2720,2720,2630,2635,334262
12/11/2015,2650,2650,2630,2645,311842
13/11/2015,2625,2655,2450,2565,203153
16/11/2015,2500,2535,2475,2500,148710
17/11/2015,2515,2520,2440,2445,116649
18/11/2015,2445,2500,2420,2485,121755
19/11/2015,2495,2525,2445,2510,119657
20/11/2015,2510,2650,2510,2590,129532
23/11/2015,2625,2625,2550,2590,156123
24/11/2015,2580,2595,2470,2500,157213
25/11/2015,2600,2600,2475,2505,110205
26/11/2015,2500,2520,2475,2480,92826
27/11/2015,2505,2505,2455,2460,150333
30/11/2015,2460,2520,2410,2415,189059
01/12/2015,2460,2460,2330,2350,217064
02/12/2015,2390,2395,2210,2270,382681
03/12/2015,2265,2295,2230,2295,215652
04/12/2015,2290,2340,2250,2340,169264
07/12/2015,2340,2380,2260,2275,186615
08/12/2015,2265,2315,2250,2305,101012
10/12/2015,2285,2305,2185,2240,102875
11/12/2015,2240,2260,2110,2135,85815
14/12/2015,2110,2225,2010,2160,109662
15/12/2015,2155,2245,2090,2230,178306
16/12/2015,2235,2420,2235,2395,156920
17/12/2015,2450,2450,2320,2390,116135
18/12/2015,2350,2370,2280,2300,118618
21/12/2015,2280,2350,2280,2305,93138
22/12/2015,2305,2425,2285,2400,152566
23/12/2015,2400,2405,2340,2360,88831
28/12/2015,2360,2370,2310,2350,73546
29/12/2015,2380,2435,2320,2380,108546
30/12/2015,2380,2410,2375,2400,120109
04/01/2016,2385,2390,2235,2255,144370
05/01/2016,2260,2305,2225,2235,65443
06/01/2016,2240,2240,2195,2215,117004
07/01/2016,2210,2230,2180,2185,88231
