Date,Open,High,Low,Close,Volume
08/07/2013,600,720,600,720,71900
09/07/2013,750,780,640,720,147110
10/07/2013,720,750,700,720,35000
11/07/2013,720,720,690,720,14700
12/07/2013,700,710,690,710,13785
15/07/2013,700,700,670,690,18445
16/07/2013,680,680,650,660,8645
17/07/2013,630,640,600,610,13465
18/07/2013,610,610,590,610,4160
19/07/2013,570,680,570,640,42365
22/07/2013,650,650,610,630,24000
23/07/2013,640,640,630,630,23795
24/07/2013,630,640,600,620,29085
25/07/2013,630,630,610,630,33740
26/07/2013,630,630,610,630,34360
29/07/2013,610,630,600,630,42840
30/07/2013,610,620,600,620,1565
31/07/2013,620,640,620,630,39070
01/08/2013,630,630,630,630,0
02/08/2013,630,640,630,630,25000
12/08/2013,630,630,630,630,39595
13/08/2013,620,620,620,620,295
14/08/2013,620,630,620,620,116325
15/08/2013,620,630,620,630,101045
16/08/2013,630,640,630,640,135155
19/08/2013,620,620,540,620,595
20/08/2013,600,620,600,620,200
21/08/2013,620,650,620,640,177185
22/08/2013,640,640,640,640,50405
23/08/2013,640,640,630,640,51140
26/08/2013,630,640,630,640,3055
27/08/2013,630,640,630,630,51410
28/08/2013,630,640,630,640,54285
29/08/2013,640,650,610,650,70235
30/08/2013,650,680,650,650,118705
02/09/2013,650,650,640,650,51480
03/09/2013,660,670,660,660,100325
04/09/2013,650,660,650,650,52650
05/09/2013,660,680,660,680,109505
06/09/2013,650,700,630,690,80870
09/09/2013,690,710,630,710,116550
10/09/2013,710,750,700,750,59260
11/09/2013,730,750,720,750,52160
12/09/2013,750,750,740,740,26350
13/09/2013,740,740,740,740,51975
16/09/2013,740,750,740,740,75715
17/09/2013,740,740,730,740,53685
18/09/2013,740,740,730,730,41275
19/09/2013,740,740,730,730,37355
20/09/2013,740,740,710,720,400
23/09/2013,730,730,720,730,36455
24/09/2013,730,730,720,730,51525
25/09/2013,730,730,730,730,61425
26/09/2013,730,730,700,730,36755
27/09/2013,730,730,730,730,52125
30/09/2013,730,730,730,730,25
01/10/2013,730,730,730,730,105
02/10/2013,730,730,730,730,75
03/10/2013,720,730,710,730,130
04/10/2013,720,730,720,730,160
07/10/2013,730,730,730,730,0
08/10/2013,730,730,730,730,0
09/10/2013,720,730,720,730,100
10/10/2013,730,740,730,730,100805
11/10/2013,730,730,720,730,55920
16/10/2013,730,730,730,730,51465
17/10/2013,740,740,740,740,55630
18/10/2013,740,740,730,740,33840
21/10/2013,740,740,730,740,57435
22/10/2013,740,740,740,740,0
23/10/2013,730,740,730,740,505
24/10/2013,730,740,730,740,255
25/10/2013,730,740,730,740,1800
28/10/2013,740,740,740,740,0
29/10/2013,730,740,730,740,101925
30/10/2013,740,740,740,740,77600
31/10/2013,740,740,740,740,875
01/11/2013,740,750,740,740,81565
04/11/2013,740,740,740,740,74075
06/11/2013,740,750,730,740,62900
07/11/2013,740,740,740,740,98105
08/11/2013,740,740,740,740,112240
11/11/2013,740,740,740,740,90860
12/11/2013,740,740,740,740,69875
13/11/2013,740,740,740,740,0
14/11/2013,740,750,730,740,107575
15/11/2013,740,740,740,740,53000
18/11/2013,740,740,730,740,58280
19/11/2013,740,760,740,760,189730
20/11/2013,770,790,740,780,124330
21/11/2013,780,780,780,780,56330
22/11/2013,780,790,780,790,127875
25/11/2013,790,820,790,820,150200
26/11/2013,820,840,820,820,74410
27/11/2013,820,890,820,840,136065
28/11/2013,840,850,840,840,54800
29/11/2013,840,850,840,850,64655
02/12/2013,850,900,850,900,261380
03/12/2013,900,900,890,900,81030
04/12/2013,900,920,880,900,140950
05/12/2013,900,910,900,910,92075
06/12/2013,910,910,900,910,51910
09/12/2013,910,930,910,930,102985
10/12/2013,930,960,910,940,151655
11/12/2013,940,960,930,940,182770
12/12/2013,940,940,940,940,103215
13/12/2013,950,960,940,950,101635
16/12/2013,950,950,920,950,71805
17/12/2013,950,960,950,960,119075
18/12/2013,960,990,950,950,88700
19/12/2013,960,970,950,970,124805
20/12/2013,980,980,960,970,75925
23/12/2013,970,1000,970,990,175985
24/12/2013,990,1000,980,990,97000
27/12/2013,990,1020,990,1000,137260
30/12/2013,1000,1020,990,1010,113210
02/01/2014,1010,1010,1000,1010,95400
03/01/2014,1010,1010,980,980,104620
06/01/2014,1000,1000,840,980,13004
07/01/2014,985,990,930,980,62786
08/01/2014,975,985,970,985,107056
09/01/2014,980,990,980,990,180465
10/01/2014,990,1000,990,1000,202040
13/01/2014,1000,1005,990,1005,137702
15/01/2014,1005,1015,1005,1015,216662
16/01/2014,1015,1015,1010,1015,52290
17/01/2014,1015,1015,1010,1015,65120
20/01/2014,1015,1015,980,1010,105587
21/01/2014,1010,1015,1010,1015,94534
22/01/2014,1015,1015,1010,1015,69125
23/01/2014,1010,1015,1010,1015,109087
24/01/2014,1015,1015,1015,1015,93379
27/01/2014,1015,1015,1005,1015,51916
28/01/2014,1015,1015,1010,1010,50733
29/01/2014,1010,1015,1000,1015,4760
30/01/2014,1015,1015,1010,1015,66086
03/02/2014,1010,1015,1000,1015,18461
04/02/2014,1010,1015,1000,1010,74387
05/02/2014,1010,1010,1000,1000,112
06/02/2014,990,1000,990,1000,105
07/02/2014,995,1000,990,990,190
10/02/2014,1000,1000,990,990,247
11/02/2014,985,985,980,985,527
12/02/2014,985,985,985,985,194
13/02/2014,985,985,985,985,0
14/02/2014,985,990,980,980,16531
17/02/2014,1000,1000,995,1000,65950
18/02/2014,1000,1000,990,995,43098
19/02/2014,995,1015,985,1015,179750
20/02/2014,1000,1015,1000,1015,3534
21/02/2014,1015,1015,1000,1015,378
24/02/2014,1010,1015,990,1015,6364
25/02/2014,1015,1015,1010,1015,54553
26/02/2014,1015,1015,1000,1015,82088
27/02/2014,1015,1015,1010,1015,42282
28/02/2014,1010,1015,1010,1010,76238
03/03/2014,1015,1015,1010,1010,49950
04/03/2014,1005,1015,1005,1015,88216
05/03/2014,1015,1015,1015,1015,80225
06/03/2014,1015,1015,1015,1015,83835
07/03/2014,1015,1015,1015,1015,95631
10/03/2014,1015,1015,1015,1015,75319
11/03/2014,1015,1015,1010,1015,84774
12/03/2014,1015,1015,1010,1015,70641
13/03/2014,1015,1015,1010,1015,88863
14/03/2014,1015,1015,1015,1015,98546
17/03/2014,1015,1015,1015,1015,72806
18/03/2014,1015,1015,1015,1015,70856
19/03/2014,1015,1015,1010,1015,69817
20/03/2014,1015,1015,1010,1015,51973
21/03/2014,1015,1015,1000,1015,15544
24/03/2014,1015,1015,1015,1015,13037
25/03/2014,1015,1015,1010,1015,11660
26/03/2014,1015,1015,1015,1015,16317
27/03/2014,1015,1015,1010,1015,13756
28/03/2014,1015,1015,1000,1015,13730
01/04/2014,1015,1015,1010,1015,100
02/04/2014,1015,1015,1010,1015,60
03/04/2014,1015,1015,1010,1015,27664
04/04/2014,1015,1015,1015,1015,26446
07/04/2014,1015,1015,1015,1015,1216
08/04/2014,1015,1015,1000,1000,22095
10/04/2014,1000,1000,1000,1000,0
11/04/2014,1000,1005,1005,1005,40300
14/04/2014,1005,1005,1005,1005,108
15/04/2014,1005,1005,1000,1000,2698
16/04/2014,1000,995,995,995,1560
17/04/2014,995,1010,1000,1000,49893
21/04/2014,1000,1010,1000,1010,2
22/04/2014,1000,1000,990,990,203
23/04/2014,990,1000,1000,1000,20560
24/04/2014,1000,1000,1000,1000,0
25/04/2014,1000,1010,990,1010,199
28/04/2014,1010,1010,990,1000,214
29/04/2014,1000,1000,1000,1000,0
30/04/2014,1000,1000,995,1000,74
02/05/2014,1000,1000,1000,1000,2125
05/05/2014,1000,1000,980,1000,668
06/05/2014,1000,1000,980,1000,1270
07/05/2014,1000,1000,995,1000,21137
08/05/2014,1000,1000,960,1000,22910
09/05/2014,1000,1000,995,1000,205
12/05/2014,1000,1000,1000,1000,9
13/05/2014,1000,1000,995,1000,1227
14/05/2014,1000,1000,1000,1000,0
16/05/2014,1000,1000,995,1000,1005
19/05/2014,1000,1000,1000,1000,0
20/05/2014,1000,1000,990,1000,104
21/05/2014,1000,1000,995,1000,12109
22/05/2014,1000,1000,995,1000,1013
23/05/2014,1000,1000,995,1000,2525
26/05/2014,1000,1000,1000,1000,29934
28/05/2014,1000,1000,1000,1000,1
30/05/2014,1000,1000,1000,1000,0
02/06/2014,1000,1000,990,1000,2034
03/06/2014,995,1000,990,1000,2544
04/06/2014,1000,995,990,995,120
05/06/2014,990,995,980,995,256
06/06/2014,995,1000,990,1000,223
09/06/2014,1000,1010,1000,1000,37972
10/06/2014,1000,1010,995,1000,26010
