Date,Open,High,Low,Close,Volume
09/02/2022,135,135,100,135,17813700
10/02/2022,165,165,126,126,1327700
11/02/2022,118,118,118,118,107973
14/02/2022,110,117,110,110,3306574
15/02/2022,103,110,103,103,1037420
16/02/2022,96,116,96,108,5508665
17/02/2022,108,114,103,104,1488090
18/02/2022,97,109,97,101,950879
21/02/2022,102,104,98,100,755982
22/02/2022,101,105,96,100,1422770
23/02/2022,103,109,100,102,1435022
24/02/2022,102,103,95,95,1092046
25/02/2022,95,95,89,89,472625
01/03/2022,85,96,83,83,1819869
02/03/2022,78,81,78,78,805664
04/03/2022,76,80,73,75,767529
07/03/2022,73,75,70,70,401077
08/03/2022,71,78,66,67,923664
09/03/2022,68,72,64,65,339122
10/03/2022,66,78,65,71,2851250
11/03/2022,71,72,67,68,391669
14/03/2022,65,70,65,68,230110
15/03/2022,68,69,64,65,283646
16/03/2022,64,66,62,63,196440
17/03/2022,63,68,63,64,295899
18/03/2022,60,65,60,61,249311
21/03/2022,63,64,60,62,231368
22/03/2022,67,67,61,64,434516
23/03/2022,70,70,60,64,392105
24/03/2022,64,64,62,63,119571
25/03/2022,62,64,61,62,96440
28/03/2022,61,63,61,62,89013
29/03/2022,63,63,61,62,101309
30/03/2022,62,65,61,62,340177
31/03/2022,62,63,61,61,123095
01/04/2022,61,62,60,61,97289
04/04/2022,60,73,59,66,3105477
05/04/2022,67,67,62,62,523190
06/04/2022,62,63,59,61,289488
07/04/2022,61,62,59,61,149239
08/04/2022,61,62,60,60,100994
11/04/2022,60,63,59,60,299263
12/04/2022,60,61,58,58,185095
13/04/2022,55,59,55,56,183664
14/04/2022,56,57,55,55,110609
18/04/2022,56,57,53,54,95441
19/04/2022,54,56,53,56,255262
20/04/2022,56,57,53,53,185262
21/04/2022,58,58,50,51,289832
22/04/2022,52,55,50,52,340925
25/04/2022,52,61,51,57,1794751
26/04/2022,56,58,54,54,235046
27/04/2022,52,54,51,52,432951
28/04/2022,52,53,51,51,112346
09/05/2022,51,55,51,53,277046
10/05/2022,53,53,51,51,59963
11/05/2022,51,52,50,51,112331
12/05/2022,51,52,50,50,94404
13/05/2022,50,51,50,50,116727
17/05/2022,51,51,50,50,105034
18/05/2022,50,50,50,50,26352
19/05/2022,50,50,50,50,7965
20/05/2022,50,50,50,50,9113
23/05/2022,50,50,50,50,43486
24/05/2022,50,50,50,50,7900
25/05/2022,50,50,50,50,3585
27/05/2022,50,50,50,50,31831
30/05/2022,50,50,50,50,9782
31/05/2022,50,50,50,50,6561
02/06/2022,50,50,50,50,8757
03/06/2022,50,50,50,50,12362
06/06/2022,50,50,50,50,6134
07/06/2022,50,50,50,50,6755
08/06/2022,50,50,50,50,2212
09/06/2022,50,50,50,50,3395
10/06/2022,50,50,50,50,2664
13/06/2022,50,50,50,50,5303
14/06/2022,50,50,50,50,3244
15/06/2022,50,50,50,50,573
16/06/2022,50,50,50,50,1112
17/06/2022,50,50,50,50,484
20/06/2022,50,50,50,50,1121
21/06/2022,50,50,50,50,1009
22/06/2022,50,50,50,50,3634
23/06/2022,50,50,50,50,28594
24/06/2022,50,50,50,50,18856
27/06/2022,50,50,50,50,9853
28/06/2022,50,50,50,50,6038
29/06/2022,50,50,50,50,6754
30/06/2022,50,50,50,50,2685
01/07/2022,50,50,50,50,27551
04/07/2022,50,50,50,50,349
05/07/2022,50,50,50,50,2178
06/07/2022,50,50,50,50,195
07/07/2022,50,50,50,50,368
08/07/2022,50,50,50,50,1856
11/07/2022,50,50,50,50,3991
12/07/2022,50,50,50,50,3825
13/07/2022,50,50,50,50,2773
14/07/2022,50,50,50,50,4028
15/07/2022,50,50,50,50,2770
18/07/2022,50,50,50,50,6220
19/07/2022,50,50,50,50,9312
20/07/2022,50,50,50,50,2141
21/07/2022,50,50,50,50,946
22/07/2022,50,50,50,50,48597
25/07/2022,50,54,50,52,318211
26/07/2022,52,53,50,51,128029
27/07/2022,52,52,50,51,54110
28/07/2022,51,51,50,51,79019
29/07/2022,51,51,50,50,120192
01/08/2022,50,50,50,50,8290
02/08/2022,50,50,50,50,6405
03/08/2022,50,50,50,50,12947
04/08/2022,50,50,50,50,6072
05/08/2022,50,50,50,50,12630
08/08/2022,50,51,50,50,155497
09/08/2022,50,51,50,50,93314
10/08/2022,50,51,50,50,27242
11/08/2022,50,51,50,50,35513
12/08/2022,50,50,50,50,7336
15/08/2022,50,50,50,50,18072
16/08/2022,50,50,50,50,12588
18/08/2022,50,50,50,50,3769
19/08/2022,50,50,50,50,3908
22/08/2022,50,50,50,50,1467
23/08/2022,50,50,50,50,2482
24/08/2022,50,50,50,50,3993
25/08/2022,50,50,50,50,1144
26/08/2022,50,54,50,52,456050
29/08/2022,52,52,50,51,184383
30/08/2022,51,51,50,50,92509
31/08/2022,50,51,50,50,68468
01/09/2022,50,51,50,50,91277
02/09/2022,50,51,50,50,46317
05/09/2022,50,51,50,50,41273
