Date,Open,High,Low,Close,Volume
18/09/2018,13,13,13,13,157587
19/09/2018,17,17,17,17,1619
20/09/2018,22,22,22,22,1309
21/09/2018,27,27,27,27,1858
24/09/2018,34,34,34,34,2238559
25/09/2018,40,42,34,42,5847472
26/09/2018,44,46,35,36,3038133
27/09/2018,36,41,32,38,2616916
28/09/2018,38,42,36,41,1723911
01/10/2018,41,42,35,35,1624919
02/10/2018,35,36,30,35,1201423
03/10/2018,35,35,30,30,428184
04/10/2018,30,32,23,24,641382
05/10/2018,24,24,18,18,1175271
08/10/2018,18,18,14,14,5172577
09/10/2018,14,18,9,16,19290719
10/10/2018,16,19,14,18,8053925
11/10/2018,18,21,17,18,3706750
12/10/2018,18,20,17,18,2513871
15/10/2018,18,18,14,15,2004755
16/10/2018,15,17,14,15,2193940
17/10/2018,15,15,14,15,675894
18/10/2018,15,15,14,14,354753
19/10/2018,14,15,14,14,230046
22/10/2018,15,15,14,14,283223
23/10/2018,14,15,14,14,601380
24/10/2018,14,16,14,14,2880574
25/10/2018,14,15,14,14,661988
26/10/2018,14,15,14,14,315948
29/10/2018,14,14,14,14,269921
30/10/2018,14,15,14,14,328742
31/10/2018,14,14,14,14,386268
01/11/2018,14,14,14,14,154195
02/11/2018,14,14,14,14,150788
05/11/2018,14,14,14,14,165131
06/11/2018,14,14,14,14,62142
07/11/2018,14,16,14,14,1672015
08/11/2018,14,15,14,14,288360
09/11/2018,14,15,14,14,183035
12/11/2018,14,14,14,14,112771
13/11/2018,14,15,14,14,401835
14/11/2018,14,14,14,14,270020
15/11/2018,14,14,14,14,180318
16/11/2018,14,14,14,14,129197
19/11/2018,14,15,14,14,248471
21/11/2018,14,15,14,14,217350
22/11/2018,14,15,14,14,461162
23/11/2018,14,14,14,14,194309
26/11/2018,14,14,14,14,75950
27/11/2018,14,14,14,14,130013
28/11/2018,14,14,11,14,384297
29/11/2018,14,14,13,14,99892
30/11/2018,14,14,13,13,72797
03/12/2018,13,13,12,12,38172
04/12/2018,12,13,12,12,68589
05/12/2018,12,13,12,13,75556
06/12/2018,13,13,12,13,107788
07/12/2018,13,13,12,13,52571
10/12/2018,13,13,12,13,12851
11/12/2018,13,13,12,12,56034
12/12/2018,13,13,12,13,48897
13/12/2018,12,13,12,12,54950
14/12/2018,12,13,12,12,87224
17/12/2018,12,13,12,13,175899
18/12/2018,13,13,12,13,45562
19/12/2018,13,13,12,12,61424
20/12/2018,12,13,12,12,78470
21/12/2018,13,13,12,12,59721
26/12/2018,12,13,12,12,127508
27/12/2018,12,13,12,13,160894
28/12/2018,12,13,12,13,102538
02/01/2019,13,13,12,13,85465
03/01/2019,12,13,12,12,21071
04/01/2019,13,13,12,12,32007
07/01/2019,12,13,12,12,80313
08/01/2019,12,12,12,12,48912
09/01/2019,12,12,11,12,63494
10/01/2019,12,12,12,12,17679
11/01/2019,12,12,12,12,44281
14/01/2019,12,12,12,12,215732
15/01/2019,12,12,12,12,19382
16/01/2019,11,13,11,12,79356
17/01/2019,12,13,12,12,62987
18/01/2019,12,13,12,12,18509
21/01/2019,13,13,12,12,52684
22/01/2019,12,13,12,12,23168
23/01/2019,12,12,12,12,16848
24/01/2019,12,12,12,12,11668
25/01/2019,12,12,12,12,13104
28/01/2019,12,12,12,12,14216
29/01/2019,12,12,12,12,38271
30/01/2019,12,12,12,12,21676
31/01/2019,12,12,11,12,84339
01/02/2019,11,12,11,11,40213
04/02/2019,11,11,11,11,15539
06/02/2019,11,11,11,11,34836
07/02/2019,11,11,11,11,10739
08/02/2019,11,11,11,11,88266
11/02/2019,11,11,10,11,133659
12/02/2019,11,11,10,11,122286
13/02/2019,11,11,10,11,28207
14/02/2019,11,11,10,10,12823
15/02/2019,11,11,9,10,18312
18/02/2019,11,11,7,8,728367
19/02/2019,8,9,8,8,620579
20/02/2019,7,8,7,8,369363
21/02/2019,7,8,7,7,592878
22/02/2019,7,7,7,7,634457
25/02/2019,7,9,7,8,1714888
26/02/2019,8,8,8,8,308910
27/02/2019,8,8,8,8,50995
28/02/2019,8,8,8,8,14526
01/03/2019,8,8,7,7,62931
04/03/2019,8,10,7,9,3753241
05/03/2019,9,9,8,8,968463
06/03/2019,9,11,8,9,4672314
08/03/2019,10,11,9,10,2693148
11/03/2019,9,10,9,9,454997
12/03/2019,9,10,9,9,332289
13/03/2019,9,9,8,9,178418
14/03/2019,9,9,8,8,224486
15/03/2019,9,9,8,8,159909
18/03/2019,8,10,8,9,563489
19/03/2019,9,9,8,8,166299
20/03/2019,9,9,8,8,203571
21/03/2019,9,9,8,8,79019
22/03/2019,9,9,8,9,59848
25/03/2019,9,9,8,9,79610
26/03/2019,9,9,8,8,285052
27/03/2019,9,9,8,9,163780
28/03/2019,9,9,8,8,36666
29/03/2019,9,9,8,8,35076
01/04/2019,9,9,8,8,13737
02/04/2019,8,9,8,8,30557
04/04/2019,9,9,8,8,37285
05/04/2019,9,9,8,8,160627
08/04/2019,9,9,8,8,2717
09/04/2019,9,9,8,8,31219
10/04/2019,9,9,8,8,14582
11/04/2019,8,9,8,8,16187
