Date,Open,High,Low,Close,Volume
19/08/2010,4150,4200,4100,4150,38451500
20/08/2010,4100,4125,4050,4100,17268500
23/08/2010,4050,4075,3975,4050,30852500
24/08/2010,4000,4050,3975,4000,36490500
25/08/2010,4025,4050,3975,4025,20013000
26/08/2010,4025,4050,4000,4025,9238000
27/08/2010,3950,4000,3925,3950,51441000
30/08/2010,3950,4000,3900,3950,21195000
31/08/2010,4000,4000,3850,4000,25526000
01/09/2010,4025,4050,3950,4025,34515500
02/09/2010,3900,4050,3900,3900,33500000
03/09/2010,3800,3950,3725,3800,93062500
06/09/2010,3850,3900,3750,3850,52585500
07/09/2010,3850,3875,3800,3850,17496000
15/09/2010,3900,4100,3900,4075,116290000
16/09/2010,4025,4075,4000,4025,21707000
17/09/2010,4075,4075,4025,4075,24601000
20/09/2010,3950,4075,3900,3950,38955500
21/09/2010,3950,4000,3900,3950,36989000
22/09/2010,3875,3950,3825,3875,68270000
23/09/2010,3850,3900,3825,3850,35275500
24/09/2010,3850,3900,3800,3850,32997500
27/09/2010,3875,3900,3825,3875,52413500
28/09/2010,3850,3950,3825,3850,108935000
29/09/2010,3875,3900,3850,3875,42572000
30/09/2010,3850,3875,3825,3850,67766000
01/10/2010,3850,3850,3825,3850,48973500
04/10/2010,3875,3925,3825,3875,79054000
05/10/2010,3900,3900,3825,3900,29508000
06/10/2010,3875,3925,3825,3875,73351500
07/10/2010,3850,3875,3800,3850,52710500
08/10/2010,3825,3875,3800,3825,41023500
11/10/2010,3825,3850,3800,3825,43091500
12/10/2010,3875,3900,3800,3875,90568500
13/10/2010,4000,4000,3875,4000,97111000
14/10/2010,4125,4150,4000,4125,163591500
15/10/2010,4175,4200,4125,4175,86861000
18/10/2010,4150,4175,4100,4150,32349500
19/10/2010,4175,4175,4125,4175,25022500
20/10/2010,4150,4150,4075,4150,22052000
21/10/2010,4075,4200,4025,4075,33161500
22/10/2010,4025,4075,4000,4025,30082000
25/10/2010,4025,4050,3975,4025,12966000
