Date,Open,High,Low,Close,Volume
24/02/2023,925,925,815,875,584706700
27/02/2023,875,875,830,830,90183300
28/02/2023,815,840,800,800,65393800
01/03/2023,800,840,800,835,43259400
02/03/2023,840,875,820,870,55298000
03/03/2023,870,875,855,875,34181600
06/03/2023,870,880,845,860,30521300
07/03/2023,860,875,855,860,14088300
08/03/2023,860,865,850,860,8540300
09/03/2023,860,865,850,855,11006800
10/03/2023,855,860,830,860,10084800
13/03/2023,860,860,830,840,4519100
14/03/2023,840,840,810,825,8412400
15/03/2023,825,835,805,810,10350600
16/03/2023,810,815,775,790,32026000
17/03/2023,790,820,785,805,11337700
20/03/2023,800,820,795,800,11086800
21/03/2023,800,800,790,800,2938400
24/03/2023,800,805,785,795,5173700
27/03/2023,800,800,740,740,19315600
28/03/2023,700,740,690,695,27500000
29/03/2023,695,720,675,710,12946300
30/03/2023,710,720,695,705,5913300
31/03/2023,715,720,690,695,14933900
03/04/2023,695,700,655,655,19558900
04/04/2023,620,665,620,660,10990000
05/04/2023,655,675,650,665,7587200
06/04/2023,665,670,650,650,8404500
10/04/2023,650,655,610,615,18448600
11/04/2023,595,715,595,695,37952700
12/04/2023,700,710,660,685,29865300
13/04/2023,685,730,670,720,23065000
14/04/2023,725,735,705,720,19684800
17/04/2023,730,760,715,750,22994600
18/04/2023,755,760,735,750,12663400
26/04/2023,750,775,720,765,8322100
27/04/2023,765,765,740,760,12986300
28/04/2023,760,770,745,755,9437800
02/05/2023,755,765,740,765,9443900
03/05/2023,765,765,750,760,9151700
04/05/2023,760,775,755,770,7527200
05/05/2023,775,775,740,750,4341400
08/05/2023,750,785,745,770,8256300
09/05/2023,770,775,750,770,9160000
10/05/2023,770,785,760,780,15681500
11/05/2023,780,785,770,780,3764000
12/05/2023,785,790,765,785,54525100
15/05/2023,790,855,780,840,44699900
16/05/2023,835,850,830,840,17007600
17/05/2023,840,860,830,840,12053700
19/05/2023,840,855,835,850,8371300
22/05/2023,850,855,795,815,14387000
23/05/2023,815,820,800,815,5468900
24/05/2023,815,870,805,830,17176100
25/05/2023,830,845,810,825,5667500
26/05/2023,825,845,810,840,3715000
29/05/2023,840,865,820,860,7214500
30/05/2023,860,885,850,885,23644400
31/05/2023,885,920,880,910,38856100
05/06/2023,905,920,900,910,28913700
06/06/2023,915,935,910,925,54003400
07/06/2023,925,930,910,910,20918600
08/06/2023,910,910,855,860,11927200
09/06/2023,865,865,850,860,6627500
12/06/2023,860,860,830,855,11086600
13/06/2023,855,855,830,855,25573900
14/06/2023,855,855,840,845,4401000
15/06/2023,850,850,825,840,6929800
16/06/2023,840,845,830,840,6558500
19/06/2023,835,845,825,840,5044000
20/06/2023,835,875,830,845,11887300
21/06/2023,845,880,845,865,16932900
22/06/2023,880,880,860,870,12149700
23/06/2023,870,890,865,880,11201900
26/06/2023,880,885,855,875,13192400
27/06/2023,880,880,845,875,12794900
03/07/2023,875,880,855,855,3719800
04/07/2023,855,860,825,830,9208700
05/07/2023,850,850,815,835,4850700
06/07/2023,840,840,825,825,1804800
07/07/2023,830,835,815,815,4018900
10/07/2023,815,820,795,800,6049300
11/07/2023,825,825,785,795,5259600
