Date,Open,High,Low,Close,Volume
23/12/2002,120,120,115,120,747950
27/12/2002,120,120,115,120,368125
02/01/2003,120,120,110,115,1496580
03/01/2003,115,115,110,115,161975
06/01/2003,110,115,105,105,1194780
07/01/2003,110,110,105,110,173375
08/01/2003,105,110,105,110,29525
09/01/2003,110,110,105,105,16250
10/01/2003,105,110,105,110,2125
13/01/2003,110,110,105,110,62850
14/01/2003,110,110,105,110,53100
15/01/2003,110,110,105,110,10000
16/01/2003,105,110,105,110,1175
17/01/2003,105,110,105,110,4100
20/01/2003,105,110,105,110,82825
21/01/2003,110,110,105,110,63425
22/01/2003,105,110,105,110,1250
23/01/2003,110,110,105,110,138800
24/01/2003,105,110,105,110,14200
27/01/2003,105,110,105,110,80225
28/01/2003,105,110,105,110,18400
29/01/2003,105,110,105,110,12425
30/01/2003,105,110,105,110,32650
31/01/2003,105,110,105,110,90175
03/02/2003,105,105,105,105,2600
04/02/2003,105,110,105,110,7150
05/02/2003,105,110,105,110,5275
06/02/2003,110,110,105,110,10375
07/02/2003,105,110,105,110,3625
10/02/2003,105,110,105,110,87500
11/02/2003,105,110,105,110,7875
13/02/2003,105,110,105,110,1625
14/02/2003,105,110,105,110,331950
17/02/2003,110,110,105,110,825
18/02/2003,110,110,110,110,16400
19/02/2003,105,110,105,110,8025
20/02/2003,105,110,105,105,0
21/02/2003,105,105,100,105,14500
24/02/2003,105,105,100,105,1475
25/02/2003,105,105,105,105,25
26/02/2003,100,105,100,105,2525
27/02/2003,100,105,100,105,3550
28/02/2003,95,100,95,100,7100
04/03/2003,95,95,95,95,59350
05/03/2003,95,96,95,96,2400
06/03/2003,95,96,95,95,16250
07/03/2003,92,97,92,92,0
10/03/2003,95,95,95,95,3650
11/03/2003,95,95,95,95,3775
12/03/2003,95,96,95,96,21425
13/03/2003,97,97,95,95,750
14/03/2003,96,99,96,97,4425
17/03/2003,100,100,96,96,3375
18/03/2003,96,97,96,97,6350
19/03/2003,96,97,96,97,2925
20/03/2003,97,98,96,98,30900
21/03/2003,98,102,98,101,106625
24/03/2003,100,105,100,105,51750
25/03/2003,100,105,100,105,18600
26/03/2003,100,105,100,105,52875
27/03/2003,100,110,100,110,100650
28/03/2003,105,110,105,110,49725
31/03/2003,105,115,105,110,250250
01/04/2003,110,110,105,110,59950
02/04/2003,110,110,110,110,0
03/04/2003,110,110,105,105,28175
04/04/2003,100,105,100,105,26025
07/04/2003,100,105,100,105,23350
08/04/2003,100,105,100,105,60125
09/04/2003,100,105,100,105,105775
10/04/2003,100,105,100,105,123450
11/04/2003,100,105,100,105,237200
14/04/2003,100,105,100,105,93875
15/04/2003,100,105,100,105,47125
16/04/2003,100,105,100,105,62875
17/04/2003,100,105,100,105,79525
21/04/2003,100,105,100,105,150300
22/04/2003,100,105,100,105,21875
23/04/2003,105,110,100,105,405850
24/04/2003,110,110,105,110,338850
25/04/2003,110,110,105,110,94200
28/04/2003,105,110,105,110,31400
29/04/2003,110,115,110,115,290825
30/04/2003,115,115,110,115,37950
01/05/2003,110,115,110,115,104875
02/05/2003,115,115,110,115,47375
05/05/2003,115,115,110,115,405850
06/05/2003,115,120,110,120,355300
07/05/2003,115,120,110,120,249425
08/05/2003,120,120,115,115,504625
09/05/2003,110,115,110,115,292325
12/05/2003,115,115,110,115,40425
13/05/2003,110,115,110,115,107950
14/05/2003,110,115,110,115,33150
19/05/2003,110,110,110,110,30950
20/05/2003,110,115,110,115,36625
21/05/2003,110,115,110,115,234975
22/05/2003,105,110,105,110,64650
23/05/2003,105,110,105,110,275050
26/05/2003,105,110,105,110,213275
27/05/2003,110,110,105,110,16025
28/05/2003,105,110,105,110,391450
29/05/2003,110,110,105,110,1825
02/06/2003,105,110,105,110,152650
03/06/2003,110,115,110,115,629675
04/06/2003,110,115,110,115,178375
05/06/2003,115,115,110,115,214550
06/06/2003,110,115,110,115,114450
09/06/2003,110,115,110,115,100350
10/06/2003,110,115,110,115,49450
11/06/2003,110,115,110,115,20975
12/06/2003,110,115,110,115,77925
13/06/2003,115,115,110,115,8075
16/06/2003,110,115,110,115,95000
17/06/2003,115,115,110,115,105450
18/06/2003,110,115,110,115,35800
19/06/2003,110,115,110,115,301875
20/06/2003,110,115,105,115,149725
23/06/2003,110,115,110,115,141850
24/06/2003,110,115,110,115,124050
25/06/2003,110,115,110,115,17250
26/06/2003,110,115,110,115,96500
27/06/2003,110,110,105,110,63250
30/06/2003,105,115,105,115,185125
01/07/2003,105,105,105,105,53875
02/07/2003,110,110,110,110,1250
03/07/2003,100,110,100,110,25400
04/07/2003,105,110,105,110,5100
07/07/2003,105,110,105,110,1900
08/07/2003,105,110,100,110,181675
09/07/2003,110,110,110,110,71750
10/07/2003,110,110,105,110,4400
11/07/2003,105,110,105,110,14100
14/07/2003,110,110,105,110,104300
15/07/2003,105,110,105,110,2750
16/07/2003,105,110,105,110,7250
17/07/2003,105,110,105,110,1125
18/07/2003,105,110,105,110,10525
21/07/2003,105,110,105,110,15525
22/07/2003,105,110,105,110,138000
23/07/2003,105,110,105,110,58750
24/07/2003,105,105,105,105,75525
25/07/2003,105,105,100,105,195175
28/07/2003,105,105,105,105,103075
29/07/2003,105,110,105,110,117525
30/07/2003,110,110,105,110,14025
31/07/2003,105,110,105,110,110000
01/08/2003,105,110,105,110,44750
04/08/2003,105,110,105,110,49125
05/08/2003,105,105,105,105,88425
06/08/2003,100,105,100,105,5775
07/08/2003,105,105,105,105,41500
08/08/2003,100,105,100,105,20250
11/08/2003,100,105,100,105,50
12/08/2003,100,105,100,105,525
13/08/2003,100,105,100,105,5400
14/08/2003,100,100,100,100,25
15/08/2003,105,110,100,110,56100
19/08/2003,105,110,105,110,2800
20/08/2003,105,105,100,105,925
21/08/2003,105,110,105,110,12800
22/08/2003,105,110,105,110,3475
25/08/2003,100,110,100,100,375
26/08/2003,105,105,100,105,100
27/08/2003,100,105,100,105,23750
28/08/2003,100,105,100,105,1275
29/08/2003,105,105,100,100,19700
01/09/2003,105,105,105,105,4325
02/09/2003,100,100,95,95,86700
03/09/2003,100,105,100,101,60800
04/09/2003,105,105,100,105,125
05/09/2003,105,105,105,105,54875
08/09/2003,105,105,100,100,7600
09/09/2003,105,105,100,105,19250
10/09/2003,100,105,100,105,10350
11/09/2003,100,105,100,105,350
12/09/2003,105,105,105,105,1500
15/09/2003,105,105,100,105,14050
16/09/2003,100,105,100,105,350
17/09/2003,105,110,105,110,339025
18/09/2003,110,110,105,110,251700
19/09/2003,110,120,110,115,699975
23/09/2003,115,115,110,115,46650
24/09/2003,115,115,110,115,47275
25/09/2003,110,115,105,110,378000
26/09/2003,110,110,105,110,83525
29/09/2003,110,115,105,110,43000
30/09/2003,110,110,105,110,16800
01/10/2003,110,110,110,110,800
02/10/2003,110,110,105,110,144825
03/10/2003,110,120,110,120,3128400
06/10/2003,120,120,110,110,1000320
07/10/2003,115,115,110,115,164625
08/10/2003,115,120,110,120,701925
09/10/2003,120,125,115,120,1164580
10/10/2003,125,135,120,135,4292050
13/10/2003,135,140,130,130,2616200
14/10/2003,135,135,125,130,945800
15/10/2003,125,135,125,135,885800
16/10/2003,135,135,125,130,1404420
17/10/2003,135,140,130,130,876625
20/10/2003,135,145,135,140,1445950
21/10/2003,140,150,135,140,1964850
22/10/2003,140,140,135,140,611900
23/10/2003,135,140,125,125,1039500
24/10/2003,130,130,120,125,381600
27/10/2003,125,130,120,120,318000
28/10/2003,125,125,115,120,508100
29/10/2003,120,120,110,120,314600
30/10/2003,120,120,115,120,74000
31/10/2003,115,120,110,115,139950
03/11/2003,115,115,110,110,33700
04/11/2003,115,130,110,130,756225
05/11/2003,130,130,120,125,298175
06/11/2003,125,125,115,120,389250
07/11/2003,120,125,115,120,64725
10/11/2003,120,125,115,125,158000
11/11/2003,120,125,115,125,64275
12/11/2003,120,120,115,120,87600
13/11/2003,120,120,115,120,13175
14/11/2003,120,120,115,120,26575
17/11/2003,115,115,110,115,152950
18/11/2003,115,115,115,115,12500
19/11/2003,115,115,110,115,66425
20/11/2003,115,115,115,115,37200
21/11/2003,115,125,115,125,105700
01/12/2003,125,125,120,120,26675
02/12/2003,120,125,120,125,148225
03/12/2003,125,135,125,135,960225
04/12/2003,135,135,130,130,353350
05/12/2003,135,145,130,145,1833000
08/12/2003,145,145,140,145,681700
09/12/2003,145,145,140,145,444400
10/12/2003,140,145,135,135,772875
11/12/2003,140,145,135,140,667750
12/12/2003,145,145,140,145,908150
15/12/2003,145,145,135,140,1073050
16/12/2003,140,145,140,145,105050
17/12/2003,145,150,140,145,783975
18/12/2003,145,150,145,145,399625
19/12/2003,150,155,150,150,605250
22/12/2003,155,160,150,160,609925
23/12/2003,155,170,155,170,737250
29/12/2003,170,190,170,185,843275
30/12/2003,190,195,170,175,926675
02/01/2004,180,190,175,190,377425
05/01/2004,190,190,185,185,360700
06/01/2004,185,185,180,180,74975
07/01/2004,180,180,170,175,292350
08/01/2004,175,180,175,180,181950
09/01/2004,180,185,175,180,198850
12/01/2004,180,180,175,175,69275
13/01/2004,175,175,170,175,80900
14/01/2004,175,180,175,175,68400
15/01/2004,180,190,175,175,1070150
16/01/2004,175,175,170,175,556800
19/01/2004,175,175,160,165,397050
20/01/2004,165,175,165,170,232325
21/01/2004,175,180,170,175,225725
23/01/2004,175,175,170,170,23800
26/01/2004,175,175,170,175,115950
27/01/2004,170,170,165,165,111325
28/01/2004,170,170,165,165,4550
29/01/2004,165,165,160,165,84625
30/01/2004,165,165,160,165,19025
03/02/2004,160,160,150,155,146275
04/02/2004,155,160,155,160,6575
05/02/2004,155,155,155,155,27175
06/02/2004,160,165,160,165,59175
09/02/2004,165,165,160,165,31975
10/02/2004,165,165,160,165,56300
11/02/2004,160,170,155,165,215000
12/02/2004,165,170,160,165,113325
13/02/2004,160,165,160,165,5150
16/02/2004,160,170,160,165,94300
17/02/2004,170,170,165,165,84100
18/02/2004,165,170,160,165,101450
19/02/2004,165,165,160,165,134675
20/02/2004,165,165,165,165,43850
24/02/2004,165,170,160,160,172725
25/02/2004,165,165,160,160,80875
26/02/2004,165,170,160,165,43400
27/02/2004,160,165,160,160,344425
01/03/2004,160,165,155,155,37775
02/03/2004,160,170,160,170,255900
03/03/2004,170,175,165,175,454225
04/03/2004,175,180,170,170,136250
05/03/2004,170,175,170,170,51000
08/03/2004,165,170,165,170,20775
09/03/2004,165,165,165,165,36050
10/03/2004,165,165,165,165,16000
11/03/2004,165,165,150,155,154725
12/03/2004,150,160,150,160,61925
15/03/2004,155,160,150,150,16475
16/03/2004,155,160,150,155,69225
17/03/2004,160,160,155,155,10000
18/03/2004,160,165,160,160,66000
19/03/2004,165,165,160,165,69300
23/03/2004,165,165,155,160,255175
24/03/2004,160,170,155,160,738925
25/03/2004,160,165,150,155,329100
26/03/2004,155,155,150,150,72500
29/03/2004,155,155,155,155,64750
30/03/2004,155,160,155,155,385725
31/03/2004,155,160,155,155,21525
01/04/2004,155,160,155,155,37325
02/04/2004,160,165,155,165,161975
06/04/2004,165,165,160,160,119875
07/04/2004,160,160,155,155,39225
08/04/2004,155,165,155,160,149925
12/04/2004,165,170,160,165,280100
13/04/2004,165,170,160,160,219175
14/04/2004,165,165,160,165,19725
15/04/2004,165,170,165,170,264025
16/04/2004,165,170,165,165,51075
19/04/2004,170,170,165,165,140575
20/04/2004,165,170,165,170,48700
21/04/2004,165,175,165,170,334950
22/04/2004,170,170,165,170,159050
23/04/2004,170,175,170,175,54125
26/04/2004,170,175,170,170,161625
27/04/2004,170,170,170,170,15400
28/04/2004,170,170,170,170,5000
29/04/2004,170,170,165,165,116250
30/04/2004,165,165,160,165,160525
04/05/2004,165,165,150,150,470725
05/05/2004,155,155,150,150,208500
06/05/2004,150,150,145,145,134825
07/05/2004,145,150,145,150,28825
10/05/2004,150,150,135,135,184150
