Date,Open,High,Low,Close,Volume
10/08/2020,17,17,17,17,118
11/08/2020,23,23,23,23,5599
12/08/2020,31,31,30,31,672715
13/08/2020,36,39,29,29,6512461
14/08/2020,28,28,27,27,982546
18/08/2020,27,33,26,31,2444746
19/08/2020,31,34,29,31,2073071
24/08/2020,31,36,31,34,2724367
25/08/2020,34,35,33,34,940841
26/08/2020,34,36,34,35,866005
27/08/2020,35,39,34,36,1975829
28/08/2020,36,37,35,35,389590
31/08/2020,35,36,35,35,461013
01/09/2020,35,37,35,36,499014
02/09/2020,36,38,36,38,339678
03/09/2020,38,39,37,38,896359
04/09/2020,38,39,37,38,490007
07/09/2020,38,39,38,38,274516
08/09/2020,38,38,37,38,158200
09/09/2020,38,39,37,37,324596
10/09/2020,38,39,37,38,548596
11/09/2020,38,39,38,39,217367
14/09/2020,39,39,38,38,208800
15/09/2020,38,41,38,40,446932
16/09/2020,41,42,40,40,580005
17/09/2020,40,40,39,39,259149
18/09/2020,39,40,39,39,146741
21/09/2020,39,39,39,39,80437
22/09/2020,38,47,37,45,1638450
23/09/2020,46,46,44,45,366076
24/09/2020,45,45,44,44,96687
25/09/2020,44,45,43,44,229893
28/09/2020,45,45,43,44,381425
29/09/2020,44,45,43,44,258106
30/09/2020,44,45,43,43,261057
01/10/2020,44,44,42,44,259191
02/10/2020,45,45,44,44,304344
05/10/2020,44,45,44,44,238745
06/10/2020,44,45,44,44,157073
07/10/2020,44,46,44,45,297350
08/10/2020,45,47,45,46,354911
09/10/2020,47,49,46,49,410892
12/10/2020,49,51,46,50,1132086
13/10/2020,50,51,50,50,200452
14/10/2020,50,50,49,49,122412
15/10/2020,49,50,49,50,170927
16/10/2020,49,54,49,54,595095
19/10/2020,54,58,51,51,1497086
20/10/2020,51,52,49,50,339888
21/10/2020,50,51,50,51,119562
22/10/2020,51,52,50,52,272264
23/10/2020,52,53,52,53,120453
26/10/2020,53,54,53,53,202596
27/10/2020,52,56,52,55,436325
02/11/2020,55,57,55,56,151912
03/11/2020,57,60,57,60,801594
04/11/2020,60,62,60,60,223369
05/11/2020,60,64,60,61,671949
06/11/2020,61,61,60,61,125884
09/11/2020,62,62,60,60,113459
10/11/2020,61,64,61,61,431967
11/11/2020,61,63,61,62,120285
12/11/2020,61,62,60,60,138334
13/11/2020,60,61,60,60,103513
16/11/2020,60,62,60,61,193744
17/11/2020,62,63,61,61,106498
18/11/2020,61,65,59,59,458734
19/11/2020,59,62,59,62,269809
20/11/2020,62,62,61,62,119654
23/11/2020,62,64,62,62,134795
24/11/2020,62,62,61,62,46212
25/11/2020,62,62,61,61,60403
26/11/2020,60,64,60,64,252583
27/11/2020,64,70,63,70,424185
30/11/2020,70,70,68,70,87154
01/12/2020,70,73,69,73,295811
02/12/2020,73,75,73,73,136039
03/12/2020,74,75,73,73,153173
04/12/2020,74,74,73,73,104421
07/12/2020,74,75,74,74,109381
08/12/2020,74,76,74,75,177863
10/12/2020,75,75,73,73,208220
11/12/2020,73,73,70,72,198317
14/12/2020,72,73,71,72,142765
15/12/2020,72,74,72,73,221982
16/12/2020,73,74,73,73,183320
17/12/2020,72,81,72,78,1141044
18/12/2020,79,81,78,79,356500
21/12/2020,79,81,79,80,204925
22/12/2020,80,89,79,85,469706
