Date,Open,High,Low,Close,Volume
18/11/2019,1600,1640,1600,1640,13400
19/11/2019,2050,2050,1740,1770,9562700
20/11/2019,1770,1830,1750,1825,3990500
21/11/2019,1825,1855,1750,1795,6333200
22/11/2019,1795,1805,1785,1795,5159900
25/11/2019,1795,1805,1785,1800,3676700
26/11/2019,1800,1815,1800,1805,3776500
27/11/2019,1805,1825,1805,1805,3625400
28/11/2019,1805,1815,1780,1805,3483600
29/11/2019,1810,1845,1805,1835,3457700
02/12/2019,1840,1850,1835,1845,3416800
03/12/2019,1845,1860,1830,1840,3383300
04/12/2019,1840,1850,1835,1850,3334400
05/12/2019,1840,1860,1825,1860,3950400
06/12/2019,1865,1865,1860,1865,3362000
09/12/2019,1860,1865,1860,1865,3300700
10/12/2019,1860,1865,1860,1860,3329100
11/12/2019,1860,1865,1860,1865,3410400
12/12/2019,1865,1870,1865,1865,3340800
13/12/2019,1860,1865,1855,1865,3298900
16/12/2019,1860,1910,1860,1910,3994600
17/12/2019,1910,1920,1900,1915,3220800
18/12/2019,1915,1930,1910,1925,3561700
19/12/2019,1920,1920,1915,1915,3965500
20/12/2019,1910,1915,1855,1855,3567200
23/12/2019,1855,1860,1845,1845,3355100
26/12/2019,1845,1845,1835,1840,3388600
27/12/2019,1840,1850,1835,1845,3298100
30/12/2019,1845,1850,1835,1835,3536300
02/01/2020,1830,1835,1830,1830,3364400
03/01/2020,1830,1830,1825,1825,3422000
06/01/2020,1825,1825,1810,1815,3608000
07/01/2020,1815,1820,1805,1810,3537200
08/01/2020,1810,1810,1805,1805,3360200
09/01/2020,1805,1850,1805,1840,3403500
10/01/2020,1840,1860,1840,1850,3344100
13/01/2020,1850,1870,1850,1855,3319700
14/01/2020,1850,1855,1850,1850,2748100
15/01/2020,1850,1850,1835,1835,3879200
16/01/2020,1830,1840,1825,1830,3189600
17/01/2020,1825,1830,1825,1830,3725000
20/01/2020,1825,1830,1820,1825,2910400
21/01/2020,1820,1835,1820,1820,3978200
22/01/2020,1815,1830,1815,1815,3542900
23/01/2020,1810,1820,1810,1820,4208900
24/01/2020,1815,1820,1810,1815,2820000
27/01/2020,1815,1815,1800,1800,3684000
28/01/2020,1795,1810,1785,1810,4073000
29/01/2020,1810,1820,1805,1810,3352400
30/01/2020,1810,1820,1805,1805,3872600
31/01/2020,1805,1810,1795,1800,1747400
03/02/2020,1795,1795,1790,1795,572900
04/02/2020,1795,1805,1795,1800,350900
05/02/2020,1800,1805,1795,1805,282400
06/02/2020,1805,1805,1800,1800,257700
07/02/2020,1800,1805,1795,1800,277900
10/02/2020,1795,1800,1795,1795,261600
11/02/2020,1795,1800,1795,1795,284600
12/02/2020,1795,1795,1790,1795,294400
13/02/2020,1795,1795,1790,1795,277700
14/02/2020,1795,1795,1790,1795,278700
17/02/2020,1790,1800,1790,1790,271600
18/02/2020,1785,1795,1785,1795,265300
19/02/2020,1795,1800,1795,1800,306200
20/02/2020,1795,1800,1795,1800,307000
21/02/2020,1795,1795,1790,1795,279800
24/02/2020,1790,1790,1785,1785,253200
25/02/2020,1780,1785,1775,1780,283400
26/02/2020,1775,1775,1765,1765,255000
27/02/2020,1765,1765,1750,1750,269200
28/02/2020,1745,1745,1740,1740,330600
02/03/2020,1745,1750,1745,1745,281400
03/03/2020,1745,1755,1745,1755,343500
04/03/2020,1755,1760,1755,1760,285900
05/03/2020,1760,1765,1760,1765,278900
06/03/2020,1760,1760,1755,1755,288200
09/03/2020,1750,1750,1740,1740,255700
10/03/2020,1740,1750,1740,1750,258400
11/03/2020,1750,1750,1735,1735,298900
12/03/2020,1730,1730,1720,1720,284600
13/03/2020,1720,1720,1715,1715,294500
16/03/2020,1710,1710,1705,1705,290000
17/03/2020,1700,1700,1685,1685,247400
18/03/2020,1680,1685,1680,1685,304000
19/03/2020,1680,1680,1670,1670,198100
20/03/2020,1670,1670,1660,1665,182100
23/03/2020,1665,1665,1655,1660,184100
24/03/2020,1655,1655,1650,1655,175300
26/03/2020,1655,1655,1650,1650,183300
27/03/2020,1650,1650,1645,1650,176900
30/03/2020,1645,1645,1640,1640,61200
31/03/2020,1640,1640,1640,1640,123300
01/04/2020,1640,1640,1640,1640,61000
02/04/2020,1640,1640,1630,1635,58000
03/04/2020,1640,1640,1630,1630,63400
06/04/2020,1630,1630,1630,1630,53000
07/04/2020,1630,1630,1630,1630,63000
08/04/2020,1630,1630,1625,1625,61800
09/04/2020,1620,1620,1615,1615,63500
13/04/2020,1610,1610,1610,1610,63300
14/04/2020,1610,1610,1610,1610,62700
15/04/2020,1610,1610,1610,1610,63300
16/04/2020,1605,1605,1605,1605,15100
17/04/2020,1600,1600,1600,1600,1800
20/04/2020,1600,1600,1600,1600,0
21/04/2020,1600,1600,1600,1600,0
22/04/2020,1605,1605,1605,1605,900
23/04/2020,1600,1600,1600,1600,300
24/04/2020,1600,1600,1600,1600,200
27/04/2020,1600,1600,1600,1600,0
28/04/2020,1600,1600,1600,1600,0
29/04/2020,1600,1600,1600,1600,500
30/04/2020,1600,1600,1600,1600,0
04/05/2020,1595,1595,1595,1595,900
05/05/2020,1590,1590,1585,1585,1300
06/05/2020,1590,1595,1585,1585,2700
08/05/2020,1590,1620,1590,1620,4900
11/05/2020,1620,1620,1620,1620,0
12/05/2020,1620,1620,1620,1620,0
13/05/2020,1620,1620,1620,1620,0
14/05/2020,1615,1615,1615,1615,500
15/05/2020,1615,1615,1615,1615,0
18/05/2020,1615,1615,1615,1615,0
19/05/2020,1615,1615,1615,1615,0
20/05/2020,1615,1615,1615,1615,0
26/05/2020,1615,1615,1615,1615,0
27/05/2020,1615,1615,1615,1615,0
28/05/2020,1615,1615,1615,1615,0
29/05/2020,1615,1615,1615,1615,0
02/06/2020,1610,1610,1570,1570,39500
03/06/2020,1570,1570,1570,1570,0
04/06/2020,1570,1570,1570,1570,0
05/06/2020,1570,1570,1570,1570,0
08/06/2020,1570,1570,1570,1570,0
09/06/2020,1565,1565,1565,1565,400
10/06/2020,1565,1565,1565,1565,0
11/06/2020,1565,1565,1565,1565,800
12/06/2020,1565,1565,1565,1565,0
15/06/2020,1565,1565,1565,1565,0
16/06/2020,1565,1565,1565,1565,0
17/06/2020,1565,1565,1565,1565,0
18/06/2020,1565,1565,1565,1565,0
19/06/2020,1565,1565,1565,1565,0
22/06/2020,1565,1565,1565,1565,0
23/06/2020,1565,1565,1565,1565,0
24/06/2020,1565,1565,1565,1565,0
25/06/2020,1565,1565,1565,1565,0
26/06/2020,1565,1565,1565,1565,0
29/06/2020,1565,1565,1565,1565,0
30/06/2020,1565,1565,1565,1565,0
01/07/2020,1565,1565,1565,1565,0
02/07/2020,1565,1565,1565,1565,0
03/07/2020,1565,1565,1565,1565,0
06/07/2020,1565,1565,1565,1565,0
07/07/2020,1565,1565,1460,1465,4800
08/07/2020,1515,1830,1365,1390,3600
09/07/2020,1440,1500,1295,1500,900
10/07/2020,1450,1450,1405,1405,200
13/07/2020,1405,1405,1405,1405,0
14/07/2020,1405,1405,1405,1405,0
15/07/2020,1400,1400,1400,1400,200
16/07/2020,1400,1400,1400,1400,0
17/07/2020,1450,1500,1305,1400,7100
20/07/2020,1400,1400,1400,1400,2300
21/07/2020,1400,1400,1400,1400,1000
22/07/2020,1405,1405,1405,1405,888300
23/07/2020,1400,1400,1400,1400,800
24/07/2020,1405,1405,1400,1400,200
27/07/2020,1400,1400,1400,1400,100
28/07/2020,1400,1400,1400,1400,0
29/07/2020,1400,1400,1400,1400,0
30/07/2020,1400,1400,1400,1400,0
03/08/2020,1400,1400,1400,1400,600
04/08/2020,1400,1400,1400,1400,0
05/08/2020,1400,1400,1400,1400,0
06/08/2020,1400,1400,1400,1400,0
07/08/2020,1400,1400,1400,1400,0
10/08/2020,1400,1400,1400,1400,100
11/08/2020,1400,1400,1400,1400,0
12/08/2020,1400,1400,1400,1400,0
13/08/2020,1400,1400,1400,1400,0
14/08/2020,1400,1400,1400,1400,0
18/08/2020,1400,1400,1400,1400,0
19/08/2020,1400,1400,1400,1400,0
24/08/2020,1400,1400,1400,1400,0
25/08/2020,1400,1400,1400,1400,0
26/08/2020,1400,1400,1400,1400,500
27/08/2020,1400,1400,1400,1400,0
28/08/2020,1400,1400,1400,1400,0
31/08/2020,1400,1400,1400,1400,0
01/09/2020,1400,1400,1400,1400,0
02/09/2020,1400,1400,1400,1400,0
03/09/2020,1395,1400,1395,1400,881800
04/09/2020,1400,1400,1400,1400,609600
07/09/2020,1400,1400,1400,1400,622400
08/09/2020,1400,1400,1400,1400,555500
09/09/2020,1400,1400,1400,1400,444500
10/09/2020,1400,1400,1400,1400,0
11/09/2020,1400,1400,1400,1400,0
14/09/2020,1400,1400,1400,1400,0
15/09/2020,1400,1400,1400,1400,0
16/09/2020,1400,1400,1400,1400,0
17/09/2020,1400,1400,1400,1400,0
18/09/2020,1400,1400,1400,1400,0
21/09/2020,1400,1400,1400,1400,0
22/09/2020,1400,1400,1400,1400,0
23/09/2020,1400,1400,1400,1400,0
24/09/2020,1400,1400,1400,1400,0
25/09/2020,1400,1400,1400,1400,0
28/09/2020,1400,1400,1400,1400,0
29/09/2020,1400,1400,1400,1400,0
30/09/2020,1400,1400,1400,1400,0
01/10/2020,1400,1400,1400,1400,0
02/10/2020,1400,1400,1400,1400,0
05/10/2020,1400,1400,1400,1400,0
06/10/2020,1400,1400,1400,1400,0
07/10/2020,1400,1400,1400,1400,0
08/10/2020,1400,1400,1400,1400,0
09/10/2020,1400,1400,1400,1400,0
12/10/2020,1400,1400,1400,1400,0
13/10/2020,1400,1400,1400,1400,0
14/10/2020,1400,1400,1400,1400,0
15/10/2020,1400,1400,1400,1400,0
16/10/2020,1400,1400,1400,1400,0
19/10/2020,1400,1400,1400,1400,0
20/10/2020,1400,1400,1400,1400,0
21/10/2020,1400,1400,1400,1400,0
22/10/2020,1400,1400,1400,1400,0
23/10/2020,1400,1400,1400,1400,0
26/10/2020,1400,1400,1400,1400,0
27/10/2020,1400,1400,1400,1400,0
02/11/2020,1305,1305,1305,1305,10600
03/11/2020,1215,1215,1215,1215,121000
04/11/2020,1130,1130,1130,1130,151200
05/11/2020,1055,1055,1055,1055,1500
06/11/2020,1050,1050,985,995,11300
09/11/2020,995,995,990,990,1300
10/11/2020,990,990,930,930,700
11/11/2020,925,925,865,865,3500
12/11/2020,810,810,805,805,22400
13/11/2020,755,805,750,750,16300
16/11/2020,750,750,700,750,19300
17/11/2020,745,810,710,805,27200
18/11/2020,800,800,755,755,3200
19/11/2020,710,710,705,710,13800
20/11/2020,705,710,670,670,45700
23/11/2020,665,700,665,700,28600
24/11/2020,680,700,680,695,8500
25/11/2020,695,695,650,690,1600
26/11/2020,650,700,650,695,21500
27/11/2020,655,660,650,650,23300
30/11/2020,620,660,620,660,1400
01/12/2020,660,660,615,615,3400
02/12/2020,615,615,575,600,60800
03/12/2020,600,655,600,655,63500
04/12/2020,655,675,625,650,25700
07/12/2020,610,610,610,610,2500
08/12/2020,600,600,595,600,3000
10/12/2020,605,605,560,560,24300
11/12/2020,535,535,535,535,4300
14/12/2020,525,525,525,525,1800
15/12/2020,525,530,510,525,1700
16/12/2020,570,600,570,575,2500
17/12/2020,550,550,535,535,19800
18/12/2020,535,650,530,620,66800
21/12/2020,620,620,580,580,13400
22/12/2020,580,585,540,540,11900
23/12/2020,540,540,505,525,24800
28/12/2020,492,580,492,550,9800
29/12/2020,520,545,515,515,18900
30/12/2020,490,570,490,530,15500
04/01/2021,530,530,520,530,20700
05/01/2021,520,520,500,520,12500
06/01/2021,530,530,525,525,500
07/01/2021,505,525,500,500,12600
08/01/2021,500,500,488,490,17500
11/01/2021,490,492,490,490,16300
12/01/2021,490,600,490,600,57200
13/01/2021,600,650,600,600,25500
14/01/2021,600,600,560,560,4800
15/01/2021,560,600,525,600,20100
18/01/2021,600,600,570,570,4700
19/01/2021,570,570,535,535,4700
20/01/2021,515,545,500,535,2200
21/01/2021,500,530,498,498,1800
22/01/2021,498,498,498,498,10100
25/01/2021,498,600,482,590,19100
26/01/2021,590,590,550,550,5200
27/01/2021,520,545,520,520,1900
28/01/2021,486,488,486,488,3700
29/01/2021,488,520,454,520,4200
01/02/2021,520,520,484,520,1200
02/02/2021,535,560,490,490,4300
03/02/2021,490,490,488,488,6300
