Date,Open,High,Low,Close,Volume
02/01/2004,1410,1410,1340,1410,278300
05/01/2004,1540,1540,1410,1510,497100
06/01/2004,1520,1610,1520,1570,316075
07/01/2004,1530,1530,1440,1450,488300
08/01/2004,1510,1510,1450,1500,492400
09/01/2004,1540,1540,1520,1520,1074480
12/01/2004,1520,1520,1440,1440,640900
13/01/2004,1480,1480,1460,1480,491500
14/01/2004,1490,1490,1470,1480,332600
15/01/2004,1480,1480,1460,1460,439850
16/01/2004,1490,1490,1460,1490,471800
19/01/2004,1530,1530,1500,1520,448500
20/01/2004,1560,1560,1520,1550,595700
21/01/2004,1600,1600,1570,1570,401250
23/01/2004,1600,1600,1570,1590,241300
26/01/2004,1610,1610,1570,1610,387725
27/01/2004,1610,1610,1550,1570,376475
28/01/2004,1590,1590,1560,1560,294025
29/01/2004,1580,1580,1520,1570,388875
30/01/2004,1560,1560,1480,1510,543375
03/02/2004,1510,1510,1430,1440,931350
04/02/2004,1470,1470,1430,1430,725775
05/02/2004,1460,1460,1400,1440,759725
06/02/2004,1470,1470,1450,1470,719225
09/02/2004,1520,1520,1480,1510,1035120
10/02/2004,1550,1550,1510,1520,494325
11/02/2004,1550,1550,1510,1520,256200
12/02/2004,1540,1540,1490,1510,228200
13/02/2004,1530,1530,1510,1530,398575
16/02/2004,1530,1530,1510,1530,266825
17/02/2004,1530,1530,1510,1530,312650
18/02/2004,1560,1560,1530,1550,322650
19/02/2004,1540,1540,1520,1530,82575
20/02/2004,1550,1550,1530,1540,599575
24/02/2004,1540,1540,1480,1490,1015920
25/02/2004,1500,1500,1480,1490,561750
26/02/2004,1500,1500,1480,1500,393400
27/02/2004,1510,1510,1450,1460,868900
01/03/2004,1460,1480,1450,1470,553150
02/03/2004,1480,1510,1480,1480,614250
03/03/2004,1480,1490,1460,1460,267675
04/03/2004,1480,1480,1430,1440,606850
05/03/2004,1460,1470,1450,1450,289575
08/03/2004,1450,1450,1440,1440,368450
09/03/2004,1420,1450,1390,1440,496950
10/03/2004,1430,1440,1410,1430,299225
11/03/2004,1400,1420,1380,1390,418575
12/03/2004,1370,1440,1340,1440,473675
15/03/2004,1440,1440,1340,1340,497300
16/03/2004,1340,1340,1270,1340,1298020
17/03/2004,1330,1400,1330,1400,908425
