Date,Open,High,Low,Close,Volume
26/05/2008,127,139,122,139,7451395
27/05/2008,161,174,161,166,16107241
28/05/2008,171,171,142,167,3995626
29/05/2008,164,170,163,170,2124987
30/05/2008,169,171,169,170,2052786
02/06/2008,166,166,156,156,254342
03/06/2008,166,166,156,156,820458
04/06/2008,147,158,147,158,3282
05/06/2008,156,159,154,159,1470260
06/06/2008,156,160,156,159,664571
09/06/2008,156,156,156,156,164092
10/06/2008,154,154,148,148,1063314
11/06/2008,156,156,147,147,462738
12/06/2008,147,148,147,148,845072
13/06/2008,147,149,147,149,1460416
16/06/2008,148,148,148,148,656367
17/06/2008,148,148,147,147,894299
18/06/2008,152,152,152,152,492274
19/06/2008,152,152,152,152,0
20/06/2008,147,147,147,147,164092
23/06/2008,142,142,142,142,13127
24/06/2008,142,142,142,142,0
25/06/2008,142,142,141,142,497198
26/06/2008,137,142,137,137,123069
27/06/2008,127,127,127,127,103378
30/06/2008,127,127,127,127,0
01/07/2008,127,127,127,127,6564
02/07/2008,125,125,125,125,31177
03/07/2008,122,125,122,125,219883
04/07/2008,122,122,120,122,646521
07/07/2008,117,117,117,117,164092
08/07/2008,115,117,112,115,466020
09/07/2008,115,115,115,115,0
10/07/2008,122,127,121,127,794203
11/07/2008,122,122,117,120,444687
14/07/2008,117,127,117,127,828662
15/07/2008,127,132,127,127,936964
16/07/2008,130,137,127,134,1734449
17/07/2008,117,130,117,127,252700
18/07/2008,130,130,117,121,1017369
21/07/2008,127,128,122,122,37741
22/07/2008,122,122,120,122,1785318
23/07/2008,126,126,125,125,1263505
24/07/2008,122,122,121,121,2792829
25/07/2008,120,122,120,122,1992073
28/07/2008,122,122,122,122,820458
29/07/2008,117,117,117,117,16409
31/07/2008,117,117,116,116,331466
01/08/2008,112,112,105,112,3096416
04/08/2008,105,108,105,106,485712
05/08/2008,108,108,108,108,324901
06/08/2008,116,117,115,117,50868
07/08/2008,117,117,117,117,511967
08/08/2008,116,117,116,117,134555
11/08/2008,117,117,117,117,0
12/08/2008,117,117,116,117,73841
13/08/2008,117,117,115,117,1046906
14/08/2008,115,115,115,115,147682
15/08/2008,117,117,117,117,44305
19/08/2008,110,110,97,100,2302215
20/08/2008,101,117,101,114,216601
21/08/2008,115,115,115,115,1641
22/08/2008,114,115,114,115,9846
25/08/2008,115,115,115,115,0
26/08/2008,115,115,115,115,0
27/08/2008,115,115,115,115,0
28/08/2008,115,115,108,108,24614
29/08/2008,108,108,108,108,0
01/09/2008,110,110,109,110,226446
02/09/2008,110,110,110,110,37741
03/09/2008,98,110,98,110,907427
04/09/2008,110,122,108,110,265828
05/09/2008,110,110,110,110,344592
08/09/2008,110,110,110,110,164092
09/09/2008,110,110,110,110,410229
10/09/2008,110,110,110,110,295365
11/09/2008,110,110,110,110,213319
12/09/2008,110,110,110,110,295365
15/09/2008,110,110,98,110,689186
16/09/2008,110,110,98,110,328183
17/09/2008,110,110,110,110,229728
18/09/2008,105,114,105,114,32818
19/09/2008,114,114,114,114,0
22/09/2008,114,114,114,114,0
23/09/2008,110,110,110,110,229728
24/09/2008,110,110,110,110,328183
25/09/2008,108,108,108,108,164092
26/09/2008,98,115,98,115,106660
06/10/2008,98,98,98,98,697390
07/10/2008,106,108,106,108,45946
08/10/2008,83,98,83,98,170655
13/10/2008,98,98,98,98,0
14/10/2008,98,98,98,98,0
15/10/2008,98,98,98,98,0
16/10/2008,98,98,98,98,0
17/10/2008,98,98,98,98,0
20/10/2008,98,98,98,98,0
21/10/2008,98,98,98,98,0
22/10/2008,98,98,98,98,0
23/10/2008,98,98,98,98,0
24/10/2008,98,98,98,98,0
27/10/2008,98,98,98,98,0
28/10/2008,98,98,98,98,0
29/10/2008,98,98,98,98,0
30/10/2008,98,98,98,98,0
31/10/2008,98,98,98,98,0
03/11/2008,98,98,98,98,0
04/11/2008,88,98,88,98,408589
05/11/2008,93,93,88,88,44305
06/11/2008,88,88,88,88,0
07/11/2008,88,88,88,88,0
10/11/2008,88,88,88,88,0
11/11/2008,88,88,88,88,0
12/11/2008,88,88,88,88,0
13/11/2008,88,88,88,88,0
14/11/2008,88,88,88,88,0
17/11/2008,88,88,88,88,0
18/11/2008,88,88,88,88,0
19/11/2008,88,88,88,88,0
20/11/2008,88,88,88,88,0
21/11/2008,88,88,88,88,0
24/11/2008,88,88,88,88,0
25/11/2008,83,83,83,83,1641
26/11/2008,83,83,83,83,0
27/11/2008,83,83,83,83,0
28/11/2008,83,83,83,83,0
01/12/2008,83,83,83,83,0
02/12/2008,83,83,83,83,0
03/12/2008,83,83,83,83,0
04/12/2008,83,83,83,83,0
05/12/2008,83,83,83,83,0
09/12/2008,83,83,83,83,0
10/12/2008,83,83,83,83,0
11/12/2008,83,83,83,83,0
12/12/2008,83,83,83,83,0
15/12/2008,83,83,83,83,0
16/12/2008,83,83,83,83,0
17/12/2008,83,83,83,83,0
18/12/2008,83,83,83,83,0
19/12/2008,83,83,83,83,0
22/12/2008,83,83,83,83,0
23/12/2008,83,83,83,83,0
24/12/2008,83,83,83,83,0
30/12/2008,83,83,83,83,0
05/01/2009,83,83,83,83,0
