Date,Open,High,Low,Close,Volume
06/09/2010,1600,1630,1550,1600,4125500
07/09/2010,1610,1640,1580,1610,2438000
15/09/2010,1610,1620,1530,1620,1786500
16/09/2010,1730,1730,1620,1730,3216000
17/09/2010,1710,1780,1700,1710,793000
20/09/2010,1690,1740,1660,1690,1928500
21/09/2010,1780,1820,1690,1780,5456500
22/09/2010,1760,1840,1740,1760,2297500
23/09/2010,1690,1770,1680,1690,969500
24/09/2010,1700,1710,1650,1700,1750000
27/09/2010,1710,1730,1650,1710,1827000
28/09/2010,1690,1730,1680,1690,1628500
29/09/2010,1660,1700,1660,1660,452000
30/09/2010,1680,1680,1580,1680,1418500
01/10/2010,1670,1680,1650,1670,234500
04/10/2010,1670,1680,1640,1670,522000
05/10/2010,1640,1650,1610,1640,648500
06/10/2010,1600,1660,1600,1600,602000
07/10/2010,1600,1620,1580,1600,441000
08/10/2010,1590,1600,1590,1590,242500
11/10/2010,1610,1620,1600,1610,202500
12/10/2010,1560,1630,1560,1560,902500
13/10/2010,1570,1590,1560,1570,1150000
14/10/2010,1580,1590,1560,1580,297500
15/10/2010,1720,1740,1590,1720,9401500
18/10/2010,1690,1770,1670,1690,4764500
19/10/2010,1740,1750,1680,1740,6894000
20/10/2010,1720,1720,1690,1720,1037500
21/10/2010,1710,1740,1700,1710,648500
22/10/2010,1790,1820,1680,1790,17784000
25/10/2010,1790,1830,1790,1790,3104500
26/10/2010,1770,1790,1750,1770,680000
27/10/2010,1740,1770,1710,1740,1958500
28/10/2010,1770,1780,1720,1770,679000
29/10/2010,1760,1770,1740,1760,462500
01/11/2010,1770,1790,1740,1770,923500
02/11/2010,1760,1780,1750,1760,199000
03/11/2010,1740,1770,1740,1740,839500
04/11/2010,1750,1760,1740,1750,808500
05/11/2010,1850,1900,1690,1850,15676500
08/11/2010,1850,1890,1830,1850,3582500
09/11/2010,1820,1860,1810,1820,713500
10/11/2010,1820,1830,1780,1820,912500
11/11/2010,1770,1810,1760,1770,1101000
12/11/2010,1740,1770,1720,1740,1322500
15/11/2010,1730,1740,1720,1730,208500
16/11/2010,1760,1790,1720,1760,1537000
18/11/2010,1730,1750,1720,1730,1057000
19/11/2010,1710,1750,1670,1710,2786500
22/11/2010,1700,1700,1680,1700,512000
23/11/2010,1670,1710,1650,1670,773000
24/11/2010,1650,1670,1630,1650,1186000
25/11/2010,1650,1690,1650,1650,1451500
26/11/2010,1630,1660,1620,1630,1072500
29/11/2010,1610,1620,1600,1610,216500
30/11/2010,1640,1680,1560,1640,2968000
01/12/2010,1660,1660,1620,1660,1457000
02/12/2010,1670,1680,1650,1670,557500
03/12/2010,1670,1700,1660,1670,812500
06/12/2010,1710,1740,1680,1710,1696500
08/12/2010,1670,1720,1670,1670,413500
09/12/2010,1710,1710,1670,1710,382500
10/12/2010,1680,1700,1660,1680,473000
13/12/2010,1650,1680,1650,1650,271500
14/12/2010,1640,1670,1620,1640,256500
15/12/2010,1610,1630,1590,1610,405500
16/12/2010,1590,1600,1520,1590,1980000
17/12/2010,1630,1630,1560,1630,2176500
20/12/2010,1640,1640,1580,1640,396000
21/12/2010,1650,1650,1630,1650,118500
