Date,Open,High,Low,Close,Volume
19/08/2010,18219.05078,18315.19531,18170.98047,18219.05078,2608620
20/08/2010,17978.69531,18170.98047,17882.55273,17978.69531,4817315
23/08/2010,18074.83789,18074.83789,17738.33789,18074.83789,5691016
24/08/2010,17978.69531,18267.12305,17690.26563,17978.69531,7196070
25/08/2010,18170.98047,18170.98047,17786.41016,18170.98047,5057063
26/08/2010,18074.83789,18267.12305,17930.62305,18074.83789,3290419
27/08/2010,17834.48047,18074.83789,17690.26563,17834.48047,4076230
30/08/2010,17834.48047,18122.9082,17786.41016,17834.48047,1820210
31/08/2010,17690.26563,17834.48047,17546.05273,17690.26563,2794282
01/09/2010,18267.12305,18267.12305,17690.26563,18267.12305,4547404
02/09/2010,18122.9082,18507.48047,17930.62305,18122.9082,3148443
03/09/2010,18219.05078,18363.26563,18122.9082,18219.05078,2976303
06/09/2010,18603.62305,18651.69336,18267.12305,18603.62305,4197404
07/09/2010,18843.98047,18892.05078,18651.69336,18843.98047,6502830
15/09/2010,18940.12305,20045.76367,18940.12305,20045.76367,13974012
16/09/2010,19324.69336,20045.76367,19276.62109,19324.69336,5128831
17/09/2010,19805.40625,20045.76367,19420.83594,19805.40625,3429795
20/09/2010,19084.33594,19805.40625,18988.19336,19084.33594,3897849
21/09/2010,18843.98047,19565.05078,18651.69336,18843.98047,7761895
22/09/2010,19036.26563,19276.62109,18795.9082,19036.26563,2878532
23/09/2010,19276.62109,19324.69336,18892.05078,19276.62109,4287894
24/09/2010,19420.83594,19516.97852,18940.12305,19420.83594,4195324
27/09/2010,19709.26367,19853.47852,19516.97852,19709.26367,3405352
28/09/2010,19709.26367,20045.76367,19468.9082,19709.26367,5296811
29/09/2010,19709.26367,19997.69336,19661.19336,19709.26367,3737671
30/09/2010,19661.19336,19901.55078,19372.76563,19661.19336,2708472
01/10/2010,19709.26367,19805.40625,19613.12109,19709.26367,2556094
04/10/2010,20382.26367,20382.26367,19805.40625,20382.26367,7526828
05/10/2010,19901.55078,20286.12109,19709.26367,19901.55078,2975263
06/10/2010,20141.90625,20478.40625,19901.55078,20141.90625,4511000
07/10/2010,20189.97852,20526.47852,19997.69336,20189.97852,3311742
08/10/2010,19709.26367,19997.69336,19613.12109,19709.26367,5183958
11/10/2010,19661.19336,19853.47852,19420.83594,19661.19336,4416869
12/10/2010,19709.26367,19901.55078,19565.05078,19709.26367,3955056
13/10/2010,19853.47852,20334.19141,19661.19336,19853.47852,3941534
14/10/2010,19853.47852,20238.04883,19757.33594,19853.47852,3359587
15/10/2010,19709.26367,19805.40625,19516.97852,19709.26367,4881283
18/10/2010,19613.12109,19709.26367,19468.9082,19613.12109,2900894
19/10/2010,19853.47852,19853.47852,19516.97852,19853.47852,1889898
20/10/2010,19661.19336,19709.26367,19516.97852,19661.19336,2843168
21/10/2010,19709.26367,19997.69336,19613.12109,19709.26367,2076599
22/10/2010,19997.69336,20093.83594,19709.26367,19997.69336,1505573
25/10/2010,20334.19141,20334.19141,19949.62109,20334.19141,2044355
26/10/2010,20286.12109,20478.40625,20045.76367,20286.12109,2625262
27/10/2010,20478.40625,20526.47852,20189.97852,20478.40625,2946139
28/10/2010,21055.26367,21343.69141,20478.40625,21055.26367,3785516
29/10/2010,21343.69141,21391.76172,20478.40625,21343.69141,2309066
01/11/2010,21199.47656,21632.11914,20911.04883,21199.47656,2156688
02/11/2010,20766.83398,21199.47656,20766.83398,20766.83398,1624667
03/11/2010,20959.11914,21391.76172,20766.83398,20959.11914,2140566
04/11/2010,21584.04883,21584.04883,21151.40625,21584.04883,1841012
05/11/2010,21776.33398,21920.54688,21728.26172,21776.33398,848737
08/11/2010,22641.61914,22881.97461,21632.11914,22641.61914,2868130
09/11/2010,24131.83008,24131.83008,22881.97461,24131.83008,2201934
10/11/2010,23218.47461,24227.97461,22833.9043,23218.47461,5615087
11/11/2010,22545.47461,23362.68945,22112.83398,22545.47461,3924372
12/11/2010,21728.26172,22785.83203,21535.97656,21728.26172,3851044
15/11/2010,21535.97656,21728.26172,21199.47656,21535.97656,3500003
16/11/2010,22353.18945,22353.18945,21535.97656,22353.18945,2103122
18/11/2010,22016.68945,22401.26172,21824.4043,22016.68945,2774520
19/11/2010,24660.61523,25093.25781,22160.9043,24660.61523,6627644
22/11/2010,24131.83008,24660.61523,23603.04492,24131.83008,5465310
23/11/2010,23458.83203,24131.83008,23362.68945,23458.83203,2905575
24/11/2010,23266.54688,23410.75977,22978.11719,23266.54688,2798442
25/11/2010,23314.61719,23554.97461,23074.25977,23314.61719,4750228
26/11/2010,23170.4043,23362.68945,23074.25977,23170.4043,2159289
29/11/2010,22593.54688,22689.68945,22016.68945,22593.54688,3400672
30/11/2010,22112.83398,22881.97461,22064.76172,22112.83398,5278609
01/12/2010,22833.9043,22833.9043,22112.83398,22833.9043,2215455
02/12/2010,23218.47461,23699.18945,23074.25977,23218.47461,3930613
03/12/2010,23170.4043,23651.11719,23074.25977,23170.4043,3557730
06/12/2010,23074.25977,23458.83203,22930.04688,23074.25977,1458768
08/12/2010,23074.25977,23458.83203,22978.11719,23074.25977,2469244
09/12/2010,22978.11719,23458.83203,22978.11719,22978.11719,2391235
10/12/2010,22833.9043,23074.25977,22737.76172,22833.9043,1263745
13/12/2010,22785.83203,23074.25977,22737.76172,22785.83203,1675633
14/12/2010,23074.25977,23074.25977,22689.68945,23074.25977,1637668
15/12/2010,23026.18945,23074.25977,22689.68945,23026.18945,2073999
16/12/2010,22208.97656,23026.18945,22112.83398,22208.97656,4103273
17/12/2010,22112.83398,22208.97656,21343.69141,22112.83398,5017538
20/12/2010,22016.68945,22112.83398,21872.47656,22016.68945,4400227
21/12/2010,22353.18945,22545.47461,21776.33398,22353.18945,3408473
22/12/2010,22545.47461,22785.83203,21920.54688,22545.47461,2135366
23/12/2010,22208.97656,22593.54688,22016.68945,22208.97656,1388040
27/12/2010,22160.9043,22401.26172,22016.68945,22160.9043,779569
28/12/2010,22545.47461,23170.4043,22160.9043,22545.47461,1865975
29/12/2010,22689.68945,22881.97461,22401.26172,22689.68945,2116644
30/12/2010,22881.97461,23074.25977,22545.47461,22881.97461,3367388
03/01/2011,23362.68945,23410.75977,23026.18945,23362.68945,3913451
04/01/2011,24276.04492,24420.25977,23362.68945,24276.04492,4963452
05/01/2011,24420.25977,24468.33008,23651.11719,24420.25977,3194208
06/01/2011,24900.97266,25573.97266,24468.33008,24900.97266,5751863
07/01/2011,23651.11719,24804.83008,23074.25977,23651.11719,5442947
10/01/2011,21872.47656,23458.83203,21824.4043,21872.47656,6294806
11/01/2011,21055.26367,22257.04688,20189.97852,21055.26367,15135826
12/01/2011,21535.97656,21632.11914,21055.26367,21535.97656,22286651
13/01/2011,21584.04883,22016.68945,21391.76172,21584.04883,15250239
14/01/2011,21295.61914,21584.04883,21199.47656,21295.61914,8822817
17/01/2011,21343.69141,21487.9043,21151.40625,21343.69141,4820436
18/01/2011,21535.97656,21728.26172,21247.54883,21535.97656,2740716
19/01/2011,21487.9043,21535.97656,21103.33398,21487.9043,12116357
20/01/2011,20670.69141,21439.83398,20526.47852,20670.69141,8831658
21/01/2011,19661.19336,20189.97852,19036.26563,19661.19336,14865915
24/01/2011,19420.83594,19661.19336,19036.26563,19420.83594,7431657
25/01/2011,20814.90625,21199.47656,19613.12109,20814.90625,8028166
26/01/2011,21584.04883,21584.04883,20718.76367,21584.04883,7347407
27/01/2011,21439.83398,21920.54688,21295.61914,21439.83398,7916873
28/01/2011,21103.33398,21487.9043,20862.97656,21103.33398,4061668
31/01/2011,20526.47852,20911.04883,20093.83594,20526.47852,6158550
01/02/2011,20718.76367,20911.04883,20478.40625,20718.76367,4617092
02/02/2011,21632.11914,21632.11914,20622.62109,21632.11914,7241315
04/02/2011,21824.4043,21824.4043,21487.9043,21824.4043,2575857
07/02/2011,22160.9043,22257.04688,21968.61914,22160.9043,5710258
08/02/2011,21968.61914,22545.47461,21584.04883,21968.61914,4434031
09/02/2011,21535.97656,21824.4043,21247.54883,21535.97656,3572292
10/02/2011,21295.61914,21343.69141,20478.40625,21295.61914,6739977
11/02/2011,21680.19141,21728.26172,20766.83398,21680.19141,4686780
14/02/2011,22305.11914,22305.11914,21728.26172,22305.11914,3586333
16/02/2011,22112.83398,22257.04688,21728.26172,22112.83398,2604460
17/02/2011,22016.68945,22497.4043,21872.47656,22016.68945,2622142
18/02/2011,22208.97656,22689.68945,22016.68945,22208.97656,7158105
21/02/2011,22545.47461,22641.61914,21920.54688,22545.47461,2410478
22/02/2011,22257.04688,22641.61914,21968.61914,22257.04688,4683140
23/02/2011,22016.68945,22401.26172,21920.54688,22016.68945,5429426
24/02/2011,22016.68945,22112.83398,21728.26172,22016.68945,2763078
25/02/2011,22160.9043,22257.04688,21968.61914,22160.9043,3242574
28/02/2011,22305.11914,22305.11914,21872.47656,22305.11914,2924297
01/03/2011,22112.83398,22497.4043,22112.83398,22112.83398,2000150
02/03/2011,22064.76172,22208.97656,22016.68945,22064.76172,3423554
03/03/2011,22305.11914,22449.33203,22064.76172,22305.11914,2847328
04/03/2011,22545.47461,22689.68945,22353.18945,22545.47461,4023184
07/03/2011,22785.83203,22881.97461,22593.54688,22785.83203,4092352
08/03/2011,23122.33203,23122.33203,22689.68945,23122.33203,5231803
09/03/2011,23410.75977,23603.04492,23026.18945,23410.75977,3472960
10/03/2011,23170.4043,23218.47461,22930.04688,23170.4043,1559659
11/03/2011,22497.4043,23074.25977,22112.83398,22497.4043,2505129
14/03/2011,21535.97656,22112.83398,21343.69141,21535.97656,9581065
15/03/2011,21247.54883,21824.4043,20574.54883,21247.54883,10703874
16/03/2011,21295.61914,21584.04883,20959.11914,21295.61914,4932769
17/03/2011,21055.26367,21199.47656,20718.76367,21055.26367,4558845
18/03/2011,21055.26367,21487.9043,20959.11914,21055.26367,6053498
21/03/2011,21247.54883,21343.69141,21007.19141,21247.54883,4931208
22/03/2011,21391.76172,21439.83398,21151.40625,21391.76172,2170730
23/03/2011,21391.76172,21391.76172,21391.76172,21391.76172,0
24/03/2011,22112.83398,22449.33203,21968.61914,22112.83398,6886634
25/03/2011,21680.19141,22449.33203,21584.04883,21680.19141,6258922
28/03/2011,21343.69141,21680.19141,21247.54883,21343.69141,4084031
29/03/2011,20814.90625,21247.54883,20766.83398,20814.90625,8927870
30/03/2011,20911.04883,21055.26367,20670.69141,20911.04883,9688197
31/03/2011,20862.97656,20862.97656,19132.4082,20862.97656,34275594
01/04/2011,20622.62109,20862.97656,20478.40625,20622.62109,10770442
04/04/2011,21199.47656,21391.76172,20718.76367,21199.47656,9882180
05/04/2011,21535.97656,21632.11914,21007.19141,21535.97656,5723260
06/04/2011,21584.04883,21632.11914,21247.54883,21584.04883,4677419
07/04/2011,21343.69141,21632.11914,21199.47656,21343.69141,4511000
08/04/2011,21295.61914,21632.11914,21151.40625,21295.61914,6666129
11/04/2011,21632.11914,21680.19141,21199.47656,21632.11914,5646291
12/04/2011,21439.83398,21728.26172,21295.61914,21439.83398,6136187
13/04/2011,21728.26172,21728.26172,21199.47656,21728.26172,2902454
14/04/2011,21487.9043,21824.4043,21343.69141,21487.9043,3559810
15/04/2011,21343.69141,21535.97656,21247.54883,21343.69141,2046956
18/04/2011,21439.83398,21487.9043,21199.47656,21439.83398,1914340
19/04/2011,21535.97656,21535.97656,21151.40625,21535.97656,2292424
20/04/2011,22064.76172,22160.9043,21487.9043,22064.76172,7199190
21/04/2011,22208.97656,22449.33203,21872.47656,22208.97656,3542128
25/04/2011,22257.04688,22353.18945,22160.9043,22257.04688,1011516
26/04/2011,22064.76172,22257.04688,21872.47656,22064.76172,1682914
27/04/2011,22353.18945,22353.18945,22112.83398,22353.18945,4040866
28/04/2011,22449.33203,22593.54688,22208.97656,22449.33203,3117239
29/04/2011,22353.18945,22497.4043,22257.04688,22353.18945,1825410
02/05/2011,22449.33203,22449.33203,22305.11914,22449.33203,1055201
03/05/2011,22545.47461,22689.68945,22353.18945,22545.47461,2807283
04/05/2011,23362.68945,23362.68945,22449.33203,23362.68945,4512040
05/05/2011,23410.75977,23603.04492,23266.54688,23410.75977,5935964
06/05/2011,22785.83203,23170.4043,22689.68945,22785.83203,7477942
09/05/2011,22497.4043,23074.25977,22401.26172,22497.4043,4571327
10/05/2011,22450,22950,22200,22450,3923500
11/05/2011,22900,23050,22450,22900,2879000
12/05/2011,22550,22950,22500,22550,2742500
13/05/2011,22450,22700,22300,22450,2852000
16/05/2011,21800,22100,21550,21800,7761000
18/05/2011,22500,22500,21700,22500,5647000
19/05/2011,22200,22700,21850,22200,9135500
20/05/2011,22250,22400,22000,22250,6960000
23/05/2011,22000,22250,21900,22000,5695000
24/05/2011,22150,22150,21850,22150,4005000
25/05/2011,22000,22200,21900,22000,2295500
26/05/2011,22250,22300,22000,22250,3594500
27/05/2011,22550,22550,22150,22550,3198500
30/05/2011,22900,23000,22500,22900,4760500
31/05/2011,23000,23050,22700,23000,5087500
01/06/2011,22950,22950,22750,22950,3993500
03/06/2011,23000,23000,22500,23000,5159000
06/06/2011,22750,23000,22650,22750,1444000
07/06/2011,23150,23200,22750,23150,8415500
08/06/2011,23150,23150,22950,23150,3534500
09/06/2011,23000,23250,22950,23000,3877000
10/06/2011,22850,23200,22550,22850,1473500
13/06/2011,22700,22750,22500,22700,2934500
14/06/2011,22850,22900,22700,22850,3652000
15/06/2011,22900,23100,22850,22900,4752500
16/06/2011,22650,22700,22500,22650,4203000
17/06/2011,22900,22900,22550,22900,3781500
20/06/2011,22950,23100,22750,22950,2983500
21/06/2011,23250,23250,22950,23250,5349500
22/06/2011,23500,23550,23350,23500,5878500
23/06/2011,23550,23600,23350,23550,4565000
24/06/2011,23500,23900,23500,23500,4289500
27/06/2011,23700,23700,23400,23700,6559000
28/06/2011,23650,23900,23650,23650,2910000
30/06/2011,24900,25000,23900,24900,11219500
01/07/2011,24500,25400,24450,24500,5033000
04/07/2011,24500,24500,24500,24500,0
05/07/2011,24950,25250,24650,24950,3706000
06/07/2011,24650,25100,24600,24650,2345500
07/07/2011,25050,25600,24900,25050,5791500
08/07/2011,25500,25650,25150,25500,4052000
11/07/2011,25400,25400,24950,25400,3975000
12/07/2011,24600,25000,24350,24600,5176000
13/07/2011,24750,24900,24500,24750,3764000
14/07/2011,24750,24750,24600,24750,2507000
15/07/2011,24800,24850,24600,24800,2478000
18/07/2011,25000,25100,24750,25000,5521000
19/07/2011,24900,25050,24750,24900,1189500
20/07/2011,25050,25150,24800,25050,1720000
21/07/2011,25500,25750,25150,25500,4716000
22/07/2011,25700,25800,25550,25700,1943500
25/07/2011,25250,25650,25200,25250,3913000
26/07/2011,25750,25900,25250,25750,5863500
27/07/2011,27700,27750,25750,27700,7633500
28/07/2011,27150,27700,26900,27150,3841500
29/07/2011,27300,27600,26700,27300,2863500
01/08/2011,27550,27650,27350,27550,3070500
02/08/2011,26500,27550,26150,26500,4894000
03/08/2011,26100,26350,25850,26100,3361500
