Date,Open,High,Low,Close,Volume
03/09/2003,615,675,605,675,431625
04/09/2003,690,750,675,685,828500
05/09/2003,685,700,680,690,240550
08/09/2003,690,690,665,680,180075
09/09/2003,680,680,660,665,140750
10/09/2003,660,660,640,640,141900
11/09/2003,640,645,640,640,70875
12/09/2003,645,670,645,660,153925
15/09/2003,660,665,645,650,91375
16/09/2003,655,665,655,665,87050
17/09/2003,670,670,660,665,88900
18/09/2003,660,660,655,660,50750
19/09/2003,660,660,660,660,17875
23/09/2003,660,665,655,660,72425
24/09/2003,665,665,665,665,51000
25/09/2003,665,680,665,670,135525
26/09/2003,670,670,660,665,91025
29/09/2003,665,665,655,660,22125
30/09/2003,665,675,665,670,141975
01/10/2003,670,675,665,665,23400
02/10/2003,670,670,665,670,164425
03/10/2003,670,670,665,665,121625
06/10/2003,665,665,660,660,131350
07/10/2003,665,665,660,665,73350
08/10/2003,665,665,660,660,151700
09/10/2003,660,660,660,660,178575
10/10/2003,665,665,655,655,60775
13/10/2003,660,660,655,660,11450
14/10/2003,660,665,660,660,97250
15/10/2003,660,660,650,650,127500
16/10/2003,655,655,650,650,73625
17/10/2003,655,655,650,655,112075
20/10/2003,655,655,650,650,81950
21/10/2003,650,650,650,650,70775
22/10/2003,650,650,640,640,83325
23/10/2003,640,640,620,620,185225
24/10/2003,630,650,630,645,46725
27/10/2003,645,650,640,645,68550
28/10/2003,650,655,640,645,118300
29/10/2003,640,640,630,635,72250
30/10/2003,635,635,620,625,66000
31/10/2003,625,645,625,645,217200
03/11/2003,640,640,635,640,43075
04/11/2003,640,655,640,650,142000
05/11/2003,650,650,640,640,62825
06/11/2003,640,645,640,645,42600
07/11/2003,645,650,645,650,109400
10/11/2003,645,660,645,660,88950
11/11/2003,655,660,650,660,135950
12/11/2003,660,665,655,655,124850
13/11/2003,645,645,640,645,90125
14/11/2003,640,645,640,640,21025
17/11/2003,640,640,635,635,45225
18/11/2003,630,635,630,635,33375
19/11/2003,630,630,625,630,68650
20/11/2003,625,630,625,630,58925
21/11/2003,635,635,635,635,48900
01/12/2003,640,685,640,685,566025
02/12/2003,690,695,665,670,383650
03/12/2003,670,675,670,670,111400
04/12/2003,670,670,660,665,26825
05/12/2003,665,665,655,655,56525
08/12/2003,655,660,655,655,69125
09/12/2003,660,665,650,650,148475
10/12/2003,655,655,650,650,67525
11/12/2003,655,655,650,655,48125
12/12/2003,655,655,650,650,15800
15/12/2003,650,650,650,650,96325
16/12/2003,650,665,650,660,284750
17/12/2003,660,660,655,655,86350
18/12/2003,660,680,660,670,341200
19/12/2003,680,690,680,685,319525
22/12/2003,685,690,680,690,79575
23/12/2003,690,690,685,685,32050
29/12/2003,690,735,690,735,522750
30/12/2003,740,755,725,725,412475
02/01/2004,700,720,700,715,61700
05/01/2004,725,725,715,715,41750
06/01/2004,720,725,715,720,42900
07/01/2004,715,715,705,705,93150
08/01/2004,710,730,710,715,133200
09/01/2004,725,750,720,735,236900
12/01/2004,730,730,725,725,15550
13/01/2004,720,725,715,715,33900
14/01/2004,720,730,720,730,44200
15/01/2004,740,755,740,750,229425
16/01/2004,750,775,750,775,201050
19/01/2004,775,790,765,765,42525
20/01/2004,765,765,760,765,21800
21/01/2004,760,765,750,750,32425
23/01/2004,755,770,755,770,50075
26/01/2004,770,795,770,780,184700
27/01/2004,780,785,760,760,94300
28/01/2004,760,770,745,750,105575
29/01/2004,750,760,750,755,46300
30/01/2004,755,765,755,765,46900
03/02/2004,765,765,745,745,59250
04/02/2004,740,745,740,740,99975
05/02/2004,745,770,745,760,82450
06/02/2004,770,770,765,770,36400
09/02/2004,770,770,760,765,68125
10/02/2004,770,770,765,765,15625
11/02/2004,770,775,765,770,17825
12/02/2004,770,775,765,770,138175
13/02/2004,770,775,765,770,97750
16/02/2004,765,765,750,755,140025
17/02/2004,755,760,740,745,147450
18/02/2004,745,745,720,720,235600
19/02/2004,730,730,715,715,327025
20/02/2004,720,730,715,715,146750
24/02/2004,715,725,715,725,130150
25/02/2004,725,725,720,720,60075
26/02/2004,715,715,710,710,149750
27/02/2004,705,705,670,680,832850
01/03/2004,680,680,670,675,227150
02/03/2004,685,735,685,735,818250
03/03/2004,725,725,715,715,74150
04/03/2004,715,715,705,710,65225
05/03/2004,710,720,710,715,89175
08/03/2004,710,710,705,705,44500
09/03/2004,710,720,710,710,29000
10/03/2004,710,710,700,710,203750
11/03/2004,700,705,690,690,85050
12/03/2004,680,695,680,685,49500
15/03/2004,690,695,675,680,70525
16/03/2004,680,690,665,690,164850
17/03/2004,690,695,690,690,101000
18/03/2004,700,715,700,705,127875
19/03/2004,710,710,705,710,14000
23/03/2004,700,710,700,710,22150
24/03/2004,710,710,705,710,29150
25/03/2004,695,695,690,690,23950
26/03/2004,700,705,680,695,167975
29/03/2004,695,710,695,710,145625
30/03/2004,710,715,705,705,100250
31/03/2004,705,710,695,710,124275
01/04/2004,710,710,695,710,63025
02/04/2004,710,715,705,710,142275
06/04/2004,715,725,710,725,181650
07/04/2004,725,725,715,720,109975
08/04/2004,720,750,720,735,649675
12/04/2004,730,730,710,720,29275
13/04/2004,725,730,720,720,34400
14/04/2004,720,735,720,735,48250
15/04/2004,730,740,725,730,30925
16/04/2004,730,730,730,730,1150
19/04/2004,730,740,725,735,16525
20/04/2004,735,755,735,750,254375
