Date,Adj Close_ACES.JK,Close_ACES.JK,High_ACES.JK,Low_ACES.JK,Open_ACES.JK,Volume_ACES.JK
2007-11-06,67.67601776123047,98.0,102.0,89.0,98.0,1274430000
2007-11-07,69.74772644042969,101.0,103.0,97.0,98.0,349330000
2007-11-08,68.3666000366211,99.0,100.0,96.0,99.0,66270000
2007-11-09,65.60430908203125,95.0,97.0,95.0,95.0,40075000
2007-11-12,62.15144348144531,90.0,95.0,89.0,90.0,113285000
2007-11-13,59.389156341552734,86.0,90.0,86.0,86.0,26735000
2007-11-14,58.69858169555664,85.0,88.0,84.0,85.0,39535000
2007-11-15,60.079734802246094,87.0,87.0,83.0,87.0,98030000
2007-11-16,58.69858169555664,85.0,85.0,84.0,85.0,15405000
2007-11-19,58.00801086425781,84.0,85.0,84.0,85.0,33740000
2007-11-20,60.079734802246094,87.0,87.0,82.0,84.0,58235000
2007-11-21,58.69858169555664,85.0,85.0,83.0,84.0,19880000
2007-11-22,58.69858169555664,85.0,85.0,84.0,85.0,15240000
2007-11-23,59.389156341552734,86.0,86.0,85.0,86.0,20905000
2007-11-26,58.69858169555664,85.0,86.0,85.0,86.0,50720000
2007-11-27,58.69858169555664,85.0,85.0,83.0,85.0,30050000
2007-11-28,58.69858169555664,85.0,87.0,85.0,85.0,36685000
2007-11-29,58.69858169555664,85.0,87.0,85.0,85.0,29600000
2007-11-30,58.69858169555664,85.0,85.0,85.0,85.0,52910000
2007-12-03,58.69858169555664,85.0,85.0,85.0,85.0,120385000
2007-12-04,58.69858169555664,85.0,85.0,84.0,85.0,13835000
2007-12-05,59.389156341552734,86.0,87.0,86.0,86.0,33230000
2007-12-06,59.389156341552734,86.0,86.0,85.0,86.0,27300000
2007-12-07,58.69858169555664,85.0,86.0,85.0,85.0,40775000
2007-12-10,58.69858169555664,85.0,85.0,83.0,85.0,11670000
2007-12-11,58.00801086425781,84.0,84.0,84.0,84.0,835000
2007-12-12,58.00801086425781,84.0,85.0,82.0,84.0,25870000
2007-12-13,58.00801086425781,84.0,85.0,84.0,84.0,26410000
2007-12-14,58.69858169555664,85.0,85.0,84.0,84.0,10850000
2007-12-17,57.31743621826172,83.0,84.0,82.0,83.0,35125000
2007-12-18,56.62687301635742,82.0,82.0,81.0,82.0,14550000
2007-12-19,56.62687301635742,82.0,82.0,81.0,82.0,8235000
2007-12-26,56.62687301635742,82.0,83.0,81.0,82.0,18010000
2007-12-27,56.62687301635742,82.0,84.0,82.0,82.0,31540000
2007-12-28,60.079734802246094,87.0,87.0,83.0,82.0,50870000
2007-12-31,60.079734802246094,87.0,87.0,87.0,87.0,0
2008-01-02,58.00801086425781,84.0,87.0,83.0,84.0,28925000
2008-01-03,58.00801086425781,84.0,84.0,83.0,84.0,27500000
2008-01-04,58.00801086425781,84.0,84.0,83.0,84.0,3515000
2008-01-07,58.00801086425781,84.0,84.0,83.0,84.0,6735000
