Date,Adj Close_ADRO.JK,Close_ADRO.JK,High_ADRO.JK,Low_ADRO.JK,Open_ADRO.JK,Volume_ADRO.JK
2025-10-13,1725.0,1725.0,1775.0,1690.0,1725.0,115736300
2025-10-14,1705.0,1705.0,1770.0,1685.0,1730.0,142590700
2025-10-15,1680.0,1680.0,1715.0,1655.0,1705.0,84255400
2025-10-16,1675.0,1675.0,1695.0,1670.0,1690.0,43126000
2025-10-17,1650.0,1650.0,1690.0,1650.0,1675.0,79119300
2025-10-20,1695.0,1695.0,1705.0,1650.0,1650.0,71982100
2025-10-21,1805.0,1805.0,1835.0,1695.0,1695.0,283345400
2025-10-22,1775.0,1775.0,1820.0,1755.0,1810.0,120500800
2025-10-23,1790.0,1790.0,1800.0,1755.0,1780.0,61586100
2025-10-24,1760.0,1760.0,1810.0,1755.0,1790.0,71132100
2025-10-27,1785.0,1785.0,1815.0,1735.0,1760.0,126426000
2025-10-28,1785.0,1785.0,1805.0,1775.0,1795.0,74745100
2025-10-29,1935.0,1935.0,1945.0,1775.0,1785.0,465423400
2025-10-30,1980.0,1980.0,2010.0,1915.0,1955.0,365299800
2025-10-31,1885.0,1885.0,1985.0,1865.0,1980.0,278129200
2025-11-03,1940.0,1940.0,1985.0,1895.0,1895.0,167263300
2025-11-04,1905.0,1905.0,1955.0,1885.0,1940.0,97432000
2025-11-05,1890.0,1890.0,1900.0,1850.0,1880.0,109993300
2025-11-06,1920.0,1920.0,1950.0,1890.0,1890.0,140062300
2025-11-07,1945.0,1945.0,1960.0,1905.0,1925.0,104734700
2025-11-10,1960.0,1960.0,1980.0,1935.0,1965.0,118023700
2025-11-11,1950.0,1950.0,1975.0,1925.0,1960.0,130750300
2025-11-12,1965.0,1965.0,1980.0,1930.0,1950.0,96844300
2025-11-13,1930.0,1930.0,1970.0,1930.0,1965.0,89248300
2025-11-14,1880.0,1880.0,1925.0,1880.0,1920.0,110646200
2025-11-17,1910.0,1910.0,1910.0,1860.0,1880.0,104434200
2025-11-18,1880.0,1880.0,1920.0,1850.0,1910.0,98428200
2025-11-19,1920.0,1920.0,1930.0,1880.0,1890.0,74350800
2025-11-20,1905.0,1905.0,1940.0,1900.0,1930.0,52140900
2025-11-21,1870.0,1870.0,1900.0,1865.0,1900.0,60223900
2025-11-24,1875.0,1875.0,1885.0,1850.0,1885.0,88910200
2025-11-25,1855.0,1855.0,1880.0,1850.0,1880.0,53971700
2025-11-26,1845.0,1845.0,1875.0,1825.0,1875.0,64919800
2025-11-27,1810.0,1810.0,1850.0,1810.0,1850.0,70755600
2025-11-28,1810.0,1810.0,1820.0,1800.0,1810.0,48940700
2025-12-01,1820.0,1820.0,1835.0,1815.0,1815.0,44059900
2025-12-02,1840.0,1840.0,1860.0,1825.0,1825.0,52388300
2025-12-03,1850.0,1850.0,1855.0,1835.0,1840.0,24998900
2025-12-04,1810.0,1810.0,1855.0,1805.0,1850.0,46528500
2025-12-05,1815.0,1815.0,1815.0,1800.0,1810.0,42791600
2025-12-08,1900.0,1900.0,1905.0,1835.0,1840.0,173167600
2025-12-09,1835.0,1835.0,1905.0,1830.0,1905.0,104418300
2025-12-10,1830.0,1830.0,1865.0,1830.0,1840.0,51947100
2025-12-11,1780.0,1780.0,1865.0,1765.0,1840.0,115890200
2025-12-12,1780.0,1780.0,1800.0,1765.0,1780.0,56176000
2025-12-15,1825.0,1825.0,1845.0,1775.0,1785.0,77447900
2025-12-16,1805.0,1805.0,1830.0,1800.0,1825.0,45008700
2025-12-17,1815.0,1815.0,1845.0,1805.0,1820.0,55292900
2025-12-18,1900.0,1900.0,1935.0,1880.0,1900.0,264349900
2025-12-19,1900.0,1900.0,1920.0,1900.0,1900.0,130050500
2025-12-22,1895.0,1895.0,1915.0,1885.0,1910.0,102188900
2025-12-23,1905.0,1905.0,1910.0,1885.0,1895.0,58690600
2025-12-24,1890.0,1890.0,1910.0,1890.0,1905.0,83361000
