Date,Adj Close_AKRA.JK,Close_AKRA.JK,High_AKRA.JK,Low_AKRA.JK,Open_AKRA.JK,Volume_AKRA.JK
2025-10-13,1090.0,1090.0,1110.0,1085.0,1100.0,23584400
2025-10-14,1075.0,1075.0,1105.0,1065.0,1090.0,31616400
2025-10-15,1065.0,1065.0,1100.0,1065.0,1090.0,101285100
2025-10-16,1085.0,1085.0,1110.0,1070.0,1100.0,30891200
2025-10-17,1070.0,1070.0,1090.0,1065.0,1085.0,10922600
2025-10-20,1090.0,1090.0,1100.0,1075.0,1075.0,8629500
2025-10-21,1130.0,1130.0,1140.0,1090.0,1090.0,35361500
2025-10-22,1095.0,1095.0,1145.0,1095.0,1135.0,21046600
2025-10-23,1115.0,1115.0,1130.0,1095.0,1105.0,23455400
2025-10-24,1210.0,1210.0,1235.0,1150.0,1150.0,124769100
2025-10-27,1215.0,1215.0,1260.0,1210.0,1230.0,70441000
2025-10-28,1210.0,1210.0,1230.0,1190.0,1230.0,27306900
2025-10-29,1220.0,1220.0,1240.0,1200.0,1200.0,41887600
2025-10-30,1205.0,1205.0,1250.0,1200.0,1220.0,49401600
2025-10-31,1220.0,1220.0,1235.0,1200.0,1205.0,44720900
2025-11-03,1250.0,1250.0,1270.0,1215.0,1220.0,50402400
2025-11-04,1270.0,1270.0,1270.0,1240.0,1255.0,30699300
2025-11-05,1235.0,1235.0,1270.0,1220.0,1270.0,36271600
2025-11-06,1245.0,1245.0,1260.0,1230.0,1235.0,16070600
2025-11-07,1250.0,1250.0,1255.0,1235.0,1250.0,9832800
2025-11-10,1210.0,1210.0,1250.0,1210.0,1250.0,19988600
2025-11-11,1225.0,1225.0,1240.0,1210.0,1220.0,13260000
2025-11-12,1255.0,1255.0,1260.0,1225.0,1225.0,16520200
2025-11-13,1240.0,1240.0,1255.0,1235.0,1255.0,6951900
2025-11-14,1230.0,1230.0,1250.0,1220.0,1245.0,9916900
2025-11-17,1275.0,1275.0,1430.0,1220.0,1230.0,32981600
2025-11-18,1345.0,1345.0,1360.0,1260.0,1275.0,82461500
2025-11-19,1340.0,1340.0,1355.0,1305.0,1345.0,35019100
2025-11-20,1275.0,1275.0,1355.0,1265.0,1345.0,38891400
2025-11-21,1290.0,1290.0,1300.0,1275.0,1280.0,10733100
2025-11-24,1260.0,1260.0,1325.0,1260.0,1325.0,21042500
2025-11-25,1260.0,1260.0,1270.0,1230.0,1260.0,9304000
2025-11-26,1270.0,1270.0,1275.0,1245.0,1275.0,6796200
2025-11-27,1240.0,1240.0,1275.0,1225.0,1275.0,18917600
2025-11-28,1240.0,1240.0,1260.0,1230.0,1245.0,7621300
2025-12-01,1220.0,1220.0,1250.0,1220.0,1250.0,12547300
2025-12-02,1240.0,1240.0,1255.0,1225.0,1230.0,13000100
2025-12-03,1235.0,1235.0,1245.0,1225.0,1240.0,9012400
2025-12-04,1315.0,1315.0,1320.0,1225.0,1230.0,35528300
2025-12-05,1280.0,1280.0,1310.0,1270.0,1305.0,24373700
2025-12-08,1285.0,1285.0,1300.0,1260.0,1300.0,18256900
2025-12-09,1235.0,1235.0,1285.0,1230.0,1285.0,14379600
2025-12-10,1270.0,1270.0,1275.0,1240.0,1250.0,16992600
2025-12-11,1235.0,1235.0,1280.0,1225.0,1275.0,9875600
2025-12-12,1235.0,1235.0,1260.0,1230.0,1240.0,7208300
2025-12-15,1235.0,1235.0,1260.0,1225.0,1250.0,10227300
2025-12-16,1235.0,1235.0,1245.0,1225.0,1235.0,5710500
2025-12-17,1245.0,1245.0,1260.0,1235.0,1235.0,7818800
2025-12-18,1235.0,1235.0,1270.0,1235.0,1255.0,10384500
2025-12-19,1230.0,1230.0,1250.0,1230.0,1235.0,5983900
2025-12-22,1240.0,1240.0,1245.0,1225.0,1235.0,12689000
2025-12-23,1250.0,1250.0,1255.0,1240.0,1240.0,6134700
2025-12-24,1250.0,1250.0,1265.0,1235.0,1255.0,12171000
