Date,Adj Close_AMMN.JK,Close_AMMN.JK,High_AMMN.JK,Low_AMMN.JK,Open_AMMN.JK,Volume_AMMN.JK
2025-10-13,7450.0,7450.0,8000.0,7200.0,7250.0,68496300
2025-10-14,7350.0,7350.0,7750.0,7075.0,7675.0,36120700
2025-10-15,7250.0,7250.0,7550.0,7100.0,7475.0,23203700
2025-10-16,7925.0,7925.0,7925.0,7300.0,7375.0,38683300
2025-10-17,8000.0,8000.0,8500.0,7800.0,8100.0,53903700
2025-10-20,7650.0,7650.0,8050.0,7600.0,8025.0,31978300
2025-10-21,7675.0,7675.0,7825.0,7500.0,7750.0,22171400
2025-10-22,7400.0,7400.0,7575.0,7250.0,7375.0,22906500
2025-10-23,7800.0,7800.0,7800.0,7375.0,7425.0,27288100
2025-10-24,7675.0,7675.0,7775.0,7425.0,7750.0,23592900
2025-10-27,7200.0,7200.0,7700.0,7125.0,7700.0,34505100
2025-10-28,6875.0,6875.0,7225.0,6850.0,7200.0,29932400
2025-10-29,7025.0,7025.0,7125.0,6875.0,6900.0,22636000
2025-10-30,6950.0,6950.0,7100.0,6925.0,7050.0,20219900
2025-10-31,7100.0,7100.0,7125.0,6925.0,6925.0,28645400
2025-11-03,7025.0,7025.0,7225.0,7025.0,7200.0,17197800
2025-11-04,6950.0,6950.0,7100.0,6925.0,7025.0,20620100
2025-11-05,7150.0,7150.0,7150.0,6800.0,6900.0,19133100
2025-11-06,7025.0,7025.0,7175.0,7000.0,7150.0,25472200
2025-11-07,7025.0,7025.0,7100.0,6900.0,7000.0,20791400
2025-11-10,7075.0,7075.0,7125.0,7000.0,7075.0,18528700
2025-11-11,7025.0,7025.0,7125.0,6975.0,7125.0,16325400
2025-11-12,6825.0,6825.0,7050.0,6825.0,7025.0,31994600
2025-11-13,6850.0,6850.0,6975.0,6825.0,6850.0,24736000
2025-11-14,6600.0,6600.0,6875.0,6525.0,6875.0,34646500
2025-11-17,6300.0,6300.0,6700.0,6300.0,6700.0,33497500
2025-11-18,6300.0,6300.0,6500.0,6175.0,6300.0,29167300
2025-11-19,6475.0,6475.0,6475.0,6300.0,6325.0,21405800
2025-11-20,6475.0,6475.0,6650.0,6475.0,6475.0,20985900
2025-11-21,6475.0,6475.0,6525.0,6425.0,6450.0,20979800
2025-11-24,7100.0,7100.0,7100.0,6500.0,6500.0,103840900
2025-11-25,6800.0,6800.0,7025.0,6800.0,7025.0,28352700
2025-11-26,6950.0,6950.0,6975.0,6800.0,6800.0,18357800
2025-11-27,6950.0,6950.0,7000.0,6850.0,6950.0,13818800
2025-11-28,6600.0,6600.0,6825.0,6500.0,6550.0,30197000
2025-12-01,6450.0,6450.0,6600.0,6350.0,6550.0,23429700
2025-12-02,6675.0,6675.0,6700.0,6450.0,6450.0,28524700
2025-12-03,6525.0,6525.0,6700.0,6500.0,6675.0,18737900
2025-12-04,6400.0,6400.0,6550.0,6350.0,6525.0,20347400
2025-12-05,6475.0,6475.0,6475.0,6350.0,6425.0,13262400
2025-12-08,6300.0,6300.0,6500.0,6275.0,6475.0,33725400
2025-12-09,6200.0,6200.0,6450.0,6150.0,6400.0,30535800
2025-12-10,6300.0,6300.0,6350.0,6125.0,6225.0,28581900
2025-12-11,6350.0,6350.0,6375.0,6075.0,6300.0,25535500
2025-12-12,6725.0,6725.0,6950.0,6250.0,6350.0,59828400
2025-12-15,6500.0,6500.0,6900.0,6500.0,6825.0,32022600
2025-12-16,6650.0,6650.0,6725.0,6500.0,6550.0,43642900
2025-12-17,6550.0,6550.0,6825.0,6550.0,6700.0,25012600
2025-12-18,6150.0,6150.0,6625.0,6150.0,6625.0,48343900
2025-12-19,6325.0,6325.0,6475.0,6175.0,6175.0,114313300
2025-12-22,6500.0,6500.0,6500.0,6250.0,6400.0,22451100
2025-12-23,6350.0,6350.0,6550.0,6300.0,6525.0,19272600
2025-12-24,6200.0,6200.0,6450.0,6200.0,6400.0,17252800
