Date,Adj Close_ANTM.JK,Close_ANTM.JK,High_ANTM.JK,Low_ANTM.JK,Open_ANTM.JK,Volume_ANTM.JK
2025-10-13,3370.0,3370.0,3430.0,3290.0,3310.0,199311000
2025-10-14,3350.0,3350.0,3500.0,3230.0,3440.0,322581200
2025-10-15,3400.0,3400.0,3460.0,3310.0,3410.0,198843300
2025-10-16,3430.0,3430.0,3540.0,3400.0,3450.0,256647500
2025-10-17,3450.0,3450.0,3530.0,3370.0,3470.0,216427700
2025-10-20,3270.0,3270.0,3450.0,3270.0,3450.0,160783200
2025-10-21,3290.0,3290.0,3350.0,3270.0,3340.0,96567900
2025-10-22,3170.0,3170.0,3230.0,3120.0,3150.0,114865300
2025-10-23,3190.0,3190.0,3210.0,3170.0,3180.0,66747300
2025-10-24,3130.0,3130.0,3210.0,3120.0,3190.0,84454900
2025-10-27,3150.0,3150.0,3210.0,3100.0,3150.0,84512600
2025-10-28,3100.0,3100.0,3130.0,3020.0,3120.0,101193900
2025-10-29,3200.0,3200.0,3220.0,3110.0,3110.0,91690700
2025-10-30,3120.0,3120.0,3210.0,3120.0,3200.0,93691300
2025-10-31,3100.0,3100.0,3180.0,3100.0,3160.0,92327900
2025-11-03,3110.0,3110.0,3130.0,3080.0,3100.0,56974500
2025-11-04,2960.0,2960.0,3110.0,2960.0,3110.0,173682100
2025-11-05,2980.0,2980.0,3000.0,2910.0,2950.0,115174300
2025-11-06,2930.0,2930.0,2980.0,2920.0,2980.0,73006600
2025-11-07,2900.0,2900.0,2940.0,2900.0,2930.0,91022900
2025-11-10,2910.0,2910.0,2960.0,2870.0,2930.0,156986000
2025-11-11,2880.0,2880.0,2960.0,2880.0,2940.0,102211800
2025-11-12,2880.0,2880.0,2910.0,2860.0,2900.0,70551600
2025-11-13,2890.0,2890.0,2920.0,2880.0,2910.0,69463700
2025-11-14,3040.0,3040.0,3060.0,2860.0,2900.0,247808900
2025-11-17,3060.0,3060.0,3130.0,2960.0,3040.0,258066200
2025-11-18,3010.0,3010.0,3100.0,3010.0,3060.0,160550100
2025-11-19,3000.0,3000.0,3050.0,3000.0,3010.0,72939900
2025-11-20,2980.0,2980.0,3030.0,2980.0,3010.0,60338300
2025-11-21,2910.0,2910.0,2990.0,2910.0,2980.0,70438500
2025-11-24,2930.0,2930.0,2970.0,2890.0,2940.0,77562700
2025-11-25,3000.0,3000.0,3050.0,2930.0,2960.0,96478900
2025-11-26,3030.0,3030.0,3070.0,2980.0,3020.0,115088600
2025-11-27,3000.0,3000.0,3060.0,3000.0,3040.0,59437500
2025-11-28,2910.0,2910.0,3030.0,2900.0,3010.0,131327000
2025-12-01,2990.0,2990.0,3020.0,2940.0,2940.0,66998800
2025-12-02,2980.0,2980.0,3000.0,2950.0,2990.0,62836100
2025-12-03,2920.0,2920.0,3000.0,2920.0,2990.0,64422400
2025-12-04,2900.0,2900.0,2950.0,2900.0,2930.0,51907700
2025-12-05,2910.0,2910.0,2940.0,2900.0,2910.0,45650000
2025-12-08,2970.0,2970.0,2990.0,2920.0,2920.0,59521000
2025-12-09,2920.0,2920.0,2990.0,2910.0,2980.0,48402900
2025-12-10,2930.0,2930.0,2950.0,2910.0,2950.0,50602100
2025-12-11,2890.0,2890.0,2980.0,2870.0,2950.0,95234500
2025-12-12,3050.0,3050.0,3130.0,2900.0,2910.0,304157500
2025-12-15,3030.0,3030.0,3130.0,2980.0,3110.0,211858600
2025-12-16,2970.0,2970.0,3040.0,2960.0,3030.0,91357800
2025-12-17,3020.0,3020.0,3090.0,2990.0,2990.0,107358300
2025-12-18,3110.0,3110.0,3110.0,3020.0,3040.0,143068000
2025-12-19,3070.0,3070.0,3230.0,3050.0,3120.0,272901900
2025-12-22,3190.0,3190.0,3220.0,3110.0,3110.0,263625800
2025-12-23,3190.0,3190.0,3260.0,3170.0,3250.0,178083800
2025-12-24,3220.0,3220.0,3290.0,3180.0,3240.0,219895200
