Date,Adj Close_ASII.JK,Close_ASII.JK,High_ASII.JK,Low_ASII.JK,Open_ASII.JK,Volume_ASII.JK
2025-10-13,5702.0,5800.0,5925.0,5775.0,5850.0,29034500
2025-10-14,5825.0,5825.0,6025.0,5800.0,5800.0,53096200
2025-10-15,5775.0,5775.0,5950.0,5750.0,5950.0,96604500
2025-10-16,5750.0,5750.0,5850.0,5750.0,5850.0,15044500
2025-10-17,5625.0,5625.0,5800.0,5575.0,5725.0,31793700
2025-10-20,5925.0,5925.0,5925.0,5625.0,5625.0,29959700
2025-10-21,6000.0,6000.0,6050.0,5900.0,6000.0,46181700
2025-10-22,6175.0,6175.0,6300.0,6000.0,6050.0,98615300
2025-10-23,6325.0,6325.0,6400.0,6075.0,6075.0,60009000
2025-10-24,6575.0,6575.0,6675.0,6350.0,6375.0,93344500
2025-10-27,6600.0,6600.0,6725.0,6375.0,6600.0,64262300
2025-10-28,6325.0,6325.0,6600.0,6275.0,6600.0,37953500
2025-10-29,6475.0,6475.0,6500.0,6225.0,6250.0,39818900
2025-10-30,6275.0,6275.0,6450.0,6250.0,6425.0,28976800
2025-10-31,6150.0,6150.0,6300.0,6125.0,6250.0,64790000
2025-11-03,6350.0,6350.0,6450.0,6150.0,6150.0,59085000
2025-11-04,6300.0,6300.0,6375.0,6250.0,6300.0,62249200
2025-11-05,6250.0,6250.0,6325.0,6175.0,6250.0,43439100
2025-11-06,6325.0,6325.0,6350.0,6200.0,6300.0,48979900
2025-11-07,6425.0,6425.0,6450.0,6300.0,6325.0,42960800
2025-11-10,6425.0,6425.0,6500.0,6400.0,6500.0,45533400
2025-11-11,6525.0,6525.0,6600.0,6450.0,6550.0,43529600
2025-11-12,6450.0,6450.0,6575.0,6400.0,6550.0,37083400
2025-11-13,6375.0,6375.0,6425.0,6350.0,6425.0,21200000
2025-11-14,6400.0,6400.0,6450.0,6325.0,6375.0,23431700
2025-11-17,6450.0,6450.0,6500.0,6375.0,6400.0,40681500
2025-11-18,6425.0,6425.0,6550.0,6400.0,6475.0,27510900
2025-11-19,6400.0,6400.0,6475.0,6275.0,6425.0,45476700
2025-11-20,6425.0,6425.0,6500.0,6375.0,6450.0,30547700
2025-11-21,6425.0,6425.0,6425.0,6325.0,6400.0,43653200
2025-11-24,6475.0,6475.0,6525.0,6425.0,6500.0,71721700
2025-11-25,6450.0,6450.0,6475.0,6375.0,6425.0,20954400
2025-11-26,6600.0,6600.0,6600.0,6425.0,6500.0,29331000
2025-11-27,6575.0,6575.0,6600.0,6450.0,6600.0,23737100
2025-11-28,6550.0,6550.0,6600.0,6500.0,6600.0,38378700
2025-12-01,6375.0,6375.0,6500.0,6325.0,6375.0,38669000
2025-12-02,6625.0,6625.0,6625.0,6500.0,6575.0,53567600
2025-12-03,6600.0,6600.0,6650.0,6550.0,6600.0,24386200
2025-12-04,6725.0,6725.0,6725.0,6550.0,6575.0,38510600
2025-12-05,6700.0,6700.0,6900.0,6700.0,6725.0,67707300
2025-12-08,6725.0,6725.0,6825.0,6625.0,6825.0,38776000
2025-12-09,6600.0,6600.0,6775.0,6450.0,6775.0,38482800
2025-12-10,6625.0,6625.0,6725.0,6550.0,6700.0,34524000
2025-12-11,6450.0,6450.0,6675.0,6350.0,6650.0,42116700
2025-12-12,6600.0,6600.0,6600.0,6425.0,6550.0,28841900
2025-12-15,6600.0,6600.0,6725.0,6525.0,6725.0,38096700
2025-12-16,6600.0,6600.0,6600.0,6500.0,6575.0,34723600
2025-12-17,6600.0,6600.0,6600.0,6500.0,6550.0,32681400
2025-12-18,6500.0,6500.0,6600.0,6475.0,6600.0,20454400
2025-12-19,6525.0,6525.0,6575.0,6425.0,6575.0,61201100
2025-12-22,6575.0,6575.0,6600.0,6450.0,6450.0,30755900
2025-12-23,6500.0,6500.0,6575.0,6450.0,6500.0,13756700
2025-12-24,6625.0,6625.0,6675.0,6450.0,6450.0,20273000
