Date,Adj Close_BRIS.JK,Close_BRIS.JK,High_BRIS.JK,Low_BRIS.JK,Open_BRIS.JK,Volume_BRIS.JK
2025-10-13,2580.0,2580.0,2620.0,2570.0,2610.0,15062100
2025-10-14,2560.0,2560.0,2600.0,2540.0,2580.0,17543200
2025-10-15,2500.0,2500.0,2580.0,2490.0,2570.0,17943800
2025-10-16,2520.0,2520.0,2570.0,2500.0,2510.0,13167700
2025-10-17,2520.0,2520.0,2580.0,2500.0,2520.0,9718200
2025-10-20,2640.0,2640.0,2690.0,2550.0,2550.0,34752100
2025-10-21,2670.0,2670.0,2700.0,2650.0,2680.0,24175700
2025-10-22,2620.0,2620.0,2720.0,2610.0,2670.0,20801200
2025-10-23,2640.0,2640.0,2660.0,2590.0,2620.0,22331000
2025-10-24,2610.0,2610.0,2670.0,2610.0,2620.0,13961700
2025-10-27,2600.0,2600.0,2650.0,2550.0,2650.0,13353300
2025-10-28,2560.0,2560.0,2610.0,2550.0,2610.0,15102900
2025-10-29,2600.0,2600.0,2620.0,2570.0,2580.0,17255600
2025-10-30,2570.0,2570.0,2660.0,2570.0,2600.0,23838500
2025-10-31,2550.0,2550.0,2620.0,2550.0,2570.0,25759900
2025-11-03,2530.0,2530.0,2580.0,2530.0,2550.0,22920400
2025-11-04,2510.0,2510.0,2560.0,2510.0,2540.0,14220900
2025-11-05,2500.0,2500.0,2520.0,2480.0,2520.0,27036100
2025-11-06,2490.0,2490.0,2510.0,2480.0,2500.0,13416400
2025-11-07,2510.0,2510.0,2530.0,2490.0,2490.0,16252400
2025-11-10,2500.0,2500.0,2540.0,2500.0,2530.0,13044200
2025-11-11,2500.0,2500.0,2520.0,2470.0,2510.0,14559300
2025-11-12,2480.0,2480.0,2520.0,2470.0,2500.0,20964400
2025-11-13,2460.0,2460.0,2500.0,2450.0,2490.0,20489000
2025-11-14,2490.0,2490.0,2500.0,2460.0,2460.0,12091100
2025-11-17,2480.0,2480.0,2510.0,2460.0,2500.0,11211600
2025-11-18,2470.0,2470.0,2510.0,2450.0,2480.0,9935900
2025-11-19,2460.0,2460.0,2480.0,2450.0,2470.0,6991600
2025-11-20,2450.0,2450.0,2480.0,2450.0,2460.0,14356100
2025-11-21,2420.0,2420.0,2450.0,2390.0,2450.0,22051000
2025-11-24,2400.0,2400.0,2430.0,2380.0,2420.0,14519100
2025-11-25,2390.0,2390.0,2410.0,2370.0,2400.0,11256900
2025-11-26,2380.0,2380.0,2400.0,2370.0,2390.0,6414800
2025-11-27,2370.0,2370.0,2430.0,2350.0,2390.0,13918800
2025-11-28,2340.0,2340.0,2390.0,2340.0,2380.0,9237100
2025-12-01,2380.0,2380.0,2400.0,2330.0,2340.0,10863600
2025-12-02,2380.0,2380.0,2410.0,2370.0,2390.0,14042800
2025-12-03,2340.0,2340.0,2380.0,2340.0,2380.0,10767600
2025-12-04,2360.0,2360.0,2370.0,2320.0,2340.0,10809600
2025-12-05,2330.0,2330.0,2370.0,2330.0,2370.0,4737900
2025-12-08,2330.0,2330.0,2360.0,2330.0,2350.0,8581500
2025-12-09,2250.0,2250.0,2350.0,2250.0,2350.0,25143400
2025-12-10,2250.0,2250.0,2290.0,2230.0,2280.0,17806000
2025-12-11,2210.0,2210.0,2280.0,2190.0,2270.0,17863600
2025-12-12,2160.0,2160.0,2210.0,2150.0,2200.0,25638900
2025-12-15,2290.0,2290.0,2300.0,2160.0,2170.0,44711900
2025-12-16,2240.0,2240.0,2330.0,2220.0,2310.0,32146500
2025-12-17,2250.0,2250.0,2270.0,2240.0,2270.0,9561900
2025-12-18,2270.0,2270.0,2320.0,2250.0,2250.0,20789600
2025-12-19,2240.0,2240.0,2290.0,2240.0,2280.0,8412200
2025-12-22,2220.0,2220.0,2260.0,2220.0,2250.0,6589700
2025-12-23,2240.0,2240.0,2240.0,2220.0,2220.0,4594800
2025-12-24,2230.0,2230.0,2250.0,2220.0,2240.0,5906300
