Date,Adj Close_BRMS.JK,Close_BRMS.JK,High_BRMS.JK,Low_BRMS.JK,Open_BRMS.JK,Volume_BRMS.JK
2025-10-13,1075.0,1075.0,1080.0,925.0,940.0,1287830500
2025-10-14,1090.0,1090.0,1190.0,980.0,1100.0,1549019600
2025-10-15,1060.0,1060.0,1160.0,1010.0,1135.0,798548800
2025-10-16,1060.0,1060.0,1095.0,1050.0,1080.0,397124100
2025-10-17,1025.0,1025.0,1110.0,1005.0,1095.0,625944200
2025-10-20,965.0,965.0,1035.0,935.0,1030.0,794237700
2025-10-21,960.0,960.0,1010.0,955.0,995.0,454613200
2025-10-22,910.0,910.0,935.0,875.0,880.0,677058200
2025-10-23,920.0,920.0,935.0,900.0,915.0,477397700
2025-10-24,880.0,880.0,925.0,880.0,920.0,474235200
2025-10-27,865.0,865.0,945.0,840.0,890.0,1027531000
2025-10-28,855.0,855.0,895.0,845.0,865.0,512123700
2025-10-29,930.0,930.0,930.0,865.0,870.0,623647500
2025-10-30,895.0,895.0,920.0,880.0,920.0,532354000
2025-10-31,920.0,920.0,925.0,895.0,915.0,474283900
2025-11-03,975.0,975.0,980.0,920.0,930.0,783847600
2025-11-04,930.0,930.0,975.0,910.0,960.0,777323100
2025-11-05,1020.0,1020.0,1020.0,900.0,910.0,1165650700
2025-11-06,960.0,960.0,1020.0,955.0,1005.0,1241326600
2025-11-07,955.0,955.0,980.0,940.0,965.0,516113100
2025-11-10,975.0,975.0,985.0,965.0,970.0,505858600
2025-11-11,995.0,995.0,1015.0,970.0,985.0,1096090300
2025-11-12,980.0,980.0,1015.0,970.0,1000.0,424442800
2025-11-13,1005.0,1005.0,1010.0,985.0,995.0,491702600
2025-11-14,975.0,975.0,1005.0,975.0,995.0,410557600
2025-11-17,930.0,930.0,990.0,930.0,980.0,558331100
2025-11-18,930.0,930.0,955.0,920.0,940.0,449303900
2025-11-19,950.0,950.0,960.0,930.0,945.0,398648200
2025-11-20,950.0,950.0,975.0,940.0,960.0,406033500
2025-11-21,990.0,990.0,990.0,940.0,950.0,617447500
2025-11-24,1025.0,1025.0,1040.0,1000.0,1015.0,4715327500
2025-11-25,975.0,975.0,1025.0,975.0,1025.0,716399500
2025-11-26,990.0,990.0,990.0,965.0,980.0,497363800
2025-11-27,985.0,985.0,1005.0,975.0,1000.0,237628800
2025-11-28,975.0,975.0,995.0,965.0,990.0,224412200
2025-12-01,990.0,990.0,1000.0,975.0,975.0,424695400
2025-12-02,1015.0,1015.0,1035.0,985.0,995.0,731017300
2025-12-03,1000.0,1000.0,1030.0,985.0,1020.0,354184100
2025-12-04,980.0,980.0,1005.0,975.0,1000.0,204903600
2025-12-05,980.0,980.0,990.0,970.0,985.0,189846400
2025-12-08,970.0,970.0,985.0,955.0,980.0,350452300
2025-12-09,960.0,960.0,985.0,955.0,975.0,337073500
2025-12-10,980.0,980.0,1015.0,955.0,955.0,553686000
2025-12-11,985.0,985.0,1020.0,975.0,1000.0,581208500
2025-12-12,1230.0,1230.0,1230.0,1005.0,1015.0,2563550200
2025-12-15,1125.0,1125.0,1335.0,1100.0,1295.0,1840193300
2025-12-16,1140.0,1140.0,1150.0,1065.0,1120.0,687637700
2025-12-17,1130.0,1130.0,1200.0,1125.0,1160.0,620916600
2025-12-18,1130.0,1130.0,1160.0,1105.0,1140.0,425810100
2025-12-19,1130.0,1130.0,1155.0,1100.0,1150.0,680215900
2025-12-22,1165.0,1165.0,1185.0,1150.0,1155.0,454533400
2025-12-23,1155.0,1155.0,1220.0,1150.0,1200.0,377692600
2025-12-24,1085.0,1085.0,1175.0,1085.0,1170.0,325029000
