Date,Adj Close_BRPT.JK,Close_BRPT.JK,High_BRPT.JK,Low_BRPT.JK,Open_BRPT.JK,Volume_BRPT.JK
2025-10-13,4210.0,4210.0,4530.0,4180.0,4240.0,231837800
2025-10-14,3940.0,3940.0,4230.0,3680.0,4220.0,247352000
2025-10-15,3890.0,3890.0,4020.0,3710.0,3940.0,197241000
2025-10-16,3930.0,3930.0,4070.0,3900.0,3930.0,103909800
2025-10-17,3650.0,3650.0,3930.0,3510.0,3900.0,181325500
2025-10-20,3770.0,3770.0,3930.0,3620.0,3800.0,142788300
2025-10-21,3790.0,3790.0,3860.0,3750.0,3760.0,70087600
2025-10-22,3750.0,3750.0,3840.0,3680.0,3800.0,69891200
2025-10-23,3740.0,3740.0,3860.0,3740.0,3790.0,69279900
2025-10-24,3640.0,3640.0,3840.0,3600.0,3760.0,97685000
2025-10-27,3300.0,3300.0,3680.0,3120.0,3650.0,370527600
2025-10-28,3420.0,3420.0,3450.0,3150.0,3330.0,153376900
2025-10-29,3560.0,3560.0,3570.0,3360.0,3430.0,96277800
2025-10-30,3540.0,3540.0,3570.0,3450.0,3560.0,72750400
2025-10-31,3450.0,3450.0,3570.0,3450.0,3550.0,61590500
2025-11-03,3670.0,3670.0,3740.0,3450.0,3450.0,199701300
2025-11-04,3500.0,3500.0,3730.0,3500.0,3670.0,166746500
2025-11-05,3560.0,3560.0,3580.0,3440.0,3450.0,72579300
2025-11-06,3570.0,3570.0,3650.0,3540.0,3640.0,74999000
2025-11-07,3590.0,3590.0,3670.0,3560.0,3590.0,97233900
2025-11-10,3590.0,3590.0,3640.0,3550.0,3590.0,97681600
2025-11-11,3530.0,3530.0,3600.0,3500.0,3590.0,58774500
2025-11-12,3780.0,3780.0,3850.0,3510.0,3540.0,294998400
2025-11-13,3720.0,3720.0,3880.0,3710.0,3830.0,196838200
2025-11-14,3780.0,3780.0,3880.0,3710.0,3710.0,120503100
2025-11-17,3770.0,3770.0,3860.0,3750.0,3800.0,88662000
2025-11-18,3580.0,3580.0,3780.0,3510.0,3770.0,155065500
2025-11-19,3500.0,3500.0,3610.0,3500.0,3580.0,76949500
2025-11-20,3470.0,3470.0,3580.0,3470.0,3530.0,55203300
2025-11-21,3490.0,3490.0,3500.0,3410.0,3450.0,61228900
2025-11-24,3500.0,3500.0,3540.0,3460.0,3510.0,140999100
2025-11-25,3430.0,3430.0,3540.0,3380.0,3540.0,118096700
2025-11-26,3510.0,3510.0,3560.0,3350.0,3430.0,141644200
2025-11-27,3600.0,3600.0,3690.0,3530.0,3540.0,178728200
2025-11-28,3580.0,3580.0,3630.0,3530.0,3620.0,64254900
2025-12-01,3470.0,3470.0,3590.0,3460.0,3580.0,78951200
2025-12-02,3500.0,3500.0,3580.0,3470.0,3470.0,76271500
2025-12-03,3490.0,3490.0,3540.0,3470.0,3530.0,63285400
2025-12-04,3500.0,3500.0,3530.0,3470.0,3500.0,52000400
2025-12-05,3500.0,3500.0,3570.0,3470.0,3520.0,46752300
2025-12-08,3400.0,3400.0,3510.0,3390.0,3500.0,101462900
2025-12-09,3500.0,3500.0,3500.0,3380.0,3410.0,118520700
2025-12-10,3720.0,3720.0,3830.0,3460.0,3550.0,419284100
2025-12-11,3640.0,3640.0,3820.0,3600.0,3810.0,166435800
2025-12-12,3710.0,3710.0,3750.0,3610.0,3680.0,112869000
2025-12-15,3600.0,3600.0,3940.0,3540.0,3710.0,355384400
2025-12-16,3640.0,3640.0,3640.0,3550.0,3620.0,59925800
2025-12-17,3510.0,3510.0,3650.0,3510.0,3640.0,74493500
2025-12-18,3450.0,3450.0,3540.0,3450.0,3510.0,52359700
2025-12-19,3510.0,3510.0,3540.0,3400.0,3460.0,88942300
2025-12-22,3440.0,3440.0,3520.0,3430.0,3490.0,42852500
2025-12-23,3280.0,3280.0,3460.0,3280.0,3450.0,75260100
2025-12-24,3130.0,3130.0,3320.0,3120.0,3310.0,88357400
