Date,Adj Close_CPIN.JK,Close_CPIN.JK,High_CPIN.JK,Low_CPIN.JK,Open_CPIN.JK,Volume_CPIN.JK
2025-10-13,4700.0,4700.0,4810.0,4680.0,4710.0,2700200
2025-10-14,4660.0,4660.0,4810.0,4660.0,4750.0,3373400
2025-10-15,4640.0,4640.0,4860.0,4640.0,4700.0,9998000
2025-10-16,4860.0,4860.0,4900.0,4700.0,4700.0,4627800
2025-10-17,4970.0,4970.0,5000.0,4880.0,4890.0,8683700
2025-10-20,4940.0,4940.0,5075.0,4880.0,5000.0,6008900
2025-10-21,4890.0,4890.0,4990.0,4850.0,4970.0,4330400
2025-10-22,5175.0,5175.0,5225.0,4820.0,4900.0,15199500
2025-10-23,5225.0,5225.0,5375.0,5175.0,5225.0,11022300
2025-10-24,5150.0,5150.0,5275.0,5100.0,5225.0,3638500
2025-10-27,5125.0,5125.0,5250.0,5025.0,5250.0,6289200
2025-10-28,5075.0,5075.0,5225.0,5000.0,5125.0,8730200
2025-10-29,5050.0,5050.0,5125.0,4990.0,5050.0,5793000
2025-10-30,4790.0,4790.0,5150.0,4750.0,5050.0,20118700
2025-10-31,4670.0,4670.0,4840.0,4670.0,4790.0,16147700
2025-11-03,4770.0,4770.0,4810.0,4670.0,4670.0,10188700
2025-11-04,4730.0,4730.0,4820.0,4720.0,4780.0,9822600
2025-11-05,4810.0,4810.0,4810.0,4720.0,4730.0,7049600
2025-11-06,4760.0,4760.0,4850.0,4750.0,4810.0,7605600
2025-11-07,4620.0,4620.0,4790.0,4590.0,4770.0,18917200
2025-11-10,4670.0,4670.0,4700.0,4610.0,4620.0,6903400
2025-11-11,4700.0,4700.0,4750.0,4680.0,4700.0,8813600
2025-11-12,4740.0,4740.0,4780.0,4710.0,4720.0,11038700
2025-11-13,4760.0,4760.0,4880.0,4730.0,4760.0,16640900
2025-11-14,4810.0,4810.0,4810.0,4760.0,4760.0,5209100
2025-11-17,4610.0,4610.0,4860.0,4610.0,4820.0,18350500
2025-11-18,4700.0,4700.0,4720.0,4620.0,4620.0,11054200
2025-11-19,4750.0,4750.0,4750.0,4710.0,4710.0,8553700
2025-11-20,4730.0,4730.0,4810.0,4730.0,4780.0,9608100
2025-11-21,4740.0,4740.0,4780.0,4680.0,4740.0,8411100
2025-11-24,4730.0,4730.0,4770.0,4700.0,4750.0,22313900
2025-11-25,4710.0,4710.0,4760.0,4700.0,4730.0,8177800
2025-11-26,4760.0,4760.0,4770.0,4690.0,4720.0,6175600
2025-11-27,4670.0,4670.0,4760.0,4670.0,4760.0,4304100
2025-11-28,4630.0,4630.0,4690.0,4620.0,4670.0,4197700
2025-12-01,4710.0,4710.0,4750.0,4630.0,4640.0,4510800
2025-12-02,4750.0,4750.0,4820.0,4700.0,4730.0,8797100
2025-12-03,4780.0,4780.0,4880.0,4750.0,4790.0,8652600
2025-12-04,4770.0,4770.0,4780.0,4730.0,4780.0,5056600
2025-12-05,4770.0,4770.0,4790.0,4720.0,4780.0,3796900
2025-12-08,4800.0,4800.0,4800.0,4730.0,4770.0,3966500
2025-12-09,4670.0,4670.0,4800.0,4650.0,4800.0,7094600
2025-12-10,4610.0,4610.0,4700.0,4610.0,4650.0,6263000
2025-12-11,4470.0,4470.0,4650.0,4450.0,4630.0,10578100
2025-12-12,4500.0,4500.0,4540.0,4490.0,4490.0,3298900
2025-12-15,4590.0,4590.0,4590.0,4510.0,4520.0,4683400
2025-12-16,4560.0,4560.0,4610.0,4520.0,4600.0,4935300
2025-12-17,4530.0,4530.0,4570.0,4530.0,4560.0,4154700
2025-12-18,4580.0,4580.0,4590.0,4530.0,4530.0,5062500
2025-12-19,4640.0,4640.0,4640.0,4530.0,4580.0,10955400
2025-12-22,4550.0,4550.0,4640.0,4550.0,4640.0,3886100
2025-12-23,4530.0,4530.0,4570.0,4530.0,4570.0,2084400
2025-12-24,4590.0,4590.0,4610.0,4540.0,4550.0,3032200
