Date,Adj Close_DCII.JK,Close_DCII.JK,High_DCII.JK,Low_DCII.JK,Open_DCII.JK,Volume_DCII.JK
2025-10-13,275500.0,275500.0,280500.0,275500.0,280500.0,4800
2025-10-14,276925.0,276925.0,277200.0,276925.0,277000.0,2100
2025-10-15,274000.0,274000.0,276925.0,274000.0,276925.0,2100
2025-10-16,273900.0,273900.0,274000.0,273900.0,274000.0,1300
2025-10-17,265000.0,265000.0,265100.0,265000.0,265100.0,3800
2025-10-20,275900.0,275900.0,276000.0,265000.0,265000.0,1300
2025-10-21,279475.0,279475.0,280000.0,275900.0,275900.0,800
2025-10-22,279650.0,279650.0,279700.0,279400.0,279475.0,2200
2025-10-23,279000.0,279000.0,282500.0,279000.0,280650.0,3300
2025-10-24,273900.0,273900.0,279000.0,273900.0,279000.0,1200
2025-10-27,273900.0,273900.0,273900.0,273850.0,273900.0,1100
2025-10-28,270000.0,270000.0,273900.0,270000.0,273900.0,600
2025-10-29,265550.0,265550.0,270025.0,265000.0,270000.0,2500
2025-10-30,258000.0,258000.0,265000.0,258000.0,265000.0,2200
2025-10-31,260150.0,260150.0,263500.0,259600.0,259600.0,1700
2025-11-03,260400.0,260400.0,260400.0,260150.0,260150.0,800
2025-11-04,260525.0,260525.0,260700.0,260400.0,260400.0,1700
2025-11-05,260550.0,260550.0,260550.0,260525.0,260525.0,500
2025-11-06,260600.0,260600.0,260600.0,260550.0,260550.0,1000
2025-11-07,261025.0,261025.0,261025.0,260600.0,260600.0,600
2025-11-10,261825.0,261825.0,262650.0,261025.0,261025.0,3600
2025-11-11,262000.0,262000.0,262350.0,261850.0,261850.0,1700
2025-11-12,262550.0,262550.0,262550.0,262250.0,262250.0,600
2025-11-13,262100.0,262100.0,262550.0,262100.0,262550.0,700
2025-11-14,261800.0,261800.0,261850.0,261800.0,261850.0,1100
2025-11-17,262000.0,262000.0,262000.0,261825.0,261825.0,600
2025-11-18,261975.0,261975.0,262000.0,261000.0,262000.0,1700
2025-11-19,262000.0,262000.0,262000.0,261975.0,261975.0,1200
2025-11-20,260725.0,260725.0,262000.0,260725.0,262000.0,1300
2025-11-21,260500.0,260500.0,260700.0,257975.0,260700.0,1800
2025-11-24,260000.0,260000.0,260500.0,260000.0,260500.0,700
2025-11-25,259875.0,259875.0,260000.0,259875.0,260000.0,900
2025-11-26,259000.0,259000.0,259875.0,259000.0,259875.0,600
2025-11-27,252000.0,252000.0,256525.0,252000.0,256525.0,2400
2025-11-28,236500.0,236500.0,252000.0,236500.0,252000.0,3400
2025-12-01,236525.0,236525.0,236525.0,236250.0,236500.0,2400
2025-12-02,235025.0,235025.0,235700.0,235000.0,235700.0,2800
2025-12-03,254400.0,254400.0,254400.0,237250.0,252400.0,2600
2025-12-04,254400.0,254400.0,254400.0,254400.0,254400.0,200
2025-12-05,239975.0,239975.0,254000.0,239975.0,254000.0,600
2025-12-08,241025.0,241025.0,241025.0,239975.0,239975.0,1100
2025-12-09,245000.0,245000.0,259000.0,245000.0,259000.0,1700
2025-12-10,244750.0,244750.0,245000.0,244750.0,245000.0,1200
2025-12-11,244750.0,244750.0,259000.0,244750.0,244750.0,1300
2025-12-12,244800.0,244800.0,244800.0,244800.0,244800.0,200
2025-12-15,245000.0,245000.0,245000.0,244700.0,244875.0,900
2025-12-16,245000.0,245000.0,245025.0,245000.0,245025.0,300
2025-12-17,245000.0,245000.0,245000.0,245000.0,245000.0,300
2025-12-18,245000.0,245000.0,245000.0,245000.0,245000.0,700
2025-12-19,244750.0,244750.0,245000.0,244750.0,244975.0,600
2025-12-22,235600.0,235600.0,244750.0,235200.0,244750.0,1200
2025-12-23,235150.0,235150.0,235700.0,235150.0,235700.0,2000
2025-12-24,228800.0,228800.0,235100.0,228800.0,235100.0,2900
