Date,Adj Close_EMTK.JK,Close_EMTK.JK,High_EMTK.JK,Low_EMTK.JK,Open_EMTK.JK,Volume_EMTK.JK
2010-01-12,58.515594482421875,73.0,74.0,70.0,73.0,371270000
2010-01-13,57.71400451660156,72.0,73.0,70.0,72.0,8550000
2010-01-14,56.11083984375,70.0,72.0,70.0,70.0,5755000
2010-01-15,50.499759674072266,63.0,71.0,63.0,63.0,3315000
2010-01-18,50.499759674072266,63.0,63.0,63.0,63.0,0
2010-01-19,51.30134201049805,64.0,64.0,57.0,64.0,5805000
2010-01-20,48.89658737182617,61.0,64.0,59.0,61.0,690000
2010-01-21,45.69026184082031,57.0,61.0,57.0,57.0,2320000
2010-01-22,44.08708953857422,55.0,60.0,50.0,55.0,980000
2010-01-25,45.69026184082031,57.0,57.0,55.0,57.0,265000
2010-01-26,45.69026184082031,57.0,57.0,57.0,57.0,0
2010-01-27,45.69026184082031,57.0,57.0,52.0,57.0,420000
2010-01-28,48.095008850097656,60.0,60.0,56.0,60.0,215000
2010-01-29,46.49184036254883,58.0,58.0,52.0,58.0,1055000
2010-02-01,46.49184036254883,58.0,58.0,58.0,58.0,1055000
2010-02-02,48.095008850097656,60.0,60.0,57.0,60.0,1150000
2010-02-03,47.293418884277344,59.0,59.0,54.0,59.0,175000
2010-02-04,43.28550720214844,54.0,56.0,54.0,54.0,610000
2010-02-05,44.88867950439453,56.0,56.0,52.0,56.0,680000
2010-02-08,41.68233108520508,52.0,56.0,52.0,52.0,30000
2010-02-09,40.8807487487793,51.0,55.0,50.0,51.0,560000
2010-02-10,41.68233108520508,52.0,54.0,52.0,52.0,270000
2010-02-11,41.68233108520508,52.0,54.0,51.0,52.0,2725000
2010-02-12,43.28550720214844,54.0,54.0,52.0,54.0,2440000
2010-02-15,43.28550720214844,54.0,54.0,54.0,54.0,250000
2010-02-16,41.68233108520508,52.0,52.0,52.0,52.0,125000
2010-02-17,42.48392105102539,53.0,53.0,53.0,53.0,370000
2010-02-18,42.48392105102539,53.0,54.0,53.0,53.0,420000
2010-02-19,42.48392105102539,53.0,53.0,53.0,53.0,420000
2010-02-22,42.48392105102539,53.0,53.0,53.0,53.0,420000
2010-02-23,42.48392105102539,53.0,53.0,51.0,53.0,1560000
2010-02-24,40.07917022705078,50.0,51.0,50.0,50.0,365000
2010-02-25,40.07917022705078,50.0,51.0,50.0,50.0,305000
2010-03-01,40.07917022705078,50.0,50.0,50.0,50.0,505000
2010-03-02,40.07917022705078,50.0,50.0,48.0,50.0,110000
2010-03-03,41.68233108520508,52.0,52.0,48.0,52.0,275000
2010-03-04,42.48392105102539,53.0,53.0,50.0,53.0,2280000
2010-03-05,40.07917022705078,50.0,50.0,50.0,50.0,125000
2010-03-08,40.07917022705078,50.0,50.0,50.0,50.0,195000
2010-03-09,40.07917022705078,50.0,51.0,50.0,50.0,520000
2010-03-10,40.07917022705078,50.0,50.0,49.0,50.0,550000
2010-03-11,41.68233108520508,52.0,52.0,49.0,52.0,590000
2010-03-12,39.277591705322266,49.0,50.0,49.0,49.0,535000
2010-03-15,39.67837905883789,49.5,50.0,49.5,49.5,270000
2010-03-17,39.277591705322266,49.0,51.0,49.0,49.0,1200000
2010-03-18,40.07917022705078,50.0,51.0,49.5,50.0,630000
2010-03-19,39.67837905883789,49.5,50.0,49.0,49.5,1245000
2010-03-22,39.277591705322266,49.0,49.0,49.0,49.0,10000
2010-03-23,41.68233108520508,52.0,52.0,48.0,52.0,150000
2010-03-24,40.8807487487793,51.0,52.0,49.0,51.0,1070000
2010-03-25,40.07917022705078,50.0,51.0,50.0,50.0,245000
2010-03-26,40.07917022705078,50.0,50.0,50.0,50.0,920000
2010-03-29,43.28550720214844,54.0,54.0,50.0,54.0,2700000
2010-03-30,42.48392105102539,53.0,54.0,51.0,53.0,635000
2010-03-31,45.69026184082031,57.0,57.0,53.0,57.0,2215000
2010-04-01,46.49184036254883,58.0,58.0,57.0,58.0,90000
2010-04-05,46.49184036254883,58.0,58.0,58.0,58.0,0
2010-04-06,48.095008850097656,60.0,60.0,57.0,60.0,1505000
2010-04-07,49.698177337646484,62.0,62.0,61.0,62.0,40000
2010-04-08,49.698177337646484,62.0,62.0,58.0,62.0,265000
2010-04-09,49.698177337646484,62.0,64.0,62.0,62.0,215000
2010-04-12,50.499759674072266,63.0,63.0,62.0,63.0,20000
2010-04-13,50.499759674072266,63.0,63.0,63.0,63.0,110000
2010-04-14,51.30134201049805,64.0,64.0,60.0,64.0,520000
2010-04-15,51.30134201049805,64.0,64.0,56.0,64.0,100000
2010-04-16,53.706085205078125,67.0,67.0,63.0,67.0,260000
2010-04-19,53.706085205078125,67.0,67.0,64.0,67.0,45000
2010-04-20,52.1029167175293,65.0,66.0,65.0,65.0,310000
2010-04-21,52.1029167175293,65.0,65.0,60.0,65.0,30000
2010-04-22,51.30134201049805,64.0,64.0,64.0,64.0,100000
2010-04-23,50.499759674072266,63.0,65.0,63.0,63.0,40000
