Date,Adj Close_ENRG.JK,Close_ENRG.JK,High_ENRG.JK,Low_ENRG.JK,Open_ENRG.JK,Volume_ENRG.JK
2025-10-13,995.0,995.0,1020.0,900.0,925.0,182518300
2025-10-14,1080.0,1080.0,1165.0,1015.0,1015.0,288866100
2025-10-15,1000.0,1000.0,1090.0,980.0,1090.0,160505600
2025-10-16,1025.0,1025.0,1040.0,995.0,1010.0,100862900
2025-10-17,900.0,900.0,1025.0,885.0,1025.0,192056900
2025-10-20,940.0,940.0,940.0,870.0,910.0,100557400
2025-10-21,945.0,945.0,980.0,930.0,945.0,64683300
2025-10-22,945.0,945.0,960.0,915.0,950.0,71800100
2025-10-23,975.0,975.0,980.0,950.0,955.0,84037400
2025-10-24,915.0,915.0,985.0,915.0,980.0,87258000
2025-10-27,820.0,820.0,940.0,790.0,920.0,325553700
2025-10-28,830.0,830.0,855.0,810.0,830.0,83630700
2025-10-29,830.0,830.0,860.0,820.0,835.0,93726200
2025-10-30,835.0,835.0,845.0,820.0,840.0,77788600
2025-10-31,825.0,825.0,850.0,820.0,835.0,73493800
2025-11-03,885.0,885.0,885.0,825.0,830.0,152781200
2025-11-04,850.0,850.0,890.0,820.0,890.0,163149400
2025-11-05,890.0,890.0,890.0,820.0,830.0,114417200
2025-11-06,880.0,880.0,920.0,875.0,920.0,123668700
2025-11-07,870.0,870.0,895.0,865.0,880.0,59805600
2025-11-10,910.0,910.0,920.0,875.0,875.0,69781200
2025-11-11,940.0,940.0,1010.0,910.0,915.0,334556100
2025-11-12,905.0,905.0,945.0,905.0,945.0,83133800
2025-11-13,910.0,910.0,935.0,905.0,910.0,88910000
2025-11-14,910.0,910.0,935.0,850.0,905.0,67314100
2025-11-17,920.0,920.0,945.0,920.0,925.0,83049100
2025-11-18,920.0,920.0,940.0,895.0,930.0,73615000
2025-11-19,940.0,940.0,955.0,915.0,925.0,105005700
2025-11-20,930.0,930.0,950.0,920.0,945.0,38308300
2025-11-21,930.0,930.0,935.0,915.0,930.0,36837700
2025-11-24,1015.0,1015.0,1015.0,935.0,945.0,567420600
2025-11-25,995.0,995.0,1005.0,970.0,1005.0,110797900
2025-11-26,1005.0,1005.0,1015.0,980.0,1000.0,176118600
2025-11-27,985.0,985.0,1005.0,980.0,1005.0,43544500
2025-11-28,985.0,985.0,995.0,970.0,985.0,37881800
2025-12-01,1195.0,1195.0,1230.0,985.0,990.0,558162200
2025-12-02,1190.0,1190.0,1220.0,1105.0,1210.0,265786600
2025-12-03,1165.0,1165.0,1235.0,1140.0,1200.0,154816000
2025-12-04,1190.0,1190.0,1200.0,1150.0,1175.0,86446700
2025-12-05,1205.0,1205.0,1215.0,1165.0,1195.0,121610200
2025-12-08,1430.0,1430.0,1445.0,1210.0,1210.0,360041100
2025-12-09,1390.0,1390.0,1435.0,1350.0,1430.0,132074600
2025-12-10,1415.0,1415.0,1560.0,1395.0,1400.0,249075900
2025-12-11,1480.0,1480.0,1580.0,1360.0,1410.0,284271300
2025-12-12,1600.0,1600.0,1625.0,1490.0,1505.0,188785100
2025-12-15,1390.0,1390.0,1620.0,1375.0,1610.0,219193400
2025-12-16,1410.0,1410.0,1450.0,1365.0,1390.0,68874900
2025-12-17,1510.0,1510.0,1550.0,1410.0,1440.0,172824400
2025-12-18,1425.0,1425.0,1515.0,1420.0,1510.0,76132400
2025-12-19,1445.0,1445.0,1445.0,1380.0,1430.0,68427700
2025-12-22,1450.0,1450.0,1490.0,1445.0,1470.0,68932300
2025-12-23,1465.0,1465.0,1500.0,1420.0,1470.0,88882500
2025-12-24,1455.0,1455.0,1500.0,1445.0,1480.0,33683100
