Date,Adj Close_EXCL.JK,Close_EXCL.JK,High_EXCL.JK,Low_EXCL.JK,Open_EXCL.JK,Volume_EXCL.JK
2025-10-13,2455.45458984375,2600.0,2660.0,2540.0,2600.0,10427000
2025-10-14,2398.790283203125,2540.0,2620.0,2520.0,2600.0,5736600
2025-10-15,2332.681884765625,2470.0,2540.0,2440.0,2540.0,12281900
2025-10-16,2370.4580078125,2510.0,2520.0,2460.0,2510.0,3315800
2025-10-17,2285.461669921875,2420.0,2490.0,2380.0,2490.0,6089100
2025-10-20,2285.461669921875,2420.0,2430.0,2390.0,2430.0,6019500
2025-10-21,2361.01416015625,2500.0,2500.0,2420.0,2420.0,6710900
2025-10-22,2285.461669921875,2420.0,2510.0,2410.0,2510.0,6978200
2025-10-23,2464.898681640625,2610.0,2630.0,2440.0,2440.0,12258100
2025-10-24,2446.010498046875,2590.0,2620.0,2580.0,2620.0,9185600
2025-10-27,2313.793701171875,2450.0,2600.0,2440.0,2600.0,15128300
2025-10-28,2294.90576171875,2430.0,2520.0,2390.0,2470.0,33087700
2025-10-29,2408.234375,2550.0,2580.0,2410.0,2410.0,12085900
2025-10-30,2483.786865234375,2630.0,2690.0,2510.0,2570.0,19326600
2025-10-31,2464.898681640625,2610.0,2720.0,2560.0,2640.0,30971100
2025-11-03,2540.451171875,2690.0,2740.0,2580.0,2580.0,12031500
2025-11-04,2578.227294921875,2730.0,2760.0,2700.0,2700.0,24451800
2025-11-05,2549.895263671875,2700.0,2730.0,2650.0,2720.0,7853000
2025-11-06,2587.67138671875,2740.0,2750.0,2700.0,2700.0,4084700
2025-11-07,2587.67138671875,2740.0,2750.0,2690.0,2740.0,5969100
2025-11-10,2597.115478515625,2750.0,2770.0,2720.0,2750.0,16620700
2025-11-11,2597.115478515625,2750.0,2760.0,2670.0,2750.0,7659600
2025-11-12,2597.115478515625,2750.0,2780.0,2730.0,2750.0,14001500
2025-11-13,2597.115478515625,2750.0,2770.0,2690.0,2750.0,15990100
2025-11-14,2568.783203125,2720.0,2740.0,2700.0,2740.0,5517900
2025-11-17,2578.227294921875,2730.0,2750.0,2710.0,2720.0,8008400
2025-11-18,2559.339111328125,2710.0,2760.0,2710.0,2740.0,13377900
2025-11-19,2597.115478515625,2750.0,2760.0,2670.0,2730.0,13720600
2025-11-20,2606.5595703125,2760.0,2780.0,2730.0,2750.0,7149800
2025-11-21,2578.227294921875,2730.0,2840.0,2700.0,2770.0,20482500
2025-11-24,2606.5595703125,2760.0,2790.0,2730.0,2740.0,14435200
2025-11-25,2597.115478515625,2750.0,2770.0,2720.0,2760.0,11463300
2025-11-26,2701.0,2860.0,2950.0,2750.0,2750.0,24929600
2025-11-27,2682.112060546875,2840.0,2880.0,2830.0,2860.0,7543200
2025-11-28,2729.332275390625,2890.0,2900.0,2830.0,2860.0,9139100
2025-12-01,2701.0,2860.0,2910.0,2850.0,2900.0,10493200
2025-12-02,2810.0,2810.0,2840.0,2710.0,2750.0,20677200
2025-12-03,2790.0,2790.0,2820.0,2770.0,2810.0,4127100
2025-12-04,2890.0,2890.0,2890.0,2800.0,2800.0,9560800
2025-12-05,3200.0,3200.0,3410.0,2910.0,2920.0,88365500
2025-12-08,3300.0,3300.0,3530.0,3170.0,3200.0,69727100
2025-12-09,3440.0,3440.0,3550.0,3330.0,3350.0,66937200
2025-12-10,3710.0,3710.0,3810.0,3440.0,3440.0,91703600
2025-12-11,3700.0,3700.0,3910.0,3620.0,3750.0,28086600
2025-12-12,3790.0,3790.0,3810.0,3600.0,3600.0,19712800
2025-12-15,3710.0,3710.0,3810.0,3660.0,3800.0,11077000
2025-12-16,3700.0,3700.0,3850.0,3680.0,3710.0,35579700
2025-12-17,3850.0,3850.0,3850.0,3640.0,3700.0,26642300
2025-12-18,3690.0,3690.0,4080.0,3690.0,3880.0,20263700
2025-12-19,3900.0,3900.0,3900.0,3650.0,3700.0,24263700
2025-12-22,3760.0,3760.0,3880.0,3760.0,3880.0,11651700
2025-12-23,3740.0,3740.0,3790.0,3720.0,3760.0,6751800
2025-12-24,3750.0,3750.0,3840.0,3710.0,3770.0,6263300
