Date,Adj Close_GEMS.JK,Close_GEMS.JK,High_GEMS.JK,Low_GEMS.JK,Open_GEMS.JK,Volume_GEMS.JK
2011-11-17,1005.3950805664062,2725.0,2725.0,2500.0,2725.0,27077000
2011-11-18,1060.7381591796875,2875.0,2900.0,2675.0,2875.0,21402000
2011-11-21,1033.06689453125,2800.0,2900.0,2775.0,2800.0,11405000
2011-11-22,1079.1859130859375,2925.0,2950.0,2750.0,2925.0,13297000
2011-11-23,1060.7381591796875,2875.0,2900.0,2850.0,2875.0,2868500
2011-11-24,1069.9620361328125,2900.0,2900.0,2825.0,2900.0,2275500
2011-11-25,1033.06689453125,2800.0,2850.0,2750.0,2800.0,3037000
2011-11-28,1014.619384765625,2750.0,2850.0,2725.0,2750.0,1493000
2011-11-29,1033.06689453125,2800.0,2850.0,2725.0,2800.0,7673000
2011-11-30,1023.843017578125,2775.0,2800.0,2750.0,2775.0,802000
2011-12-01,1023.843017578125,2775.0,2775.0,2775.0,2775.0,0
2011-12-02,1014.619384765625,2750.0,2775.0,2725.0,2750.0,770500
2011-12-05,996.1716918945312,2700.0,2750.0,2675.0,2700.0,1698000
2011-12-06,986.9478149414062,2675.0,2700.0,2625.0,2675.0,1090000
2011-12-07,977.7240600585938,2650.0,2675.0,2625.0,2650.0,93500
2011-12-08,977.7240600585938,2650.0,2650.0,2600.0,2650.0,285500
2011-12-09,986.9478149414062,2675.0,2675.0,2600.0,2675.0,469000
2011-12-12,986.9478149414062,2675.0,2700.0,2650.0,2675.0,1068000
2011-12-13,977.7240600585938,2650.0,2675.0,2600.0,2650.0,357000
2011-12-14,959.2764282226562,2600.0,2625.0,2600.0,2600.0,153000
2011-12-15,940.82861328125,2550.0,2600.0,2550.0,2550.0,435500
2011-12-16,959.2764282226562,2600.0,2625.0,2550.0,2600.0,262000
2011-12-19,959.2764282226562,2600.0,2600.0,2550.0,2600.0,357500
2011-12-20,959.2764282226562,2600.0,2600.0,2550.0,2600.0,384500
2011-12-21,959.2764282226562,2600.0,2600.0,2550.0,2600.0,456500
2011-12-22,986.9478149414062,2675.0,2700.0,2575.0,2675.0,2616000
2011-12-23,1005.3950805664062,2725.0,2775.0,2700.0,2725.0,2532500
2011-12-27,968.50048828125,2625.0,2725.0,2625.0,2625.0,217500
2011-12-28,959.2764282226562,2600.0,2625.0,2600.0,2600.0,87000
2011-12-29,968.50048828125,2625.0,2625.0,2600.0,2625.0,194500
2011-12-30,1005.3950805664062,2725.0,2725.0,2600.0,2725.0,4517000
2012-01-02,968.50048828125,2625.0,2675.0,2600.0,2625.0,25500
2012-01-03,968.50048828125,2625.0,2650.0,2600.0,2625.0,169000
2012-01-04,959.2764282226562,2600.0,2625.0,2600.0,2600.0,300500
2012-01-05,986.9478149414062,2675.0,2675.0,2625.0,2675.0,1468000
2012-01-06,1014.619384765625,2750.0,2750.0,2650.0,2750.0,3298000
2012-01-09,1014.619384765625,2750.0,2775.0,2700.0,2750.0,500500
2012-01-10,1014.619384765625,2750.0,2750.0,2700.0,2750.0,164500
2012-01-11,1014.619384765625,2750.0,2775.0,2725.0,2750.0,385500
2012-01-12,996.1716918945312,2700.0,2750.0,2700.0,2700.0,20000
2012-01-13,996.1716918945312,2700.0,2750.0,2675.0,2700.0,279500
2012-01-16,986.9478149414062,2675.0,2675.0,2675.0,2675.0,41500
2012-01-17,996.1716918945312,2700.0,2700.0,2650.0,2700.0,268500
2012-01-18,1014.619384765625,2750.0,2750.0,2675.0,2750.0,703500
2012-01-19,996.1716918945312,2700.0,2750.0,2700.0,2700.0,91000
2012-01-20,1014.619384765625,2750.0,2750.0,2675.0,2750.0,449000
2012-01-24,996.1716918945312,2700.0,2725.0,2700.0,2700.0,32500
2012-01-25,968.50048828125,2625.0,2700.0,2600.0,2625.0,2055000
2012-01-26,959.2764282226562,2600.0,2600.0,2575.0,2600.0,383500
2012-01-27,977.7240600585938,2650.0,2650.0,2600.0,2650.0,2317000
2012-01-30,977.7240600585938,2650.0,2650.0,2650.0,2650.0,0
2012-01-31,959.2764282226562,2600.0,2600.0,2575.0,2600.0,253000
2012-02-01,959.2764282226562,2600.0,2600.0,2575.0,2600.0,70000
2012-02-02,959.2764282226562,2600.0,2625.0,2550.0,2600.0,746500
2012-02-03,959.2764282226562,2600.0,2600.0,2550.0,2600.0,118500
2012-02-06,940.82861328125,2550.0,2600.0,2550.0,2550.0,480500
2012-02-07,940.82861328125,2550.0,2550.0,2550.0,2550.0,53500
2012-02-08,959.2764282226562,2600.0,2625.0,2575.0,2600.0,987000
2012-02-09,959.2764282226562,2600.0,2600.0,2575.0,2600.0,152500
2012-02-10,959.2764282226562,2600.0,2650.0,2575.0,2600.0,600500
2012-02-13,959.2764282226562,2600.0,2600.0,2600.0,2600.0,42000
2012-02-14,959.2764282226562,2600.0,2600.0,2575.0,2600.0,80500
2012-02-15,959.2764282226562,2600.0,2600.0,2575.0,2600.0,4500
2012-02-16,959.2764282226562,2600.0,2600.0,2550.0,2600.0,86000
2012-02-17,959.2764282226562,2600.0,2600.0,2575.0,2600.0,112500
2012-02-20,950.052490234375,2575.0,2600.0,2575.0,2575.0,169500
2012-02-21,968.50048828125,2625.0,2700.0,2575.0,2625.0,1050000
2012-02-22,959.2764282226562,2600.0,2650.0,2600.0,2600.0,44000
2012-02-23,968.50048828125,2625.0,2625.0,2600.0,2625.0,41000
2012-02-24,940.82861328125,2550.0,2575.0,2550.0,2550.0,157000
2012-02-27,940.82861328125,2550.0,2550.0,2550.0,2550.0,23500
2012-02-28,940.82861328125,2550.0,2575.0,2550.0,2550.0,12500
2012-02-29,940.82861328125,2550.0,2575.0,2550.0,2550.0,646000
2012-03-01,940.82861328125,2550.0,2550.0,2550.0,2550.0,92000
2012-03-02,950.052490234375,2575.0,2600.0,2575.0,2575.0,282500
2012-03-05,968.50048828125,2625.0,2650.0,2600.0,2625.0,1782500
2012-03-06,968.50048828125,2625.0,2625.0,2625.0,2625.0,0
2012-03-07,968.50048828125,2625.0,2625.0,2625.0,2625.0,0
2012-03-08,977.7240600585938,2650.0,2675.0,2650.0,2650.0,193000
2012-03-09,986.9478149414062,2675.0,2675.0,2650.0,2675.0,78000
2012-03-12,968.50048828125,2625.0,2625.0,2625.0,2625.0,27500
2012-03-13,968.50048828125,2625.0,2625.0,2600.0,2625.0,39500
2012-03-14,968.50048828125,2625.0,2650.0,2600.0,2625.0,197000
2012-03-15,959.2764282226562,2600.0,2625.0,2600.0,2600.0,11500
2012-03-16,977.7240600585938,2650.0,2700.0,2625.0,2650.0,644500
2012-03-19,986.9478149414062,2675.0,2700.0,2675.0,2675.0,548000
2012-03-20,1014.619384765625,2750.0,2750.0,2650.0,2750.0,679500
2012-03-21,1097.63330078125,2975.0,3000.0,2775.0,2975.0,6571000
2012-03-22,1097.63330078125,2975.0,3150.0,2950.0,2975.0,2928000
2012-03-26,1088.40966796875,2950.0,2975.0,2925.0,2950.0,672500
2012-03-27,1079.1859130859375,2925.0,2950.0,2900.0,2925.0,975500
2012-03-28,1079.1859130859375,2925.0,2925.0,2850.0,2925.0,1029500
2012-03-29,1060.7381591796875,2875.0,2900.0,2875.0,2875.0,142500
2012-03-30,1051.5142822265625,2850.0,2900.0,2850.0,2850.0,79000
2012-04-02,1042.290771484375,2825.0,2850.0,2825.0,2825.0,32500
2012-04-03,1042.290771484375,2825.0,2825.0,2825.0,2825.0,0
2012-04-04,1069.9620361328125,2900.0,2925.0,2825.0,2900.0,3426000
2012-04-05,1069.9620361328125,2900.0,3025.0,2875.0,2900.0,3786000
2012-04-09,1051.5142822265625,2850.0,2950.0,2850.0,2850.0,466500
2012-04-10,1106.857421875,3000.0,3000.0,2825.0,3000.0,3406000
2012-04-11,1079.1859130859375,2925.0,2975.0,2925.0,2925.0,437500
2012-04-12,1060.7381591796875,2875.0,2925.0,2850.0,2875.0,677500
2012-04-13,1060.7381591796875,2875.0,2900.0,2875.0,2875.0,1237500
2012-04-16,1069.9620361328125,2900.0,2925.0,2850.0,2900.0,505000
2012-04-17,1060.7381591796875,2875.0,2900.0,2850.0,2875.0,292000
2012-04-18,1060.7381591796875,2875.0,2900.0,2850.0,2875.0,237500
2012-04-19,1051.5142822265625,2850.0,2850.0,2850.0,2850.0,117000
2012-04-20,1069.9620361328125,2900.0,2925.0,2825.0,2900.0,2357500
2012-04-23,1097.63330078125,2975.0,3000.0,2900.0,2975.0,3813500
2012-04-24,1106.857421875,3000.0,3000.0,2950.0,3000.0,301000
2012-04-25,1097.63330078125,2975.0,3000.0,2950.0,2975.0,114000
2012-04-26,1106.857421875,3000.0,3000.0,2975.0,3000.0,454000
2012-04-27,1079.1859130859375,2925.0,3000.0,2925.0,2925.0,299000
2012-04-30,1106.857421875,3000.0,3000.0,2900.0,3000.0,211000
2012-05-01,1106.857421875,3000.0,3000.0,3000.0,3000.0,0
2012-05-02,1106.857421875,3000.0,3000.0,3000.0,3000.0,3000
2012-05-03,1069.9620361328125,2900.0,2900.0,2875.0,2900.0,160000
2012-05-04,1069.9620361328125,2900.0,2900.0,2900.0,2900.0,97000
2012-05-07,1069.9620361328125,2900.0,2900.0,2800.0,2900.0,51500
2012-05-08,1060.7381591796875,2875.0,2875.0,2850.0,2875.0,12500
2012-05-09,1014.619384765625,2750.0,2825.0,2750.0,2750.0,328500
2012-05-10,1014.619384765625,2750.0,2750.0,2750.0,2750.0,328500
2012-05-11,968.50048828125,2625.0,2750.0,2625.0,2625.0,2500
2012-05-14,950.052490234375,2575.0,2600.0,2575.0,2575.0,3000
2012-05-15,1005.3950805664062,2725.0,2725.0,2550.0,2725.0,7500
2012-05-16,959.2764282226562,2600.0,2600.0,2525.0,2600.0,4092500
2012-05-21,950.052490234375,2575.0,2575.0,2475.0,2575.0,16000
2012-05-22,950.052490234375,2575.0,2575.0,2575.0,2575.0,2500
2012-05-23,922.381103515625,2500.0,2575.0,2500.0,2500.0,1000
2012-05-24,940.82861328125,2550.0,2550.0,2450.0,2550.0,2500
2012-05-25,922.381103515625,2500.0,2500.0,2500.0,2500.0,10000
2012-05-28,922.381103515625,2500.0,2500.0,2450.0,2500.0,25500
2012-05-29,922.381103515625,2500.0,2500.0,2500.0,2500.0,25500
2012-05-30,922.381103515625,2500.0,2550.0,2500.0,2500.0,100000
2012-05-31,1033.06689453125,2800.0,2850.0,2500.0,2800.0,995500
2012-06-01,1033.06689453125,2800.0,2800.0,2800.0,2800.0,5000
2012-06-04,1014.619384765625,2750.0,2750.0,2750.0,2750.0,1500
2012-06-05,1014.619384765625,2750.0,2750.0,2750.0,2750.0,1000
2012-06-06,1014.619384765625,2750.0,2750.0,2750.0,2750.0,1000
2012-06-07,1014.619384765625,2750.0,2750.0,2750.0,2750.0,1000
2012-06-08,1014.619384765625,2750.0,2750.0,2750.0,2750.0,2000
2012-06-11,1014.619384765625,2750.0,2750.0,2750.0,2750.0,2000
2012-06-12,950.052490234375,2575.0,2575.0,2575.0,2575.0,1500
2012-06-13,996.1716918945312,2700.0,2700.0,2700.0,2700.0,500
2012-06-14,996.1716918945312,2700.0,2700.0,2700.0,2700.0,500
2012-06-15,922.381103515625,2500.0,2500.0,2500.0,2500.0,5500
2012-06-18,922.381103515625,2500.0,2500.0,2500.0,2500.0,0
2012-06-19,996.1716918945312,2700.0,2700.0,2700.0,2700.0,3500
2012-06-20,1005.3950805664062,2725.0,2725.0,2700.0,2725.0,1500
2012-06-21,1005.3950805664062,2725.0,2725.0,2725.0,2725.0,1500
2012-06-22,940.82861328125,2550.0,2675.0,2550.0,2550.0,1000
2012-06-25,940.82861328125,2550.0,2550.0,2550.0,2550.0,0
2012-06-26,950.052490234375,2575.0,2575.0,2575.0,2550.0,500
2012-06-27,950.052490234375,2575.0,2575.0,2575.0,2575.0,500
2012-06-28,950.052490234375,2575.0,2575.0,2575.0,2575.0,500
2012-06-29,968.50048828125,2625.0,2625.0,2575.0,2575.0,150500
2012-07-02,950.052490234375,2575.0,2575.0,2575.0,2575.0,4000
2012-07-03,950.052490234375,2575.0,2600.0,2575.0,2575.0,4000
2012-07-04,986.9478149414062,2675.0,2675.0,2675.0,2675.0,500
2012-07-05,986.9478149414062,2675.0,2675.0,2675.0,2675.0,500
2012-07-06,986.9478149414062,2675.0,2675.0,2675.0,2675.0,500
2012-07-09,986.9478149414062,2675.0,2675.0,2675.0,2675.0,500
