Date,Adj Close_ICBP.JK,Close_ICBP.JK,High_ICBP.JK,Low_ICBP.JK,Open_ICBP.JK,Volume_ICBP.JK
2025-10-13,8800.0,8800.0,8925.0,8800.0,8850.0,4920500
2025-10-14,8475.0,8475.0,8900.0,8475.0,8900.0,10863600
2025-10-15,8675.0,8675.0,8750.0,8425.0,8500.0,9029700
2025-10-16,9250.0,9250.0,9300.0,8650.0,8700.0,10168600
2025-10-17,9400.0,9400.0,9400.0,9025.0,9300.0,8398300
2025-10-20,9375.0,9375.0,9550.0,9275.0,9425.0,7951500
2025-10-21,9275.0,9275.0,9500.0,9225.0,9500.0,3346700
2025-10-22,8900.0,8900.0,9325.0,8900.0,9300.0,7695400
2025-10-23,8825.0,8825.0,8950.0,8725.0,8900.0,14457700
2025-10-24,8800.0,8800.0,8950.0,8800.0,8850.0,7447900
2025-10-27,8850.0,8850.0,8975.0,8750.0,8800.0,8921900
2025-10-28,8775.0,8775.0,8925.0,8700.0,8875.0,12338900
2025-10-29,8700.0,8700.0,8825.0,8650.0,8800.0,16526500
2025-10-30,8800.0,8800.0,8875.0,8700.0,8700.0,13885200
2025-10-31,8700.0,8700.0,8850.0,8700.0,8800.0,9693500
2025-11-03,8500.0,8500.0,8700.0,8500.0,8700.0,14837200
2025-11-04,8475.0,8475.0,8600.0,8475.0,8500.0,14071000
2025-11-05,8700.0,8700.0,8700.0,8475.0,8500.0,7693000
2025-11-06,8575.0,8575.0,8675.0,8550.0,8650.0,15202700
2025-11-07,8600.0,8600.0,8650.0,8550.0,8550.0,5446000
2025-11-10,8650.0,8650.0,8725.0,8600.0,8700.0,6371300
2025-11-11,8550.0,8550.0,8725.0,8525.0,8725.0,9738300
2025-11-12,8525.0,8525.0,8675.0,8525.0,8550.0,7459700
2025-11-13,8475.0,8475.0,8600.0,8475.0,8525.0,9366500
2025-11-14,8425.0,8425.0,8550.0,8425.0,8500.0,9077300
2025-11-17,8375.0,8375.0,8700.0,8325.0,8500.0,21504300
2025-11-18,8325.0,8325.0,8475.0,8325.0,8375.0,14213100
2025-11-19,8400.0,8400.0,8525.0,8325.0,8325.0,20237100
2025-11-20,8325.0,8325.0,8525.0,8325.0,8500.0,15336300
2025-11-21,8350.0,8350.0,8400.0,8325.0,8350.0,9262700
2025-11-24,8350.0,8350.0,8450.0,8200.0,8350.0,176275900
2025-11-25,8575.0,8575.0,8600.0,8450.0,8450.0,36155100
2025-11-26,8600.0,8600.0,8650.0,8525.0,8625.0,19741000
2025-11-27,8550.0,8550.0,8625.0,8500.0,8600.0,17082500
2025-11-28,8450.0,8450.0,8600.0,8425.0,8575.0,8785500
2025-12-01,8400.0,8400.0,8475.0,8400.0,8425.0,5346900
2025-12-02,8100.0,8100.0,8425.0,8050.0,8400.0,43427600
2025-12-03,8125.0,8125.0,8200.0,8100.0,8100.0,10525100
2025-12-04,8200.0,8200.0,8250.0,8100.0,8225.0,13673600
2025-12-05,8050.0,8050.0,8200.0,8050.0,8200.0,16859700
2025-12-08,8075.0,8075.0,8200.0,8075.0,8100.0,11661200
2025-12-09,8000.0,8000.0,8125.0,8000.0,8100.0,16634200
2025-12-10,8025.0,8025.0,8075.0,8000.0,8000.0,8871000
2025-12-11,8025.0,8025.0,8150.0,7950.0,8050.0,10206100
2025-12-12,8075.0,8075.0,8100.0,7975.0,8100.0,8185400
2025-12-15,8300.0,8300.0,8375.0,8075.0,8225.0,15671200
2025-12-16,8350.0,8350.0,8400.0,8225.0,8325.0,17355800
2025-12-17,8325.0,8325.0,8400.0,8300.0,8350.0,5997500
2025-12-18,8250.0,8250.0,8400.0,8200.0,8325.0,6171700
2025-12-19,8425.0,8425.0,8425.0,8225.0,8250.0,11114100
2025-12-22,8350.0,8350.0,8400.0,8275.0,8400.0,6241200
2025-12-23,8250.0,8250.0,8350.0,8225.0,8350.0,4615400
2025-12-24,8250.0,8250.0,8275.0,8200.0,8200.0,1899500
