Date,Adj Close_INDF.JK,Close_INDF.JK,High_INDF.JK,Low_INDF.JK,Open_INDF.JK,Volume_INDF.JK
2025-10-13,7200.0,7200.0,7250.0,7025.0,7100.0,5518800
2025-10-14,7050.0,7050.0,7250.0,7050.0,7250.0,4104000
2025-10-15,6900.0,6900.0,7100.0,6875.0,7050.0,8979000
2025-10-16,7075.0,7075.0,7225.0,6850.0,6900.0,13547200
2025-10-17,7125.0,7125.0,7200.0,7075.0,7150.0,6505800
2025-10-20,7250.0,7250.0,7300.0,7125.0,7125.0,10833500
2025-10-21,7275.0,7275.0,7325.0,7175.0,7325.0,4968000
2025-10-22,7175.0,7175.0,7375.0,7175.0,7225.0,8148100
2025-10-23,7375.0,7375.0,7425.0,7100.0,7100.0,6107200
2025-10-24,7300.0,7300.0,7425.0,7300.0,7400.0,7664600
2025-10-27,7450.0,7450.0,7450.0,7300.0,7300.0,12897100
2025-10-28,7500.0,7500.0,7575.0,7425.0,7500.0,8341000
2025-10-29,7425.0,7425.0,7450.0,7325.0,7450.0,5612700
2025-10-30,7400.0,7400.0,7500.0,7375.0,7400.0,10517900
2025-10-31,7400.0,7400.0,7450.0,7275.0,7400.0,11495400
2025-11-03,7200.0,7200.0,7425.0,7200.0,7400.0,7609300
2025-11-04,7075.0,7075.0,7250.0,7050.0,7200.0,18602600
2025-11-05,7125.0,7125.0,7150.0,7025.0,7075.0,10041400
2025-11-06,7025.0,7025.0,7125.0,7025.0,7125.0,8261500
2025-11-07,7125.0,7125.0,7150.0,7050.0,7075.0,4622900
2025-11-10,7100.0,7100.0,7175.0,7100.0,7150.0,5129400
2025-11-11,7050.0,7050.0,7150.0,7025.0,7150.0,4661800
2025-11-12,7175.0,7175.0,7175.0,7050.0,7050.0,5851900
2025-11-13,7150.0,7150.0,7250.0,7100.0,7150.0,8371600
2025-11-14,7100.0,7100.0,7175.0,7100.0,7150.0,5161800
2025-11-17,7100.0,7100.0,7150.0,7075.0,7100.0,4245000
2025-11-18,7000.0,7000.0,7125.0,7000.0,7100.0,7331100
2025-11-19,7025.0,7025.0,7050.0,7000.0,7025.0,5448800
2025-11-20,7075.0,7075.0,7175.0,7025.0,7025.0,8110900
2025-11-21,7125.0,7125.0,7125.0,7025.0,7050.0,7423400
2025-11-24,7450.0,7450.0,7450.0,7100.0,7150.0,18591600
2025-11-25,7250.0,7250.0,7350.0,7175.0,7325.0,7894800
2025-11-26,7425.0,7425.0,7425.0,7225.0,7250.0,7662600
2025-11-27,7375.0,7375.0,7425.0,7275.0,7425.0,4580000
2025-11-28,7350.0,7350.0,7400.0,7300.0,7350.0,4591700
2025-12-01,7350.0,7350.0,7425.0,7225.0,7225.0,4108900
2025-12-02,7200.0,7200.0,7450.0,7200.0,7375.0,7221100
2025-12-03,7050.0,7050.0,7275.0,7050.0,7200.0,9217900
2025-12-04,7025.0,7025.0,7100.0,7025.0,7050.0,4479400
2025-12-05,7100.0,7100.0,7125.0,7000.0,7050.0,8852600
2025-12-08,6975.0,6975.0,7150.0,6975.0,7150.0,8844700
2025-12-09,6850.0,6850.0,7000.0,6850.0,6975.0,12610800
2025-12-10,6900.0,6900.0,6950.0,6900.0,6900.0,3688400
2025-12-11,6575.0,6575.0,6950.0,6550.0,6900.0,35995900
2025-12-12,6775.0,6775.0,6775.0,6625.0,6650.0,6481400
2025-12-15,6775.0,6775.0,6850.0,6700.0,6825.0,6213700
2025-12-16,6775.0,6775.0,6825.0,6750.0,6800.0,5528400
2025-12-17,6775.0,6775.0,6875.0,6775.0,6800.0,6792100
2025-12-18,6875.0,6875.0,6900.0,6775.0,6900.0,9005600
2025-12-19,6750.0,6750.0,6925.0,6750.0,6875.0,12787800
2025-12-22,6850.0,6850.0,6850.0,6775.0,6775.0,3858800
2025-12-23,6800.0,6800.0,6825.0,6750.0,6800.0,2079500
2025-12-24,6800.0,6800.0,6850.0,6775.0,6775.0,1566700
