Date,Adj Close_INDY.JK,Close_INDY.JK,High_INDY.JK,Low_INDY.JK,Open_INDY.JK,Volume_INDY.JK
2010-09-06,2128.332763671875,3275.0,3300.0,3225.0,3275.0,23653000
2010-09-07,2112.086181640625,3250.0,3300.0,3225.0,3250.0,7149000
2010-09-15,2112.086181640625,3250.0,3275.0,3225.0,3250.0,12209000
2010-09-16,2112.086181640625,3250.0,3275.0,3225.0,3250.0,16348000
2010-09-17,2144.579833984375,3300.0,3350.0,3250.0,3300.0,50257500
2010-09-20,2112.086181640625,3250.0,3325.0,3225.0,3250.0,15496000
2010-09-21,2095.839111328125,3225.0,3300.0,3150.0,3225.0,13108500
2010-09-22,2079.59228515625,3200.0,3250.0,3150.0,3200.0,24264000
2010-09-23,2014.6053466796875,3100.0,3200.0,3075.0,3100.0,9967000
2010-09-24,2095.839111328125,3225.0,3225.0,3075.0,3225.0,12982500
2010-09-27,2079.59228515625,3200.0,3275.0,3175.0,3200.0,19373000
2010-09-28,2079.59228515625,3200.0,3200.0,3150.0,3200.0,12446000
2010-09-29,2079.59228515625,3200.0,3250.0,3150.0,3200.0,34756000
2010-09-30,2160.826416015625,3325.0,3350.0,3200.0,3325.0,42435500
2010-10-01,2209.566650390625,3400.0,3425.0,3325.0,3400.0,43626000
2010-10-04,2193.320068359375,3375.0,3425.0,3350.0,3375.0,18578500
2010-10-05,2177.0732421875,3350.0,3375.0,3325.0,3350.0,21673000
2010-10-06,2209.566650390625,3400.0,3400.0,3350.0,3400.0,43458000
2010-10-07,2160.826416015625,3325.0,3400.0,3300.0,3325.0,15992500
2010-10-08,2160.826416015625,3325.0,3325.0,3275.0,3325.0,19703500
2010-10-11,2160.826416015625,3325.0,3375.0,3300.0,3325.0,17542000
2010-10-12,2144.579833984375,3300.0,3350.0,3275.0,3300.0,21577000
2010-10-13,2177.0732421875,3350.0,3375.0,3300.0,3350.0,32689500
2010-10-14,2209.566650390625,3400.0,3450.0,3350.0,3400.0,29588000
2010-10-15,2193.320068359375,3375.0,3400.0,3350.0,3375.0,12505000
