Date,Adj Close_INKP.JK,Close_INKP.JK,High_INKP.JK,Low_INKP.JK,Open_INKP.JK,Volume_INKP.JK
2025-10-13,7550.0,7550.0,7775.0,7525.0,7600.0,9270700
2025-10-14,7350.0,7350.0,7600.0,7300.0,7600.0,9590900
2025-10-15,7450.0,7450.0,7450.0,7225.0,7350.0,7296400
2025-10-16,7400.0,7400.0,7475.0,7325.0,7450.0,4309600
2025-10-17,7250.0,7250.0,7425.0,7225.0,7400.0,6017600
2025-10-20,7500.0,7500.0,7525.0,7250.0,7250.0,6116800
2025-10-21,7450.0,7450.0,7550.0,7425.0,7500.0,2887700
2025-10-22,7550.0,7550.0,7650.0,7475.0,7475.0,4998100
2025-10-23,7675.0,7675.0,7975.0,7525.0,7550.0,12752900
2025-10-24,7500.0,7500.0,7750.0,7450.0,7700.0,3903900
2025-10-27,7625.0,7625.0,7625.0,7400.0,7600.0,4453400
2025-10-28,7750.0,7750.0,7900.0,7625.0,7700.0,7457200
2025-10-29,7775.0,7775.0,7875.0,7750.0,7825.0,3614900
2025-10-30,7700.0,7700.0,7825.0,7675.0,7775.0,2743500
2025-10-31,7450.0,7450.0,7750.0,7450.0,7700.0,5746800
2025-11-03,7475.0,7475.0,7650.0,7425.0,7500.0,4087700
2025-11-04,7450.0,7450.0,7575.0,7400.0,7525.0,3332800
2025-11-05,7450.0,7450.0,7500.0,7350.0,7375.0,5703300
2025-11-06,7475.0,7475.0,7550.0,7375.0,7450.0,2418300
2025-11-07,7500.0,7500.0,7525.0,7350.0,7525.0,3649900
2025-11-10,7425.0,7425.0,7525.0,7425.0,7500.0,2721500
2025-11-11,7525.0,7525.0,7550.0,7450.0,7475.0,2969400
2025-11-12,7725.0,7725.0,8050.0,7500.0,7550.0,16558900
2025-11-13,7550.0,7550.0,7825.0,7525.0,7775.0,6695500
2025-11-14,7575.0,7575.0,7650.0,7500.0,7525.0,3896200
2025-11-17,7575.0,7575.0,7700.0,7525.0,7600.0,5328400
2025-11-18,7625.0,7625.0,7625.0,7500.0,7525.0,4019200
2025-11-19,7500.0,7500.0,7625.0,7500.0,7625.0,3895900
2025-11-20,7675.0,7675.0,7825.0,7550.0,7550.0,6639500
2025-11-21,7600.0,7600.0,7675.0,7575.0,7600.0,2719900
2025-11-24,7625.0,7625.0,7650.0,7500.0,7650.0,4192500
2025-11-25,7900.0,7900.0,7950.0,7575.0,7675.0,11893800
2025-11-26,7900.0,7900.0,8150.0,7825.0,8000.0,13226000
2025-11-27,8025.0,8025.0,8100.0,7925.0,8000.0,4825100
2025-11-28,8775.0,8775.0,8825.0,8025.0,8100.0,35985700
2025-12-01,8700.0,8700.0,8850.0,8500.0,8750.0,10805200
2025-12-02,8650.0,8650.0,8900.0,8575.0,8700.0,6940100
2025-12-03,8750.0,8750.0,8800.0,8500.0,8675.0,5193300
2025-12-04,8625.0,8625.0,8875.0,8575.0,8750.0,4370400
2025-12-05,8525.0,8525.0,8625.0,8375.0,8625.0,6169800
2025-12-08,8800.0,8800.0,8950.0,8525.0,8525.0,14149100
2025-12-09,8200.0,8200.0,8850.0,8200.0,8825.0,19822300
2025-12-10,7900.0,7900.0,8300.0,7800.0,8300.0,18754400
2025-12-11,7875.0,7875.0,8225.0,7725.0,7900.0,15690600
2025-12-12,8200.0,8200.0,8325.0,7950.0,7975.0,12014900
2025-12-15,7950.0,7950.0,8250.0,7950.0,8250.0,7010300
2025-12-16,8000.0,8000.0,8025.0,7875.0,7975.0,4922900
2025-12-17,8075.0,8075.0,8175.0,7925.0,8000.0,7545300
2025-12-18,7950.0,7950.0,8100.0,7950.0,8075.0,6485400
2025-12-19,8050.0,8050.0,8050.0,7900.0,7975.0,4170500
2025-12-22,8125.0,8125.0,8150.0,7975.0,8050.0,3578900
2025-12-23,8100.0,8100.0,8175.0,8000.0,8125.0,3662700
2025-12-24,8050.0,8050.0,8150.0,8050.0,8125.0,3079600
