Date,Adj Close_ISAT.JK,Close_ISAT.JK,High_ISAT.JK,Low_ISAT.JK,Open_ISAT.JK,Volume_ISAT.JK
2025-10-13,1820.0,1820.0,1930.0,1805.0,1930.0,27310400
2025-10-14,1755.0,1755.0,1845.0,1750.0,1815.0,18417300
2025-10-15,1925.0,1925.0,1925.0,1765.0,1765.0,73032800
2025-10-16,1835.0,1835.0,1900.0,1830.0,1900.0,15922100
2025-10-17,1755.0,1755.0,1845.0,1755.0,1835.0,11062000
2025-10-20,1805.0,1805.0,1825.0,1770.0,1770.0,10362800
2025-10-21,1920.0,1920.0,1920.0,1810.0,1815.0,28596300
2025-10-22,1855.0,1855.0,1930.0,1855.0,1920.0,15816200
2025-10-23,1970.0,1970.0,2000.0,1875.0,1875.0,30437200
2025-10-24,1910.0,1910.0,1990.0,1910.0,1990.0,16981800
2025-10-27,1945.0,1945.0,1945.0,1850.0,1920.0,9654100
2025-10-28,1950.0,1950.0,1970.0,1910.0,1945.0,13093500
2025-10-29,1905.0,1905.0,1950.0,1900.0,1950.0,9337200
2025-10-30,1885.0,1885.0,1930.0,1860.0,1905.0,17567600
2025-10-31,1885.0,1885.0,1905.0,1855.0,1885.0,26123200
2025-11-03,1925.0,1925.0,1950.0,1885.0,1885.0,14585400
2025-11-04,1925.0,1925.0,1945.0,1890.0,1930.0,9730500
2025-11-05,1945.0,1945.0,1945.0,1900.0,1925.0,8165900
2025-11-06,1975.0,1975.0,1985.0,1935.0,1945.0,16992500
2025-11-07,2150.0,2150.0,2160.0,1975.0,1990.0,58884400
2025-11-10,2070.0,2070.0,2180.0,2060.0,2150.0,24597900
2025-11-11,2220.0,2220.0,2220.0,2060.0,2100.0,28870000
2025-11-12,2160.0,2160.0,2250.0,2160.0,2230.0,22771500
2025-11-13,2100.0,2100.0,2190.0,2070.0,2170.0,14844800
2025-11-14,2040.0,2040.0,2100.0,2030.0,2100.0,8725800
2025-11-17,2040.0,2040.0,2080.0,2020.0,2040.0,9205000
2025-11-18,2050.0,2050.0,2080.0,2040.0,2040.0,7931800
2025-11-19,2120.0,2120.0,2150.0,2050.0,2070.0,13989200
2025-11-20,2140.0,2140.0,2160.0,2130.0,2140.0,10409000
2025-11-21,2060.0,2060.0,2130.0,2040.0,2130.0,12358100
2025-11-24,2170.0,2170.0,2240.0,2100.0,2120.0,32438300
2025-11-25,2260.0,2260.0,2260.0,2170.0,2180.0,23118400
2025-11-26,2270.0,2270.0,2280.0,2190.0,2260.0,14242800
2025-11-27,2300.0,2300.0,2390.0,2290.0,2290.0,26109900
2025-11-28,2390.0,2390.0,2440.0,2270.0,2300.0,22715800
2025-12-01,2340.0,2340.0,2430.0,2300.0,2410.0,24155000
2025-12-02,2350.0,2350.0,2350.0,2300.0,2330.0,11050900
2025-12-03,2310.0,2310.0,2370.0,2310.0,2370.0,3206800
2025-12-04,2310.0,2310.0,2330.0,2240.0,2310.0,13622200
2025-12-05,2350.0,2350.0,2370.0,2310.0,2320.0,9291600
2025-12-08,2440.0,2440.0,2600.0,2360.0,2360.0,39802800
2025-12-09,2400.0,2400.0,2510.0,2370.0,2460.0,15549200
2025-12-10,2400.0,2400.0,2510.0,2390.0,2440.0,27876400
2025-12-11,2380.0,2380.0,2420.0,2320.0,2400.0,9782700
2025-12-12,2360.0,2360.0,2400.0,2360.0,2380.0,10060100
2025-12-15,2370.0,2370.0,2470.0,2350.0,2380.0,16679400
2025-12-16,2380.0,2380.0,2480.0,2290.0,2390.0,22235500
2025-12-17,2470.0,2470.0,2470.0,2380.0,2400.0,13684500
2025-12-18,2390.0,2390.0,2480.0,2380.0,2470.0,16617700
2025-12-19,2430.0,2430.0,2470.0,2360.0,2400.0,32107500
2025-12-22,2440.0,2440.0,2470.0,2420.0,2450.0,8101100
2025-12-23,2420.0,2420.0,2440.0,2370.0,2440.0,7507400
2025-12-24,2400.0,2400.0,2430.0,2390.0,2420.0,10431800
