Date,Adj Close_ITMG.JK,Close_ITMG.JK,High_ITMG.JK,Low_ITMG.JK,Open_ITMG.JK,Volume_ITMG.JK
2007-12-18,3000.81689453125,19600.0,19600.0,16000.0,16000.0,45450000
2007-12-19,2908.955810546875,19000.0,20100.0,18900.0,19000.0,12470000
2007-12-26,2908.955810546875,19000.0,19000.0,19000.0,19000.0,0
2007-12-27,2908.955810546875,19000.0,19050.0,18600.0,18550.0,4807000
2007-12-28,2893.6455078125,18900.0,19050.0,18550.0,19000.0,1593000
2007-12-31,2893.6455078125,18900.0,18900.0,18900.0,18900.0,0
2008-01-02,2893.6455078125,18900.0,18900.0,18900.0,18900.0,0
2008-01-03,2778.8173828125,18150.0,18300.0,18050.0,18150.0,2190500
2008-01-04,2870.68017578125,18750.0,18800.0,18300.0,18750.0,1255000
2008-01-07,3184.540771484375,20800.0,20850.0,18650.0,20800.0,7813500
2008-01-08,3153.9208984375,20600.0,21500.0,20300.0,20600.0,4348000
2008-01-09,3192.19580078125,20850.0,21000.0,20300.0,20850.0,3727000
2008-01-14,3368.263427734375,22000.0,22850.0,20900.0,22000.0,9896000
2008-01-15,3368.263427734375,22000.0,23300.0,21800.0,22000.0,8141000
2008-01-16,3368.263427734375,22000.0,22200.0,21300.0,22000.0,9074500
2008-01-17,3712.74560546875,24250.0,24300.0,22100.0,24250.0,5952500
2008-01-18,3743.36669921875,24450.0,25000.0,23300.0,24450.0,6156000
2008-01-21,3498.40185546875,22850.0,24800.0,22550.0,22850.0,3929500
2008-01-22,3345.29931640625,21850.0,21850.0,20800.0,21850.0,13868000
2008-01-23,3613.2294921875,23600.0,24100.0,22200.0,23600.0,4258000
2008-01-24,3643.8486328125,23800.0,24500.0,23700.0,23800.0,1982000
2008-01-25,3865.848388671875,25250.0,25450.0,24000.0,25250.0,7085500
2008-01-28,4256.26123046875,27800.0,28050.0,24900.0,27800.0,6364000
2008-01-29,4462.94921875,29150.0,29500.0,28000.0,29150.0,5321500
2008-01-30,4409.36376953125,28800.0,29500.0,28050.0,28800.0,1441500
2008-01-31,4332.81201171875,28300.0,29300.0,28200.0,28300.0,2901000
2008-02-01,4133.77880859375,27000.0,28800.0,26000.0,27000.0,3892000
2008-02-04,4133.77880859375,27000.0,28900.0,26950.0,27000.0,2999500
2008-02-05,4309.8466796875,28150.0,29000.0,27500.0,28150.0,9125000
2008-02-06,4225.64013671875,27600.0,27900.0,27050.0,28150.0,3140500
