Date,Adj Close_KLBF.JK,Close_KLBF.JK,High_KLBF.JK,Low_KLBF.JK,Open_KLBF.JK,Volume_KLBF.JK
2025-10-13,1085.0,1085.0,1115.0,1055.0,1065.0,66540900
2025-10-14,1055.0,1055.0,1110.0,1055.0,1095.0,55476800
2025-10-15,1085.0,1085.0,1090.0,1055.0,1065.0,100033400
2025-10-16,1190.0,1190.0,1190.0,1095.0,1100.0,144767000
2025-10-17,1190.0,1190.0,1190.0,1140.0,1190.0,92124900
2025-10-20,1200.0,1200.0,1225.0,1165.0,1200.0,102938300
2025-10-21,1220.0,1220.0,1230.0,1190.0,1230.0,61675400
2025-10-22,1180.0,1180.0,1215.0,1180.0,1200.0,47977900
2025-10-23,1185.0,1185.0,1210.0,1165.0,1165.0,42036800
2025-10-24,1225.0,1225.0,1285.0,1185.0,1185.0,136374100
2025-10-27,1275.0,1275.0,1290.0,1220.0,1240.0,147021500
2025-10-28,1330.0,1330.0,1345.0,1275.0,1290.0,131078000
2025-10-29,1325.0,1325.0,1340.0,1310.0,1335.0,49672400
2025-10-30,1315.0,1315.0,1340.0,1300.0,1320.0,51262000
2025-10-31,1275.0,1275.0,1325.0,1245.0,1315.0,77521700
2025-11-03,1250.0,1250.0,1295.0,1245.0,1275.0,47089200
2025-11-04,1225.0,1225.0,1260.0,1200.0,1240.0,82252800
2025-11-05,1320.0,1320.0,1320.0,1215.0,1225.0,113133900
2025-11-06,1250.0,1250.0,1310.0,1250.0,1295.0,148218800
2025-11-07,1265.0,1265.0,1300.0,1255.0,1255.0,103737300
2025-11-10,1270.0,1270.0,1295.0,1270.0,1280.0,55426800
2025-11-11,1285.0,1285.0,1290.0,1250.0,1290.0,51423600
2025-11-12,1265.0,1265.0,1310.0,1265.0,1285.0,46610400
2025-11-13,1285.0,1285.0,1295.0,1275.0,1280.0,36067000
2025-11-14,1235.0,1235.0,1295.0,1230.0,1290.0,80370400
2025-11-17,1225.0,1225.0,1255.0,1225.0,1235.0,50255000
2025-11-18,1180.0,1180.0,1235.0,1180.0,1225.0,127789000
2025-11-19,1230.0,1230.0,1245.0,1195.0,1200.0,152788800
2025-11-20,1210.0,1210.0,1245.0,1200.0,1230.0,91578500
2025-11-21,1210.0,1210.0,1230.0,1190.0,1200.0,130150400
2025-11-24,1170.0,1170.0,1220.0,1170.0,1200.0,1980522600
2025-11-25,1230.0,1230.0,1240.0,1175.0,1180.0,382404300
2025-11-26,1255.0,1255.0,1280.0,1225.0,1235.0,156911100
2025-11-27,1225.0,1225.0,1260.0,1220.0,1255.0,118868900
2025-11-28,1200.0,1200.0,1240.0,1200.0,1230.0,102883300
2025-12-01,1205.0,1205.0,1220.0,1190.0,1200.0,55450200
2025-12-02,1140.0,1140.0,1205.0,1115.0,1200.0,376504800
2025-12-03,1175.0,1175.0,1185.0,1140.0,1150.0,159365800
2025-12-04,1190.0,1190.0,1205.0,1160.0,1185.0,117885800
2025-12-05,1160.0,1160.0,1195.0,1155.0,1190.0,66764200
2025-12-08,1190.0,1190.0,1195.0,1160.0,1175.0,85060100
2025-12-09,1170.0,1170.0,1200.0,1155.0,1200.0,128666300
2025-12-10,1175.0,1175.0,1180.0,1160.0,1170.0,76714900
2025-12-11,1135.0,1135.0,1170.0,1135.0,1160.0,61058000
2025-12-12,1160.0,1160.0,1170.0,1130.0,1155.0,40485600
2025-12-15,1220.0,1220.0,1230.0,1165.0,1175.0,143415000
2025-12-16,1200.0,1200.0,1225.0,1175.0,1225.0,84031800
2025-12-17,1225.0,1225.0,1225.0,1200.0,1205.0,67928600
2025-12-18,1225.0,1225.0,1255.0,1210.0,1215.0,88737900
2025-12-19,1200.0,1200.0,1230.0,1200.0,1225.0,59204600
2025-12-22,1225.0,1225.0,1225.0,1200.0,1210.0,38199100
2025-12-23,1215.0,1215.0,1220.0,1195.0,1215.0,33588200
2025-12-24,1210.0,1210.0,1230.0,1195.0,1195.0,40215200
