Date,Adj Close_MAPI.JK,Close_MAPI.JK,High_MAPI.JK,Low_MAPI.JK,Open_MAPI.JK,Volume_MAPI.JK
2025-10-13,1180.0,1180.0,1200.0,1150.0,1185.0,24427500
2025-10-14,1160.0,1160.0,1195.0,1150.0,1190.0,17901800
2025-10-15,1150.0,1150.0,1170.0,1140.0,1165.0,20718000
2025-10-16,1250.0,1250.0,1265.0,1155.0,1160.0,76109200
2025-10-17,1265.0,1265.0,1290.0,1235.0,1250.0,55258200
2025-10-20,1270.0,1270.0,1310.0,1240.0,1275.0,29498500
2025-10-21,1240.0,1240.0,1290.0,1230.0,1285.0,19716400
2025-10-22,1215.0,1215.0,1250.0,1215.0,1240.0,19847400
2025-10-23,1240.0,1240.0,1270.0,1215.0,1220.0,38645500
2025-10-24,1190.0,1190.0,1250.0,1185.0,1245.0,31377600
2025-10-27,1185.0,1185.0,1205.0,1160.0,1190.0,33528100
2025-10-28,1275.0,1275.0,1275.0,1190.0,1200.0,50230100
2025-10-29,1290.0,1290.0,1305.0,1240.0,1275.0,39887500
2025-10-30,1320.0,1320.0,1320.0,1265.0,1290.0,29769800
2025-10-31,1290.0,1290.0,1320.0,1265.0,1315.0,38602500
2025-11-03,1310.0,1310.0,1360.0,1310.0,1320.0,39950100
2025-11-04,1320.0,1320.0,1330.0,1285.0,1310.0,18798800
2025-11-05,1410.0,1410.0,1425.0,1300.0,1320.0,68055700
2025-11-06,1440.0,1440.0,1495.0,1410.0,1450.0,82296500
2025-11-07,1390.0,1390.0,1445.0,1385.0,1440.0,30503900
2025-11-10,1420.0,1420.0,1420.0,1375.0,1405.0,12955400
2025-11-11,1350.0,1350.0,1420.0,1325.0,1420.0,33732900
2025-11-12,1340.0,1340.0,1370.0,1325.0,1360.0,14101900
2025-11-13,1325.0,1325.0,1345.0,1305.0,1345.0,21116200
2025-11-14,1300.0,1300.0,1320.0,1265.0,1320.0,25539500
2025-11-17,1340.0,1340.0,1355.0,1305.0,1320.0,27974000
2025-11-18,1320.0,1320.0,1350.0,1305.0,1340.0,18020600
2025-11-19,1325.0,1325.0,1340.0,1320.0,1320.0,6630800
2025-11-20,1320.0,1320.0,1350.0,1320.0,1330.0,12870600
2025-11-21,1295.0,1295.0,1350.0,1295.0,1320.0,19141300
2025-11-24,1300.0,1300.0,1325.0,1290.0,1300.0,16285700
2025-11-25,1290.0,1290.0,1320.0,1285.0,1310.0,13710200
2025-11-26,1245.0,1245.0,1295.0,1235.0,1290.0,30942500
2025-11-27,1235.0,1235.0,1270.0,1225.0,1245.0,33267600
2025-11-28,1230.0,1230.0,1245.0,1215.0,1245.0,17227300
2025-12-01,1220.0,1220.0,1240.0,1195.0,1230.0,42572400
2025-12-02,1220.0,1220.0,1230.0,1195.0,1225.0,19856200
2025-12-03,1225.0,1225.0,1225.0,1200.0,1220.0,23830800
2025-12-04,1265.0,1265.0,1265.0,1225.0,1235.0,28207400
2025-12-05,1225.0,1225.0,1270.0,1225.0,1265.0,16229800
2025-12-08,1215.0,1215.0,1245.0,1205.0,1235.0,16640800
2025-12-09,1185.0,1185.0,1225.0,1180.0,1215.0,27125000
2025-12-10,1190.0,1190.0,1210.0,1180.0,1190.0,12217500
2025-12-11,1165.0,1165.0,1200.0,1145.0,1195.0,20885400
2025-12-12,1190.0,1190.0,1195.0,1160.0,1165.0,19715100
2025-12-15,1175.0,1175.0,1200.0,1165.0,1195.0,10523200
2025-12-16,1155.0,1155.0,1180.0,1150.0,1175.0,18239300
2025-12-17,1225.0,1225.0,1225.0,1165.0,1170.0,33072800
2025-12-18,1195.0,1195.0,1225.0,1195.0,1225.0,13141700
2025-12-19,1180.0,1180.0,1210.0,1180.0,1210.0,10032200
2025-12-22,1205.0,1205.0,1220.0,1180.0,1200.0,15513600
2025-12-23,1180.0,1180.0,1210.0,1175.0,1210.0,13355100
2025-12-24,1190.0,1190.0,1190.0,1165.0,1180.0,10185600
