Date,Adj Close_MBMA.JK,Close_MBMA.JK,High_MBMA.JK,Low_MBMA.JK,Open_MBMA.JK,Volume_MBMA.JK
2025-10-13,615.0,615.0,635.0,595.0,610.0,244334200
2025-10-14,585.0,585.0,660.0,525.0,625.0,672396500
2025-10-15,610.0,610.0,615.0,575.0,600.0,311596600
2025-10-16,595.0,595.0,625.0,595.0,610.0,209847800
2025-10-17,550.0,550.0,595.0,530.0,595.0,297479900
2025-10-20,580.0,580.0,595.0,535.0,550.0,201475400
2025-10-21,605.0,605.0,610.0,585.0,585.0,161661100
2025-10-22,580.0,580.0,605.0,565.0,605.0,130513000
2025-10-23,585.0,585.0,600.0,580.0,590.0,70954400
2025-10-24,585.0,585.0,610.0,580.0,595.0,99273100
2025-10-27,610.0,610.0,610.0,555.0,590.0,251873300
2025-10-28,635.0,635.0,675.0,610.0,620.0,942103000
2025-10-29,640.0,640.0,655.0,615.0,635.0,187783700
2025-10-30,660.0,660.0,670.0,640.0,650.0,282127600
2025-10-31,630.0,630.0,655.0,630.0,655.0,179266000
2025-11-03,640.0,640.0,640.0,615.0,615.0,144463700
2025-11-04,630.0,630.0,645.0,615.0,640.0,104956000
2025-11-05,645.0,645.0,645.0,605.0,620.0,162917800
2025-11-06,645.0,645.0,660.0,625.0,645.0,197495800
2025-11-07,645.0,645.0,660.0,630.0,640.0,115837300
2025-11-10,685.0,685.0,690.0,635.0,650.0,386728500
2025-11-11,680.0,680.0,750.0,670.0,695.0,1017299700
2025-11-12,670.0,670.0,700.0,665.0,685.0,206126500
2025-11-13,660.0,660.0,680.0,650.0,675.0,136882400
2025-11-14,635.0,635.0,655.0,625.0,655.0,206776300
2025-11-17,585.0,585.0,635.0,580.0,635.0,384690700
2025-11-18,575.0,575.0,590.0,560.0,585.0,201423600
2025-11-19,565.0,565.0,590.0,560.0,575.0,125211700
2025-11-20,565.0,565.0,580.0,565.0,575.0,94360900
2025-11-21,560.0,560.0,570.0,540.0,565.0,177126700
2025-11-24,550.0,550.0,575.0,550.0,565.0,148148700
2025-11-25,585.0,585.0,585.0,550.0,555.0,340148200
2025-11-26,585.0,585.0,595.0,575.0,590.0,155997200
2025-11-27,570.0,570.0,590.0,565.0,590.0,150281500
2025-11-28,545.0,545.0,570.0,540.0,570.0,191457800
2025-12-01,550.0,550.0,560.0,535.0,545.0,132493900
2025-12-02,545.0,545.0,560.0,540.0,555.0,111213200
2025-12-03,530.0,530.0,550.0,530.0,545.0,112044300
2025-12-04,535.0,535.0,545.0,530.0,535.0,74872600
2025-12-05,535.0,535.0,545.0,530.0,535.0,62998800
2025-12-08,555.0,555.0,560.0,540.0,540.0,136362300
2025-12-09,540.0,540.0,565.0,535.0,560.0,108461000
2025-12-10,560.0,560.0,570.0,530.0,545.0,209689500
2025-12-11,535.0,535.0,570.0,525.0,565.0,191203500
2025-12-12,535.0,535.0,545.0,525.0,535.0,82737500
2025-12-15,535.0,535.0,560.0,530.0,535.0,161743400
2025-12-16,530.0,530.0,540.0,525.0,535.0,74609200
2025-12-17,535.0,535.0,540.0,525.0,530.0,59367100
2025-12-18,545.0,545.0,565.0,540.0,555.0,159644400
2025-12-19,530.0,530.0,565.0,530.0,550.0,137468200
2025-12-22,540.0,540.0,545.0,530.0,535.0,81651400
2025-12-23,560.0,560.0,575.0,535.0,545.0,282523700
2025-12-24,545.0,545.0,575.0,540.0,570.0,145116200
