Date,Adj Close_MDKA.JK,Close_MDKA.JK,High_MDKA.JK,Low_MDKA.JK,Open_MDKA.JK,Volume_MDKA.JK
2025-10-13,2370.0,2370.0,2390.0,2280.0,2330.0,49754800
2025-10-14,2350.0,2350.0,2440.0,2240.0,2410.0,123642800
2025-10-15,2350.0,2350.0,2430.0,2310.0,2380.0,71020400
2025-10-16,2400.0,2400.0,2420.0,2340.0,2340.0,54040300
2025-10-17,2340.0,2340.0,2450.0,2320.0,2420.0,109521900
2025-10-20,2280.0,2280.0,2350.0,2240.0,2340.0,58329400
2025-10-21,2370.0,2370.0,2430.0,2320.0,2320.0,66054900
2025-10-22,2270.0,2270.0,2320.0,2250.0,2310.0,43104200
2025-10-23,2230.0,2230.0,2300.0,2210.0,2300.0,41646300
2025-10-24,2220.0,2220.0,2260.0,2220.0,2240.0,23547100
2025-10-27,2250.0,2250.0,2250.0,2100.0,2220.0,52975100
2025-10-28,2170.0,2170.0,2270.0,2150.0,2250.0,65667000
2025-10-29,2460.0,2460.0,2460.0,2200.0,2200.0,237569000
2025-10-30,2500.0,2500.0,2500.0,2400.0,2450.0,89136100
2025-10-31,2440.0,2440.0,2520.0,2420.0,2520.0,50322700
2025-11-03,2420.0,2420.0,2470.0,2390.0,2460.0,31397600
2025-11-04,2420.0,2420.0,2450.0,2380.0,2420.0,41737400
2025-11-05,2430.0,2430.0,2430.0,2320.0,2400.0,34457700
2025-11-06,2430.0,2430.0,2470.0,2370.0,2430.0,47912200
2025-11-07,2420.0,2420.0,2450.0,2400.0,2430.0,22585400
2025-11-10,2500.0,2500.0,2510.0,2400.0,2450.0,66039800
2025-11-11,2500.0,2500.0,2570.0,2470.0,2550.0,82735200
2025-11-12,2420.0,2420.0,2500.0,2420.0,2500.0,39832800
2025-11-13,2460.0,2460.0,2470.0,2420.0,2430.0,40838000
2025-11-14,2410.0,2410.0,2450.0,2380.0,2450.0,28313100
2025-11-17,2260.0,2260.0,2400.0,2240.0,2390.0,94282100
2025-11-18,2170.0,2170.0,2240.0,2080.0,2240.0,193176900
2025-11-19,2240.0,2240.0,2250.0,2170.0,2200.0,56898300
2025-11-20,2170.0,2170.0,2260.0,2170.0,2250.0,36764300
2025-11-21,2270.0,2270.0,2270.0,2140.0,2170.0,57952200
2025-11-24,2300.0,2300.0,2330.0,2220.0,2280.0,70511600
2025-11-25,2300.0,2300.0,2320.0,2270.0,2310.0,23402700
2025-11-26,2340.0,2340.0,2350.0,2290.0,2310.0,38991800
2025-11-27,2350.0,2350.0,2390.0,2320.0,2350.0,28361600
2025-11-28,2280.0,2280.0,2380.0,2280.0,2360.0,32960000
2025-12-01,2310.0,2310.0,2320.0,2270.0,2300.0,29439300
2025-12-02,2280.0,2280.0,2340.0,2280.0,2320.0,20031500
2025-12-03,2260.0,2260.0,2310.0,2200.0,2310.0,33970800
2025-12-04,2250.0,2250.0,2260.0,2210.0,2260.0,27269600
2025-12-05,2230.0,2230.0,2260.0,2200.0,2220.0,21861800
2025-12-08,2330.0,2330.0,2330.0,2220.0,2230.0,39530900
2025-12-09,2240.0,2240.0,2340.0,2240.0,2340.0,37403400
2025-12-10,2280.0,2280.0,2340.0,2240.0,2270.0,47920200
2025-12-11,2200.0,2200.0,2330.0,2150.0,2300.0,66675000
2025-12-12,2250.0,2250.0,2270.0,2170.0,2220.0,66023200
2025-12-15,2350.0,2350.0,2480.0,2250.0,2280.0,153363100
2025-12-16,2310.0,2310.0,2360.0,2270.0,2350.0,52851800
2025-12-17,2290.0,2290.0,2340.0,2280.0,2320.0,26770700
2025-12-18,2200.0,2200.0,2290.0,2190.0,2290.0,39767100
2025-12-19,2190.0,2190.0,2240.0,2160.0,2220.0,35838900
2025-12-22,2260.0,2260.0,2270.0,2220.0,2220.0,33154700
2025-12-23,2230.0,2230.0,2300.0,2210.0,2290.0,31550000
2025-12-24,2200.0,2200.0,2260.0,2180.0,2250.0,18123000
