Date,Adj Close_MEDC.JK,Close_MEDC.JK,High_MEDC.JK,Low_MEDC.JK,Open_MEDC.JK,Volume_MEDC.JK
2025-10-13,1501.795166015625,1535.0,1575.0,1445.0,1450.0,77683600
2025-10-14,1467.55224609375,1500.0,1560.0,1450.0,1550.0,63304400
2025-10-15,1364.8236083984375,1395.0,1495.0,1365.0,1495.0,106839600
2025-10-16,1369.7154541015625,1400.0,1415.0,1365.0,1410.0,40440900
2025-10-17,1315.9051513671875,1345.0,1400.0,1320.0,1395.0,42611600
2025-10-20,1340.3643798828125,1370.0,1380.0,1330.0,1350.0,36794700
2025-10-21,1369.7154541015625,1400.0,1410.0,1365.0,1380.0,32949200
2025-10-22,1359.9317626953125,1390.0,1415.0,1375.0,1400.0,30815800
2025-10-23,1399.0665283203125,1430.0,1435.0,1395.0,1415.0,69748600
2025-10-24,1345.2562255859375,1375.0,1445.0,1360.0,1445.0,67833200
2025-10-27,1301.2296142578125,1330.0,1380.0,1295.0,1375.0,64215600
2025-10-28,1281.662353515625,1310.0,1340.0,1300.0,1330.0,29685500
2025-10-29,1281.662353515625,1310.0,1325.0,1300.0,1310.0,33148900
2025-10-30,1306.1214599609375,1335.0,1355.0,1320.0,1320.0,35514700
2025-10-31,1301.2296142578125,1330.0,1335.0,1305.0,1330.0,39291300
2025-11-03,1311.0133056640625,1340.0,1360.0,1320.0,1340.0,35495000
2025-11-04,1350.1480712890625,1380.0,1385.0,1345.0,1345.0,52743400
2025-11-05,1311.0133056640625,1340.0,1365.0,1330.0,1365.0,34003500
2025-11-06,1301.2296142578125,1330.0,1335.0,1310.0,1330.0,24875500
2025-11-07,1291.4459228515625,1320.0,1330.0,1310.0,1320.0,25869100
2025-11-10,1286.5540771484375,1315.0,1335.0,1310.0,1330.0,34450000
2025-11-11,1275.0,1275.0,1305.0,1260.0,1305.0,67075200
2025-11-12,1280.0,1280.0,1300.0,1265.0,1275.0,37865200
2025-11-13,1285.0,1285.0,1310.0,1265.0,1270.0,56714000
2025-11-14,1295.0,1295.0,1300.0,1270.0,1285.0,26069000
2025-11-17,1290.0,1290.0,1310.0,1285.0,1305.0,21213200
2025-11-18,1260.0,1260.0,1290.0,1245.0,1290.0,44713300
2025-11-19,1270.0,1270.0,1280.0,1250.0,1260.0,25725700
2025-11-20,1285.0,1285.0,1295.0,1270.0,1275.0,26097000
2025-11-21,1265.0,1265.0,1285.0,1240.0,1285.0,33200600
2025-11-24,1320.0,1320.0,1340.0,1270.0,1280.0,71853200
2025-11-25,1325.0,1325.0,1350.0,1310.0,1335.0,41736900
2025-11-26,1325.0,1325.0,1330.0,1310.0,1325.0,24755000
2025-11-27,1325.0,1325.0,1350.0,1310.0,1325.0,37498500
2025-11-28,1325.0,1325.0,1335.0,1305.0,1330.0,25736000
2025-12-01,1335.0,1335.0,1340.0,1320.0,1330.0,24350400
2025-12-02,1335.0,1335.0,1345.0,1325.0,1335.0,23753900
2025-12-03,1310.0,1310.0,1340.0,1310.0,1335.0,16965800
2025-12-04,1285.0,1285.0,1305.0,1270.0,1305.0,34006600
2025-12-05,1320.0,1320.0,1320.0,1275.0,1285.0,21784600
2025-12-08,1320.0,1320.0,1335.0,1305.0,1325.0,21921800
2025-12-09,1285.0,1285.0,1315.0,1280.0,1315.0,28224600
2025-12-10,1275.0,1275.0,1300.0,1275.0,1290.0,19111400
2025-12-11,1230.0,1230.0,1290.0,1225.0,1275.0,44717300
2025-12-12,1315.0,1315.0,1315.0,1215.0,1230.0,57188500
2025-12-15,1285.0,1285.0,1325.0,1285.0,1315.0,26526200
2025-12-16,1250.0,1250.0,1280.0,1245.0,1275.0,31271400
2025-12-17,1280.0,1280.0,1315.0,1250.0,1265.0,49490400
2025-12-18,1265.0,1265.0,1300.0,1255.0,1290.0,35386300
2025-12-19,1280.0,1280.0,1285.0,1240.0,1265.0,31367100
2025-12-22,1295.0,1295.0,1300.0,1270.0,1290.0,23830800
2025-12-23,1305.0,1305.0,1330.0,1295.0,1295.0,38810700
2025-12-24,1310.0,1310.0,1315.0,1290.0,1310.0,16646200
